country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
900	World	36.837	36.502	37.672	36.948	37.269	37.069	36.353	37.073	35.858	34.32	33.871	32.914	35.814	37.477	35.936	35.34	34.403	33.619	34.318	33.729	33.583	32.797	32.064	31.445	30.645	29.613	29.125	28.476	28.284	28.465	28.527	28.541	28.752	27.92	27.928	27.851	27.958	27.877	27.278	27.024	26.794	25.421	24.718	24.151	23.706	23.276	22.842	22.45	22.095	21.814	21.793	21.487	21.231	21.004	20.881	20.706	20.613	20.599	20.575	20.468	20.274	20.094	20.132	19.781	19.576	19.203	19.064	18.767	18.174	17.771	17.237	16.94
1834	Sub-Saharan Africa	47.139	47.232	47.252	47.31	47.275	47.273	47.303	47.346	47.363	47.354	47.384	47.487	47.554	47.553	47.536	47.529	47.52	47.51	47.504	47.521	47.483	47.516	47.449	47.347	47.34	47.31	47.195	47.139	47.083	47.016	46.865	46.689	46.533	46.472	46.331	46.152	45.926	45.647	45.212	44.873	44.43	44.114	43.753	43.48	43.141	43.055	42.763	42.324	41.981	41.907	41.704	41.544	41.321	41.082	40.895	40.774	40.551	40.275	40.088	39.68	39.301	38.906	38.381	37.851	37.376	36.921	36.463	36.088	35.749	35.423	35.01	34.648
1833	Northern Africa and Western Asia	47.958	48.051	48.212	48.169	47.916	47.443	47.289	46.561	46.309	46.209	45.903	45.738	45.761	45.279	44.758	44.156	43.659	42.969	42.608	42.29	42.058	41.892	41.533	41.123	40.801	40.485	40.083	39.641	39.376	39.194	38.838	38.404	38.002	37.581	36.991	36.377	35.654	34.857	34.112	33.246	32.359	31.729	31.085	30.388	29.73	28.926	28.243	27.627	27.143	26.677	26.249	26.059	25.49	25.25	25.099	25.016	25.075	25.171	25.192	25.17	25.293	25.303	25.274	25.169	24.928	24.536	23.662	23.139	22.602	22.071	21.635	21.204
1831	Central and Southern Asia	44.042	44.224	44.415	44.543	44.635	44.532	44.396	44.253	44.024	43.757	43.657	43.451	43.237	42.958	42.68	42.269	41.823	41.513	41.113	40.72	40.462	40.337	40.069	39.829	39.539	38.996	38.833	38.291	37.932	37.892	37.842	37.717	37.407	37.058	36.799	36.297	36.033	35.258	34.644	34.01	33.258	32.697	32.037	31.298	30.75	30.132	29.479	28.951	28.45	27.947	27.643	27.34	26.772	26.154	25.584	24.872	24.283	23.929	23.528	23.225	22.803	22.384	22.009	21.64	20.943	20.609	20.329	19.782	19.514	18.964	18.548	18.326
1832	Eastern and South-Eastern Asia	40.11	38.924	42.224	40.025	40.912	40.526	38.494	40.719	37.484	33.221	32.151	29.584	38.742	44.17	40.165	39.361	37.332	35.451	37.967	36.556	36.285	34.177	32.652	31.32	29.188	26.69	25.436	23.873	23.541	23.973	24.152	24.39	25.175	23.048	23.336	23.542	24.171	24.624	23.53	23.548	23.727	20.51	19.327	18.566	17.957	17.398	16.796	16.267	15.743	15.353	15.543	14.92	14.678	14.463	14.463	14.43	14.491	14.624	14.759	14.764	14.563	14.442	15.003	14.409	14.455	13.743	13.933	13.802	12.398	11.904	10.797	10.143
1830	Latin America and the Caribbean	43.625	43.604	43.516	43.416	43.304	43.133	42.978	42.811	42.559	42.288	42.032	41.747	41.443	41.082	40.523	39.842	39.148	38.41	37.702	37.144	36.629	36.133	35.694	35.269	34.736	34.29	33.925	33.534	33.156	32.692	32.209	31.785	31.348	30.842	30.323	29.828	29.307	28.761	28.177	27.681	27.14	26.603	26.039	25.612	25.123	24.65	24.106	23.621	23.151	22.69	22.181	21.657	21.126	20.582	20.252	19.918	19.521	19.158	18.84	18.618	18.377	18.171	17.848	17.56	17.333	17.057	16.555	16.316	16.001	15.516	15.117	14.796
1835	Oceania (excluding Australia and New Zealand)	43.793	44.412	44.945	45.266	45.272	45.377	45.226	45.135	44.841	44.42	44.09	43.688	43.66	43.268	42.998	42.678	42.503	42.085	41.839	41.607	41.234	40.768	40.2	39.48	38.84	38.368	37.956	37.515	37.037	36.628	36.301	36.104	35.928	35.933	35.827	35.718	35.507	35.353	35.179	34.89	34.674	34.278	33.96	33.706	33.322	32.924	32.72	32.447	32.187	32.013	31.758	31.51	31.242	30.99	30.641	30.323	30.092	29.755	29.502	29.145	28.902	28.549	28.211	27.833	27.485	27.033	26.605	26.14	25.778	25.368	25.026	24.612
1836	Australia/New Zealand	23.755	23.469	23.79	23.35	23.03	23.118	23.082	23.265	23.111	23.067	23.024	23.425	22.695	22.157	21.084	20.118	19.806	19.873	20.396	20.7	20.842	21.768	20.73	19.187	18.17	17.052	16.48	16.207	15.764	15.611	15.496	15.819	15.808	15.751	15.251	15.652	15.358	15.288	15.303	15.356	15.761	15.296	15.374	15.053	14.734	14.46	14.156	13.89	13.589	13.494	13.371	13.066	12.989	12.915	12.976	13.202	13.381	14.113	14.255	13.925	13.831	13.559	13.593	13.26	12.79	12.912	12.813	12.753	12.712	12.214	11.731	11.689
1829	Europe and Northern America	22.41	22.323	22.239	22.053	21.992	21.758	21.637	21.589	21.255	21.055	20.715	20.368	19.787	19.349	18.835	17.95	17.371	17.144	16.823	16.657	16.593	16.356	15.724	15.282	15.288	15.042	14.925	14.918	14.831	14.925	14.966	14.775	14.812	14.686	14.618	14.536	14.475	14.434	14.347	14.073	13.856	13.364	12.88	12.368	12.042	11.697	11.556	11.392	11.294	11.186	11.288	11.181	11.195	11.324	11.418	11.424	11.621	11.803	11.961	11.838	11.698	11.52	11.516	11.327	11.346	11.236	11.11	10.695	10.375	10.059	9.814	9.807
901	More developed regions	23.047	22.659	22.383	22.017	21.822	21.553	21.346	21.183	20.965	20.747	20.418	20.095	19.585	19.22	18.794	18.065	17.094	17.388	17.044	16.888	16.867	16.708	16.171	15.794	15.699	15.33	15.111	15.006	14.854	14.851	14.819	14.571	14.573	14.446	14.354	14.25	14.129	14.082	13.978	13.676	13.462	13.03	12.597	12.129	11.869	11.526	11.41	11.248	11.156	11.041	11.148	11.022	11.019	11.105	11.176	11.164	11.358	11.534	11.677	11.548	11.418	11.241	11.233	11.057	11.045	10.949	10.817	10.398	10.096	9.775	9.545	9.537
