country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
900	World	19.518	19.075	18.389	17.989	17.457	17.101	16.71	16.536	16.044	17.284	18.208	16.297	14.832	14.788	14.408	14.522	14.105	13.787	13.515	13.322	13.132	13.178	12.475	12.163	11.888	11.697	11.444	11.089	10.923	10.745	10.646	10.472	10.32	10.26	10.121	10.013	9.794	9.647	9.603	9.392	9.333	9.266	9.137	9.103	9.102	8.942	8.845	8.713	8.645	8.569	8.472	8.361	8.314	8.267	8.179	8.114	7.982	7.937	7.932	7.815	7.777	7.69	7.65	7.591	7.524	7.526	7.48	7.496	7.465	7.462	8.058	8.756
1834	Sub-Saharan Africa	26.508	26.283	25.979	25.595	25.237	24.853	24.535	24.85	24.552	23.586	23.416	23.166	22.799	22.56	22.267	22.089	22.09	21.887	21.507	21.309	20.936	20.594	20.56	19.991	19.848	19.533	18.95	18.605	18.361	18.024	17.789	17.526	17.314	17.875	17.761	17.507	17.309	16.729	16.894	16.298	16.277	16.402	16.397	16.086	16.917	15.689	15.642	15.46	15.59	15.08	14.669	14.447	14.163	13.801	13.426	13.04	12.643	12.262	11.886	11.458	11.095	10.702	10.368	10.067	9.813	9.592	9.329	9.131	8.936	8.75	8.909	9.194
1833	Northern Africa and Western Asia	24.286	24.002	23.349	22.829	22.618	21.93	21.433	21.012	20.654	20.075	19.596	18.99	18.655	18.036	17.439	17.071	16.787	16.443	16.023	15.725	15.261	14.677	14.275	13.934	13.421	13.039	12.887	12.179	11.729	11.314	10.954	10.629	10.376	10.04	9.688	9.292	8.741	8.79	9.17	8.068	7.848	7.519	7.493	7.314	6.804	6.837	6.657	6.541	6.635	6.246	6.042	5.935	5.834	5.873	5.881	5.821	5.706	5.609	5.524	5.377	5.321	5.324	5.37	5.388	5.321	5.284	5.257	5.12	5.098	5.086	5.722	5.811
1831	Central and Southern Asia	23.525	23.41	23.086	22.862	22.257	21.828	21.453	21.088	20.694	20.24	19.908	19.599	19.273	18.954	18.619	19.187	18.732	18.415	17.377	17.068	17.17	18.687	16.172	15.83	15.475	15.055	14.726	14.414	14.124	13.811	13.531	13.268	12.957	12.622	12.325	12.038	11.696	11.421	11.121	10.838	10.572	10.404	10.06	9.863	9.649	9.458	9.276	9.034	8.783	8.527	8.404	8.261	8.09	7.951	7.817	7.694	7.538	7.481	7.404	7.35	7.205	7.099	6.962	6.838	6.703	6.591	6.507	6.464	6.479	6.517	7.104	8.581
1832	Eastern and South-Eastern Asia	22.66	21.405	20.219	19.47	18.699	18.225	17.605	17.264	16.604	20.749	23.918	18.74	14.46	14.683	14.18	14.112	13.226	12.547	12.337	11.931	11.522	10.948	10.532	10	9.603	9.398	8.983	8.436	8.181	7.984	7.873	7.724	7.624	7.494	7.383	7.313	7.256	7.2	7.146	7.07	7.071	6.97	6.784	6.659	6.631	6.612	6.594	6.544	6.486	6.558	6.529	6.403	6.415	6.415	6.539	6.518	6.523	6.594	6.776	6.7	6.778	6.839	6.885	6.925	6.967	7.028	7.105	7.265	7.218	7.306	7.577	8.048
1830	Latin America and the Caribbean	17.374	16.996	16.482	16.052	15.581	15.205	14.762	14.417	13.983	13.643	13.271	12.904	12.598	12.327	11.994	11.715	11.433	11.166	10.916	10.694	10.647	10.175	9.987	9.714	9.513	9.259	9.18	8.92	8.773	8.639	8.478	8.269	8.138	7.889	7.718	7.58	7.342	7.179	7.029	6.917	6.834	6.716	6.619	6.531	6.428	6.373	6.289	6.221	6.196	6.109	6.066	6.044	5.994	6.025	5.982	5.924	5.945	6.007	6.016	6.048	6.253	6.115	6.138	6.142	6.169	6.267	6.417	6.457	6.534	6.58	7.772	8.435
1835	Oceania (excluding Australia and New Zealand)	21.02	22.124	19.738	19.1	18.444	17.813	17.32	16.618	16.061	15.572	15.091	14.64	14.314	13.742	13.385	12.884	12.5	12.077	11.655	11.31	10.909	10.607	10.256	9.945	9.582	9.339	9.035	8.805	8.548	8.336	8.215	8.07	7.966	7.848	7.732	7.605	7.58	7.486	7.411	7.328	7.268	7.206	7.115	7.038	6.977	6.893	6.886	6.823	7.045	6.753	6.773	6.784	6.886	6.869	6.904	6.927	6.927	6.941	6.805	6.788	6.719	6.599	6.568	6.543	6.506	6.444	6.42	6.361	6.39	6.354	6.341	6.658
1836	Australia/New Zealand	9.586	9.735	9.477	9.084	9.092	8.945	9.119	8.931	8.589	8.913	8.652	8.573	8.736	8.729	9.02	8.832	9.004	8.683	9.061	8.71	9.002	8.504	8.365	8.261	8.419	7.892	8.055	7.753	7.626	7.491	7.561	7.46	7.618	7.324	7.369	7.629	7.342	7.462	7.401	7.592	7.13	6.993	7.139	6.973	7.187	7.071	7.145	7.053	6.864	6.92	6.805	6.788	6.909	6.767	6.717	6.547	6.627	6.734	6.757	6.586	6.507	6.626	6.626	6.476	6.588	6.616	6.579	6.563	6.402	6.585	6.351	6.456
1829	Europe and Northern America	11.274	11.387	10.817	10.659	10.28	10.109	9.923	9.98	9.469	9.584	9.498	9.337	9.639	9.618	9.275	9.48	9.458	9.518	9.793	9.973	9.841	9.855	9.852	9.922	9.82	9.918	9.955	9.831	9.954	9.971	10.153	10.06	9.97	10.159	10.149	10.272	9.95	9.895	9.96	9.939	10.037	10.12	10.211	10.733	10.777	10.833	10.643	10.458	10.399	10.625	10.6	10.542	10.694	10.794	10.45	10.568	10.264	10.177	10.183	10.016	10.033	9.886	9.983	9.957	9.878	10.119	9.95	10.03	10.043	9.928	11.318	11.824
901	More developed regions	11.232	11.228	10.616	10.468	10.06	9.863	9.73	9.803	9.263	9.368	9.302	9.14	9.419	9.349	9.047	9.247	9.188	9.235	9.486	9.637	9.537	9.501	9.484	9.553	9.456	9.516	9.544	9.409	9.513	9.513	9.702	9.613	9.524	9.707	9.697	9.816	9.527	9.479	9.572	9.55	9.656	9.733	9.839	10.311	10.35	10.437	10.246	10.098	10.062	10.301	10.258	10.214	10.359	10.473	10.183	10.334	10.071	10.019	10.055	9.906	9.967	9.89	9.981	9.965	9.906	10.134	10.005	10.104	10.136	10.062	11.272	11.773
