country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
900	World	46.4643	47.144	48.2311	48.8024	49.5919	50.1229	50.6425	50.9448	51.537	49.3453	47.6972	50.3587	53.1245	53.5761	54.1638	53.8924	54.472	54.9203	55.486	55.8286	56.112	55.8924	57.1231	57.6327	58.0422	58.2754	58.7107	59.3652	59.7402	60.2037	60.5524	60.9915	61.4165	61.5651	61.907	62.2356	62.7665	63.1585	63.2806	63.7919	63.9879	64.0583	64.3027	64.4369	64.4588	64.8766	65.1429	65.5007	65.7215	66.0735	66.4525	66.8336	67.1373	67.46	67.8074	68.2047	68.7027	69.0508	69.3014	69.7965	70.1088	70.5303	70.8725	71.2072	71.5649	71.8004	72.1102	72.3267	72.5759	72.7897	72.0361	71.0479	2021
1834	Sub-Saharan Africa	37.4772	37.7276	38.0433	38.4561	38.8423	39.2613	39.6126	39.2755	39.5801	40.6554	40.8321	41.1277	41.6045	41.8897	42.2414	42.4484	42.4417	42.6342	43.1003	43.3379	43.8216	44.2458	44.2321	44.9803	45.1754	45.5628	46.3039	46.7691	47.0905	47.5586	47.8686	48.1796	48.4173	47.6146	47.6744	47.959	48.1623	48.8325	48.6166	49.3152	49.2061	48.942	48.8069	49.1107	47.5038	49.5309	49.4772	49.6315	49.2771	49.9752	50.5797	50.8467	51.2406	51.7624	52.327	52.9445	53.5988	54.2244	54.8656	55.6058	56.2585	56.9846	57.5899	58.1404	58.6021	59.0118	59.5203	59.9184	60.3206	60.7252	60.3122	59.6692	2021
1833	Northern Africa and Western Asia	41.5841	42.0392	42.9436	43.4687	43.969	44.6578	45.1434	45.5877	45.9093	46.5734	47.0893	47.8194	48.2895	49.1469	49.9782	50.3566	50.5849	51.034	51.5614	51.9715	52.4966	53.3711	53.9474	54.3621	55.1993	55.7628	55.9437	57.1732	57.8832	58.5689	59.1134	59.564	59.8961	60.4623	61.0294	61.7117	62.7121	62.4655	61.4834	63.8683	64.2641	64.9808	64.9745	65.3514	66.5458	66.4098	66.8238	67.1388	66.9574	67.9792	68.5553	68.9111	69.2404	69.2345	69.318	69.5925	70.0115	70.369	70.6817	71.1625	71.4319	71.5744	71.6001	71.6937	72.0228	72.2767	72.4804	72.9847	73.1948	73.3925	72.1902	72.1448	2021
1831	Central and Southern Asia	40.8763	41.1208	41.5607	41.8393	42.6111	43.1294	43.5647	43.9855	44.4353	44.9632	45.3351	45.6657	46.022	46.374	46.7657	45.9247	46.4712	46.8682	48.2951	48.716	48.4966	46.0884	49.8897	50.3758	50.8905	51.5015	52.0292	52.5211	52.9797	53.5385	54.0574	54.5252	55.0533	55.6215	56.1254	56.5848	57.1741	57.5936	58.0627	58.5098	58.9116	59.1365	59.7392	60.0465	60.4188	60.755	61.0917	61.5796	62.1198	62.702	63.0573	63.4685	63.9359	64.33	64.7248	65.0964	65.5682	65.8467	66.1739	66.4588	66.9369	67.3439	67.8276	68.309	68.8171	69.3106	69.7733	70.1468	70.4117	70.6154	69.8489	67.6773	2021
1832	Eastern and South-Eastern Asia	42.7667	44.209	45.9917	46.8291	47.8103	48.4144	49.0078	49.5346	50.1329	43.8775	39.4025	45.1712	52.3436	52.8967	53.6384	53.5178	54.7363	55.6644	56.1445	56.8285	57.4892	58.3534	58.9451	59.8408	60.45	60.6213	61.3813	62.5231	63.1543	63.7843	64.2684	64.8164	65.3102	65.6692	66.1039	66.4968	66.8795	67.2554	67.523	67.8773	68.1129	68.341	68.8425	69.2913	69.5787	69.8276	70.1247	70.5122	70.9203	71.1175	71.534	72.116	72.4687	72.9116	72.9642	73.5024	73.8733	74.1316	74.0348	74.6786	74.8947	75.1393	75.4191	75.6787	75.9547	76.1728	76.3786	76.451	76.8275	77.0129	76.9106	76.511	2021
1830	Latin America and the Caribbean	48.5587	49.0456	49.7732	50.3947	51.1016	51.6586	52.3391	52.867	53.5489	54.073	54.6554	55.2229	55.692	56.1194	56.6476	57.057	57.4856	57.8762	58.2486	58.5994	58.6098	59.5052	59.8733	60.4398	60.8618	61.4061	61.6083	62.2139	62.578	62.9213	63.332	63.8252	64.1392	64.7356	65.1563	65.5124	66.1232	66.5712	67.0052	67.3603	67.6589	68.0346	68.3768	68.7119	69.1057	69.4126	69.7927	70.1438	70.3878	70.8212	71.1372	71.408	71.7569	71.9366	72.2702	72.6734	72.8935	73.0341	73.2759	73.4868	73.1946	73.8669	74.1009	74.3593	74.5759	74.6372	74.5929	74.7561	74.8705	75.0547	73.0946	72.1639	2021
1835	Oceania (excluding Australia and New Zealand)	41.7958	40.2814	43.1823	43.9284	44.702	45.4785	46.0852	47.0128	47.7472	48.3669	48.9987	49.6168	50.0936	50.9329	51.4309	52.1586	52.7382	53.3791	54.0124	54.4995	55.1197	55.569	56.0992	56.5497	57.1581	57.5697	58.1412	58.5739	59.0936	59.5689	59.9151	60.2693	60.5513	60.8901	61.2238	61.571	61.6904	61.95	62.1488	62.3557	62.5313	62.6939	62.9358	63.1655	63.3584	63.603	63.6771	63.8872	63.4597	64.2102	64.2367	64.3127	64.1811	64.3332	64.3472	64.395	64.5056	64.5701	64.9826	65.1057	65.3615	65.7507	65.92	66.0857	66.2906	66.5592	66.7393	67.0098	67.0936	67.3414	67.5579	67.0721	2021
1836	Australia/New Zealand	69.0437	68.778	69.1532	69.7844	69.9465	70.211	70.1609	70.2987	70.8526	70.4981	70.9218	71.0871	70.9549	71.0127	70.7002	70.8745	70.7479	71.1159	70.7506	71.1449	70.7559	71.5	71.7767	71.9885	71.8663	72.6742	72.7177	73.2251	73.611	74.0948	74.2511	74.5794	74.5477	75.1538	75.3111	75.1567	75.7273	75.7565	76.0182	75.9759	76.7698	77.2433	77.2562	77.7489	77.6966	78.0096	78.0849	78.4134	78.8847	79.054	79.4713	79.7891	79.8653	80.2361	80.5165	80.9349	81.0741	81.0748	81.2633	81.5706	81.8967	81.9273	82.1572	82.448	82.4331	82.5378	82.7344	82.8667	83.2232	83.0188	84.0554	84.169	2021
1829	Europe and Northern America	63.9973	64.039	65.066	65.6388	66.4291	66.9136	67.6195	67.5885	68.6097	68.6252	69.0744	69.4311	69.2479	69.4418	70.0082	69.9611	70.1239	70.1857	70.0407	69.8951	70.2142	70.3978	70.5828	70.6763	70.9821	71.0207	71.1705	71.455	71.5119	71.6641	71.6535	71.9758	72.2866	72.2837	72.4085	72.5145	73.1247	73.3027	73.3866	73.5477	73.5788	73.6093	73.5396	73.0421	73.0943	73.2053	73.7054	74.172	74.4567	74.3179	74.477	74.7017	74.7046	74.7937	75.2989	75.393	75.9531	76.3003	76.5512	76.9719	77.219	77.629	77.7838	78.0264	78.2896	78.2921	78.5939	78.7478	78.8826	79.1639	77.7242	77.1597	2021
901	More developed regions	63.5226	63.7474	64.8906	65.451	66.2719	66.8312	67.4525	67.4201	68.4923	68.5434	68.9788	69.3642	69.2322	69.5071	70.0578	70.0328	70.2362	70.3486	70.2421	70.142	70.4366	70.6864	70.9003	71.0107	71.322	71.4104	71.5788	71.8867	71.9699	72.1535	72.1446	72.4718	72.7917	72.8019	72.9535	73.0721	73.6632	73.8639	73.942	74.1252	74.1723	74.2353	74.1841	73.7605	73.8473	73.942	74.4507	74.8981	75.1678	75.0479	75.2499	75.4903	75.5222	75.6161	76.1057	76.1876	76.7299	77.0591	77.2959	77.7106	77.9313	78.2741	78.4618	78.7052	78.9622	78.989	79.2764	79.4257	79.56	79.8152	78.5756	78.065	2021
