country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	71.315	72.916	73.155	73.251	73.33	73.44	73.548	73.679	73.842	73.922	74.092	74.168	74.294	74.41	74.54	74.687	74.787	74.904	75.052	75.145	75.245	75.378	75.483	75.579	75.718	75.782	75.882	76.02	76.086	76.178	76.293	76.398	76.483	76.582	76.639	76.777	76.852	76.935	77.034	77.133	77.246	77.331	77.452	77.526	77.593	77.682	77.779	77.843	77.913	78.012	78.071	78.2	78.259	78.34	78.448	78.526	78.605	78.696	78.749	78.864	78.923	79.024	79.095	79.179	79.263	79.377	79.476	79.508	79.625	79.696	79.796	79.886	79.965	80.031	80.122	80.178	80.274	80.38	80.46
1834	Sub-Saharan Africa	59.592	60.373	61.068	61.181	61.33	61.457	61.547	61.753	61.911	62.069	62.208	62.31	62.496	62.619	62.869	62.925	63.067	63.102	63.307	63.441	63.558	63.702	63.916	63.968	64.101	64.244	64.409	64.586	64.749	64.87	65.046	65.222	65.362	65.482	65.546	65.657	65.803	65.954	66.153	66.294	66.427	66.567	66.719	66.871	66.981	67.087	67.227	67.397	67.474	67.612	67.747	67.919	68.037	68.192	68.323	68.439	68.521	68.69	68.786	68.94	69.077	69.167	69.317	69.386	69.509	69.598	69.726	69.872	70.008	70.144	70.19	70.341	70.448	70.583	70.686	70.79	70.914	71.038	71.172
1833	Northern Africa and Western Asia	72.526	73.036	73.686	73.776	73.881	73.981	74.144	74.222	74.382	74.508	74.621	74.746	74.853	75.026	75.173	75.296	75.433	75.611	75.728	75.884	76.047	76.163	76.281	76.39	76.517	76.633	76.712	76.831	76.958	77.11	77.19	77.31	77.364	77.45	77.572	77.699	77.784	77.796	77.988	78.031	78.168	78.245	78.372	78.431	78.535	78.6	78.74	78.796	78.908	79.011	79.124	79.205	79.297	79.388	79.49	79.606	79.7	79.817	79.901	80.021	80.091	80.179	80.268	80.437	80.459	80.557	80.695	80.823	80.906	80.949	81.035	81.174	81.219	81.309	81.418	81.517	81.557	81.723	81.816
1831	Central and Southern Asia	67.164	70.463	70.606	70.662	70.804	70.919	71.133	71.218	71.326	71.5	71.651	71.703	71.846	71.967	72.161	72.284	72.317	72.476	72.561	72.734	72.91	73.022	73.151	73.314	73.481	73.552	73.76	73.832	74.004	74.098	74.21	74.429	74.633	74.794	74.8	74.965	75.139	75.216	75.333	75.467	75.577	75.78	75.914	75.983	76.143	76.258	76.433	76.559	76.618	76.86	76.972	77.113	77.119	77.305	77.464	77.46	77.62	77.745	77.862	77.915	78.042	78.168	78.288	78.431	78.62	78.677	78.86	79.044	79.164	79.323	79.451	79.555	79.635	79.792	79.944	80.057	80.184	80.299	80.383
1832	Eastern and South-Eastern Asia	76.415	76.824	76.901	76.997	77.1	77.175	77.322	77.416	77.564	77.618	77.732	77.82	77.872	77.975	78.036	78.167	78.211	78.304	78.498	78.549	78.658	78.742	78.879	79.022	79.151	79.276	79.366	79.403	79.546	79.628	79.745	79.886	80.071	80.097	80.201	80.368	80.477	80.612	80.709	80.784	80.912	81.029	81.132	81.242	81.334	81.374	81.509	81.632	81.738	81.857	81.993	82.058	82.161	82.243	82.318	82.359	82.548	82.611	82.664	82.754	82.851	82.862	82.939	83.004	83.159	83.22	83.365	83.502	83.579	83.688	83.802	83.916	84.087	84.151	84.184	84.335	84.411	84.502	84.575
1830	Latin America and the Caribbean	73.22	75.198	75.411	75.554	75.676	75.8	75.933	76.092	76.206	76.388	76.538	76.695	76.842	76.988	77.143	77.261	77.429	77.53	77.68	77.808	77.921	78.065	78.263	78.416	78.551	78.692	78.862	78.999	79.17	79.309	79.468	79.626	79.722	79.885	79.995	80.161	80.262	80.428	80.564	80.705	80.847	80.958	81.059	81.184	81.315	81.439	81.543	81.705	81.854	81.976	82.102	82.207	82.37	82.474	82.649	82.774	82.896	82.969	83.072	83.246	83.341	83.462	83.608	83.742	83.89	84.027	84.121	84.212	84.32	84.41	84.571	84.674	84.833	84.914	85.011	85.152	85.226	85.378	85.477
1835	Oceania (excluding Australia and New Zealand)	66.491	66.435	66.495	66.518	66.491	66.453	66.486	66.547	66.591	66.591	66.697	66.802	66.738	66.755	66.912	66.853	66.796	66.871	67.028	67.172	67.261	67.141	67.354	67.241	67.31	67.422	67.382	67.568	67.648	67.609	67.725	67.788	67.995	67.989	67.97	68.15	68.196	68.299	68.255	68.343	68.475	68.423	68.528	68.53	68.672	68.524	68.728	68.772	68.909	68.988	69.126	69.043	69.285	69.449	69.498	69.661	69.727	69.897	69.775	69.908	70.034	69.959	70.008	70.163	70.281	70.319	70.401	70.6	70.776	70.823	70.846	70.9	71.091	71.025	71.107	71.201	71.204	71.401	71.461
1836	Australia/New Zealand	82.885	82.93	82.987	83.036	83.048	83.133	83.194	83.258	83.275	83.363	83.456	83.493	83.518	83.589	83.688	83.75	83.833	83.941	84.018	84.072	84.177	84.224	84.25	84.306	84.416	84.468	84.59	84.671	84.757	84.899	84.965	85.025	85.046	85.108	85.163	85.223	85.251	85.328	85.441	85.529	85.589	85.613	85.777	85.843	85.889	86.09	86.06	86.208	86.352	86.465	86.533	86.611	86.672	86.786	86.835	86.935	86.993	87.167	87.137	87.159	87.256	87.229	87.41	87.541	87.599	87.665	87.718	87.856	87.891	87.963	88.032	88.074	88.139	88.244	88.379	88.5	88.396	88.568	88.609
1829	Europe and Northern America	77.425	79.248	79.596	79.696	79.799	79.92	80.032	80.15	80.256	80.391	80.496	80.665	80.798	80.895	80.974	81.086	81.21	81.325	81.448	81.625	81.759	81.873	82.002	82.115	82.217	82.38	82.473	82.591	82.695	82.801	82.899	82.996	83.103	83.211	83.362	83.465	83.616	83.712	83.778	83.911	84.024	84.096	84.24	84.365	84.473	84.584	84.665	84.801	84.911	85.027	85.153	85.235	85.359	85.473	85.599	85.717	85.794	85.919	86.059	86.137	86.271	86.365	86.474	86.552	86.687	86.787	86.925	87.005	87.091	87.19	87.321	87.422	87.524	87.62	87.763	87.831	87.963	88.066	88.118
901	More developed regions	78.292	79.923	80.233	80.346	80.451	80.57	80.671	80.787	80.885	81.013	81.134	81.278	81.409	81.517	81.581	81.733	81.824	81.967	82.093	82.214	82.33	82.462	82.561	82.671	82.803	82.933	83.016	83.147	83.248	83.323	83.444	83.507	83.668	83.779	83.872	83.985	84.086	84.21	84.323	84.414	84.543	84.63	84.759	84.871	85.007	85.096	85.196	85.323	85.486	85.585	85.654	85.765	85.883	85.992	86.114	86.208	86.332	86.407	86.538	86.662	86.756	86.85	86.971	87.076	87.165	87.254	87.384	87.5	87.589	87.69	87.853	87.946	88.024	88.131	88.234	88.352	88.463	88.561	88.664
