country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	72.117	73.759	74.122	74.312	74.479	74.647	74.837	75.052	75.255	75.429	75.629	75.779	75.92	76.136	76.29	76.471	76.63	76.802	76.967	77.108	77.29	77.412	77.565	77.712	77.857	77.962	78.102	78.226	78.352	78.468	78.617	78.739	78.868	78.987	79.086	79.201	79.329	79.441	79.54	79.684	79.788	79.886	80.025	80.136	80.25	80.355	80.443	80.563	80.633	80.74	80.794	80.9	80.979	81.096	81.228	81.335	81.417	81.542	81.64	81.773	81.857	81.964	82.07	82.149	82.222	82.296	82.416	82.481	82.582	82.69	82.786	82.884	82.979	83.054	83.149	83.228	83.303	83.438	83.513
1834	Sub-Saharan Africa	60.761	61.728	62.583	62.855	63.108	63.325	63.557	63.839	64.11	64.39	64.621	64.837	65.077	65.26	65.53	65.748	65.937	66.116	66.321	66.534	66.702	66.922	67.125	67.341	67.507	67.716	67.897	68.04	68.273	68.473	68.657	68.856	69.068	69.178	69.336	69.496	69.693	69.878	70.014	70.232	70.42	70.575	70.717	70.963	71.089	71.278	71.428	71.616	71.802	71.963	72.084	72.255	72.384	72.53	72.697	72.813	72.912	73.108	73.22	73.395	73.515	73.698	73.853	73.968	74.144	74.237	74.38	74.558	74.672	74.817	74.909	75.083	75.225	75.384	75.544	75.719	75.84	75.995	76.109
1833	Northern Africa and Western Asia	73.485	74.16	74.894	75.081	75.319	75.515	75.742	75.932	76.173	76.362	76.549	76.723	76.899	77.124	77.317	77.491	77.674	77.846	78.009	78.16	78.344	78.529	78.732	78.913	79.065	79.223	79.364	79.502	79.648	79.817	79.961	80.106	80.247	80.385	80.556	80.67	80.815	80.95	81.117	81.225	81.403	81.5	81.641	81.754	81.922	82.018	82.15	82.278	82.428	82.549	82.665	82.788	82.928	83.045	83.163	83.299	83.396	83.588	83.752	83.849	83.992	84.095	84.209	84.365	84.499	84.619	84.764	84.937	85.021	85.133	85.256	85.382	85.494	85.606	85.747	85.867	86.012	86.152	86.28
1831	Central and Southern Asia	69.365	72.67	73.077	73.422	73.789	74.103	74.377	74.6	74.951	75.242	75.505	75.725	75.967	76.301	76.531	76.702	76.924	77.186	77.382	77.618	77.933	78.124	78.326	78.577	78.799	78.96	79.215	79.382	79.702	79.883	80.058	80.341	80.547	80.665	80.811	81.036	81.279	81.415	81.604	81.739	81.876	82.085	82.202	82.323	82.51	82.701	82.892	83.119	83.224	83.387	83.586	83.736	83.753	83.968	84.157	84.2	84.393	84.591	84.629	84.791	84.887	84.988	85.176	85.331	85.46	85.568	85.683	85.867	85.917	86.193	86.293	86.487	86.634	86.784	86.895	86.997	87.068	87.19	87.287
1832	Eastern and South-Eastern Asia	77.778	78.482	78.74	78.98	79.207	79.49	79.69	79.906	80.123	80.335	80.541	80.741	80.942	81.154	81.328	81.515	81.668	81.833	81.983	82.157	82.334	82.443	82.656	82.729	82.946	83.1	83.246	83.378	83.578	83.707	83.851	83.943	84.083	84.278	84.424	84.6	84.769	84.876	85.014	85.112	85.201	85.339	85.514	85.587	85.757	85.838	86.039	86.179	86.326	86.468	86.584	86.769	86.95	87.029	87.152	87.22	87.364	87.465	87.61	87.669	87.853	87.981	88.046	88.225	88.29	88.457	88.618	88.738	88.938	89.067	89.217	89.342	89.465	89.578	89.713	89.877	89.946	90.102	90.236
1830	Latin America and the Caribbean	74.305	76.341	76.679	76.911	77.188	77.406	77.621	77.873	78.071	78.296	78.542	78.752	78.988	79.166	79.362	79.561	79.76	79.939	80.124	80.37	80.512	80.711	80.918	81.105	81.278	81.462	81.619	81.783	81.983	82.15	82.329	82.441	82.606	82.778	82.934	83.084	83.222	83.362	83.532	83.707	83.853	83.999	84.149	84.278	84.416	84.553	84.694	84.824	84.967	85.112	85.268	85.386	85.564	85.678	85.786	85.931	86.122	86.228	86.365	86.506	86.569	86.702	86.826	86.966	87.097	87.253	87.383	87.502	87.616	87.746	87.873	87.98	88.13	88.25	88.394	88.532	88.654	88.765	88.885
1835	Oceania (excluding Australia and New Zealand)	68.963	69.26	69.673	69.97	70.215	70.53	70.848	71.034	71.308	71.576	71.776	71.971	72.15	72.254	72.559	72.722	72.819	73.02	73.245	73.357	73.561	73.761	74.019	74.141	74.282	74.427	74.686	74.892	75.174	75.359	75.432	75.683	75.845	76.12	76.116	76.328	76.434	76.658	76.906	76.956	77.035	77.151	77.428	77.549	77.784	77.961	78.155	78.154	78.378	78.549	78.658	78.785	79.026	79.203	79.406	79.573	79.728	79.924	79.94	80.183	80.422	80.581	80.734	81.003	81.186	81.338	81.617	81.724	81.933	82.088	82.088	82.233	82.448	82.574	82.758	82.881	83.004	83.313	83.57
1836	Australia/New Zealand	84.192	84.446	84.701	84.931	85.13	85.323	85.565	85.761	85.941	86.153	86.366	86.489	86.667	86.95	87.071	87.29	87.518	87.673	87.763	87.895	88.055	88.241	88.404	88.592	88.824	88.986	89.125	89.305	89.565	89.697	89.847	89.95	90.158	90.272	90.368	90.557	90.721	90.841	91.013	91.153	91.246	91.452	91.596	91.696	91.91	92.12	92.296	92.485	92.765	92.934	93.057	93.26	93.343	93.473	93.58	93.783	93.837	94.009	94.198	94.271	94.436	94.609	94.796	94.901	95.049	95.285	95.43	95.537	95.647	95.909	95.991	96.108	96.19	96.404	96.556	96.688	96.753	96.971	97.075
1829	Europe and Northern America	77.993	79.998	80.457	80.663	80.86	81.05	81.263	81.435	81.61	81.838	82.009	82.206	82.385	82.558	82.725	82.918	83.062	83.224	83.395	83.578	83.74	83.871	84.061	84.199	84.375	84.534	84.695	84.794	84.958	85.107	85.24	85.373	85.493	85.663	85.789	85.938	86.1	86.214	86.341	86.507	86.656	86.78	86.936	87.101	87.243	87.375	87.471	87.656	87.814	87.945	88.104	88.23	88.395	88.544	88.723	88.877	88.974	89.135	89.277	89.418	89.558	89.655	89.793	89.974	90.102	90.272	90.408	90.524	90.609	90.741	90.89	91.014	91.171	91.306	91.414	91.562	91.682	91.833	91.949
901	More developed regions	78.823	80.625	81.038	81.232	81.434	81.625	81.815	81.971	82.132	82.333	82.504	82.673	82.874	83.046	83.201	83.353	83.5	83.656	83.821	83.993	84.141	84.306	84.446	84.595	84.736	84.909	85.042	85.198	85.347	85.458	85.578	85.734	85.891	86.037	86.127	86.294	86.416	86.56	86.704	86.838	86.99	87.124	87.262	87.382	87.539	87.674	87.826	87.989	88.143	88.28	88.423	88.558	88.696	88.869	88.987	89.151	89.281	89.397	89.542	89.651	89.8	89.941	90.137	90.271	90.383	90.485	90.635	90.745	90.889	91.047	91.171	91.293	91.407	91.54	91.65	91.793	91.856	92.031	92.211
