country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
900	World	48.4411	48.9655	49.8908	50.4067	51.1894	51.7731	52.3187	52.6474	53.2832	51.0815	49.4175	52.1529	54.9706	55.4417	56.0605	55.9142	56.4108	56.8914	57.478	57.8324	58.074	58.2223	59.1274	59.6437	60.0876	60.4292	60.8286	61.5533	62.0072	62.5196	62.9165	63.4085	63.8718	64.0328	64.3898	64.6888	65.2136	65.639	65.7903	66.2839	66.5014	66.5089	66.813	66.9852	66.9962	67.3826	67.5794	67.9144	68.1678	68.4923	68.8815	69.3319	69.6363	69.9774	70.3376	70.7701	71.2835	71.6563	71.886	72.4085	72.7065	73.1396	73.4945	73.8399	74.1759	74.3865	74.7183	74.9747	75.1996	75.4191	74.7891	73.807	2021
1834	Sub-Saharan Africa	38.7475	39.0054	39.3432	39.7865	40.2017	40.6376	41.0274	40.7183	41.0304	42.14	42.4763	42.8358	43.123	43.4568	43.8418	44.0532	44.0081	44.3956	44.8368	45.0683	45.4082	45.8091	45.8345	46.496	46.6924	47.1059	47.9458	48.4813	48.9072	49.3387	49.652	49.9608	50.2426	49.4085	49.5727	49.8339	50.0316	50.7877	50.488	51.2166	51.2175	50.8446	50.7074	51.0632	49.6876	51.3244	51.2518	51.3573	51.0388	51.743	52.0426	52.21	52.6057	53.0617	53.5912	54.2135	54.8979	55.565	56.2244	57.0472	57.7357	58.5263	59.1796	59.8007	60.3129	60.7448	61.2538	61.6773	62.1082	62.5433	62.2159	61.6153	2021
1833	Northern Africa and Western Asia	43.447	43.9357	44.8421	45.3082	46.1283	46.8379	47.3483	47.7907	48.1667	48.8348	49.3228	50.074	50.6127	51.3084	52.086	52.4823	52.7634	53.2802	53.7692	54.2308	54.7479	55.5918	56.1598	56.8563	57.5364	58.1597	58.4249	59.4807	60.2035	60.9123	61.6263	62.2081	62.681	63.248	63.8282	64.5066	65.637	65.513	64.912	66.6159	67.0462	67.6461	67.7289	68.0798	69.0441	69.0797	69.4343	69.755	69.6397	70.3903	71.0495	71.4017	71.7312	71.8244	71.9874	72.3098	72.7586	73.1058	73.295	73.7114	73.9414	74.122	74.2268	74.3851	74.698	74.8682	75.2163	75.7054	75.8383	75.9323	74.8295	74.7556	2021
1831	Central and Southern Asia	40.1911	40.4184	40.8738	41.1792	41.987	42.5393	42.999	43.4251	43.9024	44.4415	44.8158	45.1472	45.4988	45.8615	46.2706	45.4701	46.0557	46.4785	47.8858	48.3177	47.9918	47.0401	49.4615	49.9585	50.493	51.1694	51.7733	52.4113	53.0005	53.727	54.4116	55.0803	55.7285	56.379	56.9314	57.4308	57.9956	58.4807	59.0288	59.4362	59.8728	60.1093	60.7521	61.0014	61.3661	61.6788	62.0004	62.5944	63.202	63.8421	64.275	64.7641	65.2944	65.7801	66.271	66.7318	67.3279	67.6835	68.0944	68.3946	68.9097	69.3225	69.8197	70.3036	70.6985	71.1183	71.5335	71.937	72.1983	72.4606	71.8307	69.617	2021
1832	Eastern and South-Eastern Asia	45.6454	46.7483	48.12	48.786	49.6882	50.3779	50.9912	51.5385	52.2197	45.7805	41.0998	47.1174	54.5949	55.1545	55.9215	56.1252	57.0545	57.9574	58.4561	59.1142	59.8206	60.6314	61.2773	62.1803	62.8878	63.2492	63.7906	64.9633	65.6771	66.309	66.7973	67.3431	67.852	68.2525	68.6736	69.0697	69.4923	69.8718	70.1623	70.5179	70.7036	70.7736	71.3408	71.9032	72.1034	72.4149	72.6789	73.0731	73.5874	73.6488	74.1279	74.9558	75.2845	75.793	75.7692	76.3682	76.7298	77.0114	76.8242	77.5762	77.7631	78.0076	78.3174	78.5962	78.8627	79.0891	79.3327	79.551	79.8323	79.9875	79.9717	79.5527	2021
1830	Latin America and the Caribbean	50.7895	51.2612	51.9901	52.6195	53.326	53.918	54.5989	55.1128	55.8271	56.3795	56.9941	57.5712	58.0577	58.4915	59.0485	59.5105	59.9229	60.339	60.7463	61.1148	61.0454	62.0417	62.4486	63.0544	63.4737	64.0915	64.3206	65.0446	65.4817	65.8871	66.3078	66.8892	67.232	67.7704	68.198	68.471	69.1135	69.5939	70.0305	70.4685	70.8803	71.2779	71.6293	71.9824	72.3325	72.687	73.0625	73.4289	73.6351	74.0876	74.5551	74.8541	75.1906	75.269	75.6185	75.9818	76.1911	76.3196	76.5366	76.7134	76.3607	77.068	77.3282	77.5233	77.696	77.8179	77.8655	77.9352	78.0762	78.2716	76.7154	75.7732	2021
1835	Oceania (excluding Australia and New Zealand)	43.8691	41.9287	45.2191	45.9589	46.7918	47.472	48.0145	48.9783	49.6772	50.3092	50.978	51.7468	52.2146	53.0864	53.6689	54.4745	55.0865	55.8423	56.515	57.017	57.6729	58.2286	58.7792	59.1941	59.7886	60.2302	60.8353	61.3151	61.8844	62.3989	62.6784	63.0906	63.3793	63.7924	64.1735	64.5666	64.7498	65.0127	65.1915	65.3651	65.5152	65.5733	65.7826	65.9247	66.1045	66.2999	66.3353	66.4685	65.9559	66.7194	66.6631	66.7256	66.6018	66.7387	66.8218	66.7744	66.7341	66.6914	67.3872	67.564	67.7835	68.4477	68.6782	68.9147	69.1123	69.6094	69.7567	69.9497	70.0113	70.4475	70.5703	70.1025	2021
1836	Australia/New Zealand	71.6246	71.5647	71.9295	72.5775	72.7952	73.1979	73.0934	73.375	73.9164	73.6668	74.0226	74.3488	74.2613	74.2877	74.0358	74.253	74.114	74.5795	74.2388	74.7042	74.2354	74.9169	75.2093	75.6053	75.4393	76.2595	76.2759	76.7908	77.1721	77.7164	77.7809	78.1609	78.0428	78.4856	78.6386	78.3494	78.9698	78.9526	79.24	79.1328	79.8432	80.2097	80.2824	80.6754	80.621	80.8446	80.9241	81.1581	81.6797	81.7616	82.0969	82.3317	82.2918	82.6522	82.8688	83.2585	83.3282	83.3213	83.4755	83.7714	84.0205	84.0116	84.1306	84.4687	84.3787	84.5106	84.7211	84.8151	85.1892	84.9743	85.5217	85.5776	2021
1829	Europe and Northern America	66.6488	66.6968	67.7155	68.3409	69.1011	69.6245	70.3788	70.4398	71.451	71.5056	72.036	72.4325	72.2876	72.5471	73.1571	73.161	73.3917	73.5126	73.4419	73.3834	73.7008	73.9283	74.1388	74.2376	74.5808	74.7006	74.8693	75.2445	75.3381	75.5275	75.5277	75.8167	76.0833	76.0859	76.2255	76.2359	76.75	76.9304	77.0219	77.278	77.3816	77.4727	77.574	77.2162	77.3426	77.438	77.7058	77.9648	78.1703	78.1087	78.3005	78.5048	78.5074	78.5457	79.0346	79.111	79.5264	79.8088	79.9888	80.3003	80.476	80.8167	80.8966	81.0892	81.3673	81.3283	81.6319	81.7359	81.8842	82.1433	80.9113	80.4487	2021
901	More developed regions	66.0679	66.3019	67.4453	68.0595	68.884	69.4838	70.1547	70.2117	71.2839	71.3765	71.8947	72.3215	72.224	72.5621	73.1559	73.178	73.4419	73.6052	73.5646	73.5489	73.8398	74.1218	74.3596	74.4693	74.8065	74.9659	75.1515	75.5414	75.6583	75.8771	75.8794	76.1762	76.4587	76.4773	76.6436	76.6728	77.1819	77.3855	77.4706	77.7395	77.8545	77.9726	78.0819	77.7811	77.9393	78.0219	78.3265	78.5897	78.802	78.7543	78.9875	79.2106	79.2423	79.297	79.7742	79.8456	80.2547	80.5292	80.7041	81.0261	81.182	81.4548	81.5746	81.772	82.0408	82.0287	82.3184	82.4265	82.5699	82.8067	81.7432	81.3182	2021
902	Less developed regions	42.8329	43.4887	44.4184	44.964	45.7679	46.3795	46.9248	47.3666	47.8764	45.2958	43.2826	46.3112	49.7907	50.4053	51.0643	51.0025	51.6178	52.192	52.9955	53.4967	53.7549	53.9047	54.9851	55.6507	56.1369	56.5505	57.0233	57.8141	58.3772	58.9722	59.5093	60.0696	60.5854	60.8434	61.2654	61.6827	62.1989	62.6805	62.892	63.4357	63.7088	63.7196	64.0995	64.4679	64.4614	64.957	65.1292	65.4915	65.7798	66.1985	66.6187	67.1379	67.5182	67.9296	68.2182	68.7351	69.2264	69.5967	69.8358	70.372	70.7118	71.1648	71.5866	71.9662	72.3059	72.598	72.9251	73.238	73.4924	73.709	73.2177	72.1181	2021
941	Least developed countries	37.7941	38.1485	38.6764	39.0492	39.6211	40.0718	40.4691	40.2882	40.617	41.7067	42.0136	42.4791	42.9199	43.0734	43.7916	43.7591	44.0739	44.7076	45.063	45.3101	43.9529	41.9974	45.856	46.4685	46.3609	45.627	45.6183	47.4397	48.0169	48.4958	48.9477	49.2658	49.6326	48.7307	48.9363	49.3103	50.0002	50.6416	50.1441	51.3414	51.5796	51.1114	51.719	52.3496	51.6326	53.5413	53.6291	54.4033	54.5849	55.9214	56.4027	56.946	57.5046	58.1926	58.7091	59.3732	60.0171	60.5548	60.6836	61.8196	62.274	63.1601	63.8996	64.5774	64.9632	65.3973	65.9827	66.3844	66.8554	67.301	66.8064	66.4693	2021
934	Less developed regions, excluding least developed countries	43.617	44.3089	45.2866	45.8509	46.6831	47.3156	47.8855	48.4245	48.9672	45.8262	43.4843	46.9089	50.8773	51.5437	52.1785	52.1062	52.7742	53.3472	54.2293	54.7792	55.3267	55.89	56.4513	57.1409	57.7576	58.4126	58.987	59.6137	60.1984	60.8329	61.3968	61.999	62.534	63.0534	63.5246	63.9557	64.424	64.8531	65.2334	65.6172	65.9008	66.0466	66.3946	66.7242	66.875	67.117	67.3282	67.6267	67.9676	68.2019	68.6106	69.1191	69.4664	69.8296	70.0725	70.5584	71.018	71.349	71.6098	72.0128	72.3406	72.7022	73.0612	73.3847	73.72	73.9917	74.2708	74.5737	74.7925	74.9767	74.4852	73.2688	2021
