country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.1025	76.8159	77.5808	78.2798	78.9297	79.5207	80.0639	80.5748	81.0616	81.5295	81.9825	82.4156	82.8347	83.254	83.6751	84.0941
1834	Sub-Saharan Africa	62.5879	64.524	65.6378	66.691	67.6908	68.6412	69.5521	70.4251	71.2632	72.064	72.8308	73.5619	74.2675	74.9486	75.6118	76.2655
1833	Northern Africa and Western Asia	75.7041	77.4485	78.2728	79.0523	79.7839	80.4599	81.0886	81.6799	82.2295	82.7551	83.2639	83.7654	84.2755	84.789	85.3024	85.8118
1831	Central and Southern Asia	71.802	74.6984	75.8853	76.964	77.9623	78.8883	79.7445	80.547	81.2816	81.9618	82.6024	83.2053	83.7817	84.354	84.9161	85.474
1832	Eastern and South-Eastern Asia	80.266	81.303	82.0237	82.663	83.2627	83.83	84.3828	84.9199	85.4493	85.9682	86.4823	86.9881	87.4906	88.0062	88.5356	89.0433
1830	Latin America and the Caribbean	77.5709	79.7933	80.6184	81.3879	82.11	82.7958	83.4533	84.0856	84.697	85.2902	85.8752	86.455	87.0264	87.5911	88.1524	88.7134
1835	Oceania (excluding Australia and New Zealand)	70.8954	71.8786	72.6475	73.3412	73.9863	74.5963	75.1945	75.7844	76.3694	76.9609	77.5469	78.1457	78.7397	79.3297	79.9233	80.5137
1836	Australia/New Zealand	85.542	85.9764	86.5685	87.1534	87.7199	88.2907	88.8796	89.4578	90.0397	90.6285	91.198	91.7755	92.3378	92.9164	93.5043	94.0955
1829	Europe and Northern America	81.5174	83.2554	83.9017	84.5216	85.1396	85.7409	86.3223	86.8888	87.4606	88.049	88.6559	89.2733	89.8815	90.4702	91.042	91.6094
901	More developed regions	82.2946	83.8935	84.513	85.1031	85.694	86.2781	86.8569	87.4241	87.9901	88.5638	89.1503	89.7513	90.3492	90.9329	91.5006	92.0619
902	Less developed regions	73.5036	75.3168	76.1923	76.9938	77.7285	78.3864	78.9822	79.5316	80.0451	80.533	81.0016	81.4406	81.8578	82.2745	82.6964	83.118
941	Least developed countries	67.5092	69.2713	70.3176	71.287	72.1966	73.0523	73.8553	74.604	75.3016	75.9468	76.552	77.1236	77.6744	78.2074	78.7308	79.2531
934	Less developed regions, excluding least developed countries	74.6923	76.5509	77.4061	78.1922	78.9173	79.5701	80.167	80.7276	81.2604	81.7794	82.2881	82.7722	83.2332	83.6966	84.1681	84.6401
948	Less developed regions, excluding China	71.2631	73.4637	74.4019	75.271	76.0772	76.8219	77.511	78.1567	78.7554	79.3128	79.8385	80.3336	80.809	81.2756	81.7357	82.1962
1636	Land-locked Developing Countries (LLDC)	67.5537	69.4133	70.3839	71.2921	72.1466	72.9534	73.7178	74.4493	75.1459	75.8036	76.423	77.0096	77.5852	78.1543	78.7227	79.2845
1637	Small Island Developing States (SIDS)	75.4861	76.9992	77.8169	78.5345	79.1631	79.7114	80.2024	80.6603	81.1107	81.5627	82.0096	82.4542	82.8891	83.3282	83.7784	84.2353
1503	High-income countries	83.7685	84.8999	85.5065	86.0908	86.6694	87.2341	87.7936	88.3398	88.883	89.4325	89.986	90.5433	91.1035	91.6673	92.2279	92.7787
1517	Middle-income countries	74.1856	76.1346	77.0103	77.8139	78.5554	79.2253	79.8368	80.4108	80.9543	81.4791	81.9917	82.4804	82.946	83.4109	83.8811	84.3494
1502	Upper-middle-income countries	79.4953	81.0182	81.8202	82.5541	83.2406	83.8828	84.5039	85.0966	85.6667	86.2209	86.7804	87.3301	87.8559	88.377	88.9071	89.4297
1501	Lower-middle-income countries	70.291	72.667	73.6633	74.5906	75.4564	76.2649	77.0224	77.7475	78.4257	79.0621	79.6643	80.2315	80.7727	81.3037	81.8259	82.3444
1500	Low-income countries	65.8589	67.6314	68.6342	69.5543	70.4187	71.238	72.0189	72.766	73.489	74.186	74.8586	75.5039	76.1292	76.7334	77.3214	77.9039
1518	No income group available	76.2952	77.9228	78.7104	79.4588	80.1682	80.8624	81.5395	82.1981	82.8348	83.4634	84.0802	84.6771	85.2696	85.8525	86.4117	86.9704
903	Africa	64.5936	66.4395	67.4916	68.4951	69.445	70.3369	71.1794	71.9781	72.7354	73.4539	74.1412	74.8007	75.4479	76.0816	76.703	77.3156
910	Eastern Africa	66.7478	68.704	69.8131	70.8401	71.8038	72.7227	73.5998	74.4364	75.2325	75.986	76.7084	77.4084	78.0954	78.7679	79.4288	80.0809
108	Burundi	64.2554	66.023	66.9495	67.824	68.6612	69.4804	70.2449	70.9992	71.7334	72.4282	73.1251	73.7969	74.4526	75.1087	75.7267	76.3311
174	Comoros	66.7223	68.3691	69.5059	70.5601	71.5369	72.4642	73.35	74.1805	74.9864	75.7549	76.509	77.2287	77.9402	78.632	79.3124	79.9755
262	Djibouti	65.8703	67.609	68.7369	69.8087	70.8086	71.7625	72.6689	73.5373	74.3659	75.1684	75.9364	76.6826	77.3938	78.1055	78.8116	79.4905
232	Eritrea	69.4367	71.7535	73.044	74.2286	75.2989	76.2825	77.2141	78.096	78.9396	79.7262	80.4856	81.2257	81.9166	82.605	83.2641	83.9066
231	Ethiopia	69.2105	71.2383	72.5022	73.6322	74.6422	75.5909	76.4793	77.3168	78.1155	78.8785	79.5966	80.2901	80.9699	81.634	82.2824	82.914
404	Kenya	65.2905	67.2756	68.3464	69.3451	70.2798	71.1704	72.0222	72.8387	73.6233	74.3798	75.1182	75.8511	76.578	77.2707	77.9502	78.632
450	Madagascar	68.1804	70.4699	71.6812	72.7909	73.8039	74.7315	75.6031	76.4295	77.2024	77.9536	78.6643	79.3578	80.0167	80.6609	81.2937	81.8999
454	Malawi	67.3674	69.8881	70.9082	71.8608	72.7335	73.5465	74.3097	75.0412	75.7587	76.4375	77.1077	77.7626	78.4049	79.0214	79.6398	80.2398
480	Mauritius	77.8931	79.3339	79.9959	80.6389	81.2612	81.8785	82.4924	83.1203	83.7102	84.3099	84.8767	85.4431	86.0237	86.5747	87.1487	87.7089
175	Mayotte	79.871	82.2233	82.9845	83.7074	84.376	85.0364	85.6776	86.309	86.9334	87.5367	88.1415	88.754	89.3502	89.9436	90.5329	91.1288
508	Mozambique	64.0037	66.3538	67.658	68.8509	69.9399	70.9703	71.9321	72.8194	73.6821	74.4864	75.2651	76.0194	76.741	77.4461	78.1314	78.7991
638	Réunion	85.3626	86.0793	86.6652	87.2475	87.8373	88.4062	88.9587	89.4922	90.0477	90.6098	91.1814	91.7254	92.2985	92.8651	93.4157	93.954
646	Rwanda	69.1784	70.4811	71.5452	72.5319	73.4552	74.3187	75.1431	75.9309	76.6861	77.4161	78.117	78.8101	79.5012	80.1522	80.7946	81.4302
690	Seychelles	77.4199	80.1238	81.0032	81.78	82.5443	83.2798	83.953	84.5902	85.2627	85.8752	86.4887	87.1245	87.7351	88.3495	88.9389	89.5214
706	Somalia	58.6869	60.9735	62.0883	63.1611	64.2185	65.2399	66.2262	67.1799	68.0996	68.9801	69.8261	70.6543	71.466	72.2719	73.0446	73.7915
728	South Sudan	57.4669	59.3843	60.6036	61.7812	62.926	64.0256	65.0738	66.1036	67.1075	68.0718	68.9849	69.8518	70.6738	71.4722	72.2614	73.056
800	Uganda	65.6042	66.8893	67.912	68.8566	69.7597	70.6129	71.4308	72.2223	72.9895	73.7201	74.4374	75.1207	75.7983	76.4658	77.1076	77.7597
834	United Republic of Tanzania	69.2615	71.1639	72.2816	73.3365	74.3231	75.2489	76.1302	76.9613	77.7494	78.5125	79.2504	79.9572	80.6517	81.3351	82.0197	82.6838
894	Zambia	65.1659	67.0281	67.9104	68.7487	69.5539	70.3281	71.0801	71.8132	72.5305	73.2425	73.933	74.604	75.2499	75.9055	76.5534	77.1881
716	Zimbabwe	63.3752	65.0588	65.8719	66.6681	67.44	68.1792	68.909	69.6212	70.3105	70.9966	71.6901	72.3556	73.0224	73.6763	74.3228	74.9591
911	Middle Africa	62.1839	63.7259	64.6617	65.5548	66.4096	67.2251	68.0116	68.7647	69.5038	70.2299	70.9341	71.6143	72.2871	72.9475	73.585	74.2203
24	Angola	65.1652	66.6325	67.5896	68.4805	69.3243	70.1306	70.9014	71.6282	72.3378	73.0214	73.7127	74.3699	75.0044	75.6253	76.2237	76.8379
120	Cameroon	62.9892	64.7263	65.6638	66.5376	67.3608	68.1335	68.8765	69.5941	70.2788	70.9585	71.6135	72.2694	72.9016	73.5375	74.1618	74.7649
140	Central African Republic	57.1948	58.9539	60.0263	61.0325	62.0259	62.9532	63.8482	64.6911	65.5035	66.284	67.0392	67.7641	68.4742	69.1448	69.7922	70.4622
148	Chad	54.9723	56.4526	57.3706	58.267	59.137	59.989	60.8219	61.6272	62.4032	63.1741	63.9199	64.6326	65.3348	65.9999	66.6677	67.3052
178	Congo	65.0397	65.7395	66.5906	67.3901	68.1581	68.8964	69.634	70.3407	71.0296	71.7015	72.3727	73.0443	73.6956	74.3188	74.9658	75.588
180	Democratic Republic of the Congo	62.2945	63.9043	64.8683	65.7863	66.6584	67.4827	68.2721	69.0248	69.7681	70.4981	71.1929	71.8612	72.5308	73.1941	73.8278	74.466
226	Equatorial Guinea	63.5414	65.1266	66.0354	66.911	67.7457	68.5368	69.3051	70.0554	70.7801	71.4701	72.1598	72.8361	73.494	74.1451	74.7722	75.3954
266	Gabon	68.9302	70.2187	70.9806	71.7036	72.3885	73.0666	73.7169	74.3486	74.964	75.5758	76.1781	76.7856	77.3689	77.9679	78.5615	79.1237
678	Sao Tome and Principe	71.5419	72.5233	73.0672	73.6218	74.175	74.7264	75.2752	75.8492	76.4116	76.9755	77.532	78.0946	78.657	79.2255	79.7924	80.3345
912	Northern Africa	74.0551	75.662	76.5195	77.3353	78.1065	78.8151	79.4714	80.0967	80.6846	81.2537	81.8091	82.351	82.9025	83.448	83.9801	84.4972
