country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	75.3091	77.2749	78.2135	79.0284	79.8151	80.4646	81.0914	81.679	82.2127	82.7159	83.1806	83.6761	84.1645	84.5725	85.0053	85.4136
1834	Sub-Saharan Africa	62.9618	65.3418	66.7343	67.9202	69.0391	70.1213	71.1751	72.094	73.0289	73.968	74.8342	75.6088	76.3097	77.0424	77.7007	78.3986
1833	Northern Africa and Western Asia	75.9752	78.0905	79.0648	79.9493	80.7839	81.5849	82.2873	82.9426	83.545	84.1385	84.7044	85.2915	85.8769	86.4472	87.0284	87.6179
1831	Central and Southern Asia	72.5193	76.0823	77.5524	78.7974	79.9568	81.057	82.0539	82.9145	83.6958	84.4886	85.2002	85.9065	86.5543	87.2208	87.8595	88.4544
1832	Eastern and South-Eastern Asia	80.6392	82.2148	83.1962	84.0249	84.7435	85.5176	86.2297	86.9186	87.5294	88.0859	88.7817	89.3137	90.0169	90.614	91.2	91.7812
1830	Latin America and the Caribbean	77.8689	80.4434	81.4351	82.32	83.1329	83.9107	84.6621	85.3463	85.9972	86.6217	87.3007	87.9667	88.5791	89.1782	89.7863	90.3521
1835	Oceania (excluding Australia and New Zealand)	71.617	73.6532	74.8668	75.8227	76.7724	77.638	78.5637	79.3179	80.0626	80.884	81.5381	82.3158	82.9692	83.7283	84.3587	85.0168
1836	Australia/New Zealand	85.9965	87.1372	88.1014	88.9843	89.7262	90.5809	91.4559	92.1726	92.9512	93.7396	94.5511	95.2997	96.0282	96.7879	97.5154	98.2325
1829	Europe and Northern America	81.72	83.7473	84.5645	85.3192	86.0542	86.786	87.4432	88.1027	88.7636	89.4032	90.0812	90.8053	91.5049	92.22	92.8098	93.4681
901	More developed regions	82.4783	84.3593	85.1168	85.8152	86.5253	87.2091	87.8613	88.5148	89.147	89.7873	90.4425	91.1461	91.8336	92.5187	93.1744	93.7816
902	Less developed regions	73.7395	75.8656	76.9265	77.8659	78.7643	79.5015	80.1864	80.8183	81.3657	81.8718	82.3304	82.8444	83.3227	83.72	84.1355	84.5808
941	Least developed countries	67.7347	69.8295	71.0405	72.1537	73.1967	74.1802	75.0472	75.8804	76.6264	77.3	77.9638	78.6319	79.2405	79.778	80.3273	80.891
934	Less developed regions, excluding least developed countries	74.9849	77.2194	78.297	79.2573	80.1699	80.9481	81.6366	82.3119	82.9071	83.4919	84.02	84.5746	85.0975	85.533	86.0472	86.5293
948	Less developed regions, excluding China	71.552	74.0357	75.1298	76.1263	77.0663	77.8732	78.6543	79.3498	80.0168	80.6483	81.1998	81.7303	82.2439	82.6592	83.1581	83.63
1636	Land-locked Developing Countries (LLDC)	67.862	70.1344	71.2892	72.3648	73.3399	74.2916	75.1837	75.9709	76.7835	77.5003	78.1973	78.8477	79.4989	80.08	80.6764	81.3133
1637	Small Island Developing States (SIDS)	75.8228	77.8115	78.8205	79.6792	80.4525	81.1143	81.7012	82.3299	82.8815	83.4139	83.9378	84.4245	84.9112	85.444	85.9156	86.4319
1503	High-income countries	83.9143	85.3427	86.0646	86.766	87.4348	88.0624	88.7501	89.3724	89.99	90.6099	91.2509	91.878	92.5381	93.2158	93.8516	94.4591
1517	Middle-income countries	74.4572	76.7416	77.8278	78.8034	79.7118	80.49	81.2103	81.8662	82.4569	83.06	83.5661	84.134	84.6642	85.1199	85.6463	86.126
1502	Upper-middle-income countries	79.8166	81.8318	82.8606	83.725	84.6151	85.4185	86.14	86.894	87.5132	88.1603	88.7694	89.3411	89.9372	90.4503	91.0975	91.6253
1501	Lower-middle-income countries	70.7263	73.546	74.7439	75.8741	76.9154	77.8413	78.7388	79.5286	80.2826	81.0264	81.7267	82.3174	82.9018	83.4408	83.962	84.4782
1500	Low-income countries	66.1573	68.3299	69.5177	70.6132	71.6222	72.5762	73.4866	74.3334	75.1239	75.8993	76.5737	77.3238	77.9963	78.6358	79.2633	79.862
1518	No income group available	77.0575	79.6082	80.7304	81.6998	82.79	83.6957	84.4881	85.2636	86.0217	86.8937	87.602	88.3833	89.1353	89.9328	90.6248	91.2315
903	Africa	64.9135	67.1663	68.4453	69.6038	70.6855	71.6571	72.6157	73.5142	74.3408	75.1964	75.9727	76.6403	77.3551	78.0078	78.651	79.2777
910	Eastern Africa	67.1452	69.6432	70.9981	72.2301	73.3523	74.4407	75.4117	76.3807	77.2155	77.965	78.7866	79.539	80.2581	80.9886	81.6861	82.3754
108	Burundi	65.3145	68.4829	70.1303	71.5962	72.9423	74.155	75.2642	76.3211	77.2819	78.2113	79.0789	79.9185	80.7119	81.4785	82.2322	82.977
174	Comoros	67.7473	70.7206	72.4546	73.9903	75.3615	76.5866	77.7214	78.7734	79.7698	80.7207	81.6181	82.4619	83.2939	84.0673	84.8237	85.5675
262	Djibouti	66.914	70.0798	71.9369	73.5814	75.0558	76.3749	77.5755	78.6829	79.7085	80.688	81.6056	82.4766	83.3121	84.1066	84.8644	85.605
232	Eritrea	70.4555	74.1504	76.086	77.7035	79.1296	80.3812	81.5263	82.5747	83.5441	84.4323	85.2878	86.1166	86.9119	87.6924	88.4468	89.193
231	Ethiopia	70.2916	73.8498	75.8785	77.5515	78.9821	80.2275	81.343	82.3645	83.3127	84.1806	84.9953	85.7717	86.5211	87.275	88.0086	88.7198
