country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	73.795	75.331	75.562	75.596	75.65	75.8	75.904	76.03	76.131	76.237	76.314	76.426	76.588	76.628	76.74	76.879	77.013	77.109	77.224	77.341	77.456	77.543	77.546	77.664	77.746	77.884	77.921	78.047	78.089	78.171	78.27	78.415	78.439	78.5	78.602	78.645	78.713	78.819	78.883	78.99	79.058	79.108	79.185	79.244	79.332	79.431	79.502	79.63	79.728	79.771	79.834	79.904	80.008	80.112	80.19	80.29	80.356	80.375	80.48	80.595	80.679	80.751	80.837	80.822	80.866	80.861	80.973	80.975	81.141	81.204	81.289	81.386	81.41	81.502	81.523	81.549	81.674	81.821	81.832
1834	Sub-Saharan Africa	61.091	61.834	62.563	62.647	62.744	62.802	62.96	63.12	63.184	63.364	63.477	63.632	63.787	63.922	64.037	64.175	64.359	64.561	64.632	64.701	64.946	65.05	65.128	65.296	65.424	65.56	65.79	65.954	66.032	66.248	66.306	66.522	66.72	67.045	67.088	67.265	67.376	67.411	67.581	67.663	67.76	67.934	67.98	68.042	68.305	68.49	68.697	68.85	68.878	68.932	69.131	69.187	69.36	69.69	69.669	69.782	70.036	70.196	70.274	70.291	70.517	70.676	70.748	70.936	70.994	71.168	71.297	71.359	71.428	71.422	71.636	71.907	72.061	72.067	72.24	72.314	72.413	72.625	72.563
1833	Northern Africa and Western Asia	74.846	75.325	75.976	76.054	76.15	76.204	76.279	76.405	76.516	76.619	76.761	76.876	76.987	77.139	77.266	77.394	77.49	77.583	77.659	77.809	77.979	78.044	78.191	78.319	78.42	78.511	78.664	78.737	78.829	78.927	79.026	79.143	79.164	79.278	79.38	79.393	79.488	79.633	79.683	79.816	79.887	79.933	80.059	80.21	80.269	80.294	80.439	80.465	80.521	80.592	80.657	80.736	80.806	80.896	80.942	81.082	81.182	81.352	81.394	81.382	81.482	81.672	81.689	81.743	81.848	81.987	82.094	82.177	82.235	82.32	82.475	82.482	82.551	82.588	82.698	82.772	82.856	82.842	82.881
1831	Central and Southern Asia	68.554	71.909	71.865	71.941	72.044	72.101	72.268	72.415	72.679	72.625	72.755	72.736	72.944	72.947	73.113	73.246	73.496	73.751	73.705	73.933	74.04	74.246	74.285	74.585	74.692	74.86	74.939	75.018	75.207	75.29	75.453	75.556	75.787	75.898	75.87	76.069	76.069	76.287	76.361	76.542	76.638	76.665	76.916	76.921	77.018	77.267	77.34	77.352	77.454	77.767	77.817	77.921	77.926	78.056	78.029	77.981	78.229	78.464	78.603	78.632	78.691	78.874	78.99	79.171	79.398	79.42	79.587	79.652	79.704	79.789	79.688	79.897	80.021	80.115	80.21	80.237	80.288	80.444	80.526
1832	Eastern and South-Eastern Asia	79.01	79.387	79.408	79.445	79.49	79.525	79.575	79.644	79.789	79.775	79.909	79.976	80.015	80.168	80.073	80.087	80.112	80.26	80.346	80.4	80.448	80.532	80.642	80.735	80.805	80.888	81.046	81.089	81.224	81.315	81.34	81.467	81.463	81.566	81.677	81.769	81.805	81.92	81.957	82.086	82.191	82.318	82.315	82.381	82.407	82.598	82.715	82.779	82.806	82.896	82.984	83.062	83.173	83.186	83.189	83.195	83.378	83.58	83.688	83.72	83.805	83.939	84.004	84.054	84.166	84.262	84.282	84.279	84.478	84.577	84.528	84.737	84.804	84.916	84.941	85.16	85.24	85.353	85.378
1830	Latin America and the Caribbean	76.247	78.086	78.237	78.349	78.455	78.507	78.582	78.738	78.86	78.954	79.108	79.154	79.271	79.383	79.478	79.617	79.701	79.829	79.95	80.034	80.158	80.207	80.349	80.43	80.604	80.734	80.796	80.994	81.122	81.232	81.324	81.403	81.432	81.574	81.695	81.803	81.913	82.07	82.138	82.26	82.365	82.418	82.544	82.558	82.654	82.81	82.86	82.972	83.049	83.117	83.197	83.308	83.39	83.586	83.713	83.835	84.021	84.109	84.27	84.267	84.441	84.573	84.617	84.672	84.751	84.897	84.988	85.091	85.284	85.338	85.453	85.52	85.686	85.852	85.908	86.076	86.135	86.186	86.379
1835	Oceania (excluding Australia and New Zealand)	68.902	68.906	68.778	68.737	68.647	68.539	68.608	68.636	68.701	68.659	68.471	68.537	68.593	68.615	68.59	68.669	68.74	68.572	68.866	68.799	68.98	69.012	68.885	68.857	68.753	68.82	68.948	68.986	68.99	69.13	68.905	69.001	69.134	69.373	69.281	69.434	69.576	69.663	69.53	69.728	69.733	69.918	69.967	69.921	69.954	69.947	70.145	69.967	69.996	70.032	70.159	70.325	70.477	70.642	70.684	70.427	70.516	70.745	70.872	70.787	70.963	70.97	71.066	71.048	71.095	71.304	71.302	71.431	71.31	71.396	71.466	71.518	71.677	71.568	71.634	71.933	71.84	72.127	71.929
1836	Australia/New Zealand	84.712	84.732	84.739	84.739	84.764	84.767	84.764	84.811	84.805	84.846	84.861	84.877	84.881	84.897	84.955	84.982	84.999	85.054	85.064	85.013	85.116	85.079	85.158	85.15	85.258	85.229	85.311	85.366	85.392	85.42	85.462	85.522	85.503	85.578	85.576	85.612	85.623	85.641	85.734	85.821	85.854	85.888	85.878	85.883	85.943	86.109	86.091	86.132	86.219	86.326	86.368	86.51	86.315	86.418	86.365	86.414	86.608	86.56	86.704	86.796	86.869	86.885	86.938	87.071	87.147	87.162	87.153	87.303	87.352	87.433	87.616	87.624	87.574	87.704	87.867	88.07	88.066	88.043	88.181
1829	Europe and Northern America	80.499	81.972	82.237	82.283	82.356	82.464	82.523	82.622	82.731	82.804	82.884	82.988	83.096	83.196	83.202	83.331	83.394	83.514	83.6	83.713	83.81	83.876	83.973	84.063	84.183	84.259	84.394	84.461	84.528	84.605	84.662	84.728	84.77	84.897	84.926	85.019	85.058	85.196	85.252	85.323	85.38	85.483	85.53	85.593	85.75	85.826	85.945	86.014	86.082	86.173	86.267	86.348	86.426	86.584	86.705	86.77	86.878	86.954	87.068	87.168	87.291	87.376	87.446	87.568	87.605	87.675	87.816	87.896	87.919	87.963	88.142	88.211	88.314	88.418	88.494	88.555	88.607	88.718	88.859
901	More developed regions	81.343	82.668	82.916	82.999	83.063	83.15	83.213	83.298	83.414	83.49	83.544	83.646	83.778	83.825	83.894	84.017	84.058	84.186	84.27	84.328	84.448	84.531	84.586	84.691	84.775	84.857	84.931	85.026	85.137	85.209	85.296	85.404	85.464	85.573	85.622	85.714	85.744	85.876	85.914	85.978	86.059	86.097	86.219	86.295	86.397	86.488	86.611	86.693	86.754	86.875	86.929	86.966	87.073	87.222	87.351	87.452	87.54	87.636	87.745	87.819	87.998	88.068	88.091	88.218	88.331	88.397	88.531	88.599	88.636	88.766	88.876	88.937	89.018	89.102	89.185	89.231	89.312	89.43	89.577
902	Less developed regions	72.038	73.615	73.844	73.866	73.952	74.086	74.235	74.361	74.473	74.602	74.73	74.786	75.022	75.094	75.213	75.364	75.498	75.602	75.747	75.885	75.983	76.076	76.125	76.232	76.323	76.54	76.563	76.668	76.72	76.84	76.895	77.032	77.146	77.239	77.259	77.381	77.416	77.505	77.634	77.712	77.824	77.909	77.94	78.07	78.114	78.26	78.303	78.371	78.503	78.575	78.621	78.721	78.819	78.885	78.985	79.047	79.089	79.154	79.243	79.34	79.404	79.508	79.555	79.594	79.717	79.686	79.81	79.807	79.99	80.089	80.122	80.244	80.286	80.321	80.377	80.404	80.431	80.567	80.604
941	Least developed countries	66.675	67.315	67.779	67.876	68.105	68.227	68.411	68.573	68.674	68.796	68.938	69.1	69.185	69.356	69.484	69.669	69.844	69.91	70.016	70.139	70.299	70.469	70.688	70.793	70.946	71.031	71.199	71.328	71.483	71.649	71.763	71.808	71.922	72.072	72.147	72.295	72.49	72.591	72.695	72.764	72.899	72.969	73.1	73.159	73.283	73.346	73.476	73.59	73.588	73.635	73.804	73.912	73.993	74.02	74.108	74.146	74.274	74.346	74.444	74.624	74.69	74.795	74.854	74.961	75.006	75.067	75.234	75.253	75.378	75.473	75.522	75.624	75.706	75.85	75.825	75.852	75.836	76.011	76.081
934	Less developed regions, excluding least developed countries	73.004	74.686	74.869	74.913	74.998	75.077	75.254	75.323	75.468	75.578	75.689	75.756	75.842	75.97	76.066	76.232	76.368	76.485	76.608	76.744	76.781	76.911	76.878	77.033	77.114	77.317	77.372	77.424	77.496	77.607	77.584	77.738	77.832	77.848	77.976	78.058	78.184	78.203	78.26	78.413	78.44	78.603	78.656	78.647	78.643	78.725	78.759	78.854	79.009	79.057	79.08	79.234	79.375	79.424	79.475	79.587	79.646	79.654	79.78	79.856	79.952	79.953	80.035	80.135	80.147	80.304	80.371	80.441	80.497	80.551	80.687	80.639	80.691	80.79	80.832	80.914	81.016	81.052	81.088
948	Less developed regions, excluding China	69.571	71.697	71.966	72.033	72.15	72.27	72.406	72.551	72.732	72.837	72.96	73.063	73.233	73.35	73.467	73.638	73.72	73.909	74.028	74.144	74.26	74.412	74.533	74.596	74.685	74.873	74.93	75.05	75.201	75.283	75.354	75.535	75.614	75.822	75.909	75.944	76.118	76.205	76.297	76.377	76.533	76.588	76.616	76.722	76.804	76.955	77.087	77.161	77.21	77.28	77.392	77.461	77.592	77.731	77.746	77.849	77.924	78.052	78.128	78.188	78.221	78.328	78.484	78.499	78.494	78.627	78.7	78.808	78.908	79.006	79.092	79.199	79.201	79.228	79.265	79.402	79.438	79.526	79.687
