country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	74.6619	75.7977	76.3407	76.8753	77.4228	77.8532	78.2773	78.656	79.0449	79.4278	79.8489	80.2644	80.6681	80.8992	81.2856	81.6132
1834	Sub-Saharan Africa	61.8681	62.8597	63.4948	64.2167	64.8959	65.6098	66.3698	67.2393	67.7856	68.4799	69.0992	69.876	70.502	71.1513	71.6912	72.3315
1833	Northern Africa and Western Asia	75.1548	76.2205	76.7545	77.3767	77.9388	78.5318	79.0189	79.4352	79.8762	80.3357	80.6626	81.0909	81.5237	81.9694	82.4122	82.7507
1831	Central and Southern Asia	70.7591	72.1557	72.7487	73.3127	74.0431	74.8194	75.4589	76.0386	76.624	77.1788	77.7762	78.1508	78.7568	79.4442	79.8183	80.2576
1832	Eastern and South-Eastern Asia	79.4653	79.5358	79.8927	80.1399	80.4731	80.9117	81.361	81.7461	82.1717	82.5738	82.9825	83.3035	83.8293	84.2073	84.623	85.119
1830	Latin America and the Caribbean	77.0187	78.5272	79.0703	79.6023	80.1399	80.7117	81.3024	81.8104	82.3443	82.7699	83.2112	83.8511	84.4321	84.8779	85.4545	86.0297
1835	Oceania (excluding Australia and New Zealand)	69.4372	68.6328	68.5915	68.6373	68.9088	68.8733	69.0321	69.466	69.7753	69.9868	70.1978	70.6027	70.9313	71.2354	71.4725	71.8188
1836	Australia/New Zealand	85.0521	84.7692	84.8542	84.9777	85.0862	85.2631	85.4599	85.6061	85.8351	86.0316	86.3476	86.4729	86.8383	87.167	87.5196	87.9495
1829	Europe and Northern America	81.2137	82.4496	82.9005	83.3272	83.794	84.2715	84.6582	85.0186	85.393	85.8248	86.2585	86.7774	87.2689	87.7112	88.109	88.5578
901	More developed regions	81.9975	83.1446	83.5742	83.9957	84.4322	84.8555	85.3014	85.7052	86.0528	86.496	86.9188	87.4393	87.9434	88.4143	88.8458	89.2514
902	Less developed regions	72.972	74.1024	74.7247	75.3561	75.9643	76.4663	76.9274	77.3603	77.804	78.2237	78.6477	79.0319	79.4096	79.7225	80.1457	80.4196
941	Least developed countries	67.0212	68.2453	68.9435	69.6576	70.3273	71.0631	71.7274	72.3219	72.8872	73.3725	73.7878	74.1795	74.682	75.1045	75.5407	75.8748
934	Less developed regions, excluding least developed countries	74.0657	75.1144	75.6676	76.2254	76.7848	77.2525	77.6515	78.0537	78.474	78.7253	79.1503	79.5567	79.9146	80.2787	80.6124	80.9199
948	Less developed regions, excluding China	70.7672	72.2851	72.9676	73.6194	74.2775	74.8284	75.3987	76.0005	76.4828	76.9463	77.3872	77.8604	78.2696	78.6253	79.0809	79.3714
1636	Land-locked Developing Countries (LLDC)	66.971	68.082	68.7466	69.3576	69.9559	70.5473	71.1314	71.7036	72.305	72.7774	73.2301	73.7217	74.2116	74.636	75.1306	75.5174
1637	Small Island Developing States (SIDS)	74.8856	75.6342	76.1003	76.4831	76.882	77.208	77.5193	77.765	78.0986	78.3085	78.6696	79.0146	79.3386	79.565	79.9526	80.1178
1503	High-income countries	83.516	84.2452	84.6543	85.0398	85.4531	85.8607	86.2924	86.6652	87.0415	87.4669	87.8472	88.3131	88.8035	89.2547	89.6441	90.1002
1517	Middle-income countries	73.613	74.7971	75.3827	75.9713	76.5966	77.1072	77.5194	77.9278	78.3744	78.7166	79.1841	79.5574	79.8917	80.2577	80.6653	81.0133
