country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	75	76.585	76.977	77.187	77.371	77.556	77.749	77.922	78.164	78.361	78.555	78.76	78.937	79.05	79.24	79.412	79.558	79.723	79.895	80.082	80.257	80.399	80.547	80.668	80.824	80.931	81.074	81.225	81.362	81.482	81.67	81.795	81.926	82.06	82.169	82.262	82.361	82.499	82.591	82.655	82.759	82.911	82.993	83.085	83.21	83.323	83.426	83.525	83.658	83.706	83.779	83.923	83.969	84.062	84.191	84.265	84.387	84.487	84.542	84.683	84.783	84.896	84.96	85.043	85.161	85.233	85.238	85.345	85.449	85.543	85.618	85.734	85.872	85.951	86.024	86.071	86.203	86.274	86.366
1834	Sub-Saharan Africa	62.964	63.975	64.864	65.22	65.452	65.808	66.079	66.319	66.636	66.951	67.221	67.504	67.764	68.079	68.332	68.557	68.836	69.096	69.366	69.67	69.878	70.13	70.451	70.648	70.848	71.086	71.338	71.56	71.705	71.923	72.142	72.413	72.566	72.726	72.922	73.023	73.299	73.527	73.702	73.857	74.118	74.314	74.409	74.72	74.863	74.978	75.229	75.507	75.662	75.786	75.856	76.02	76.178	76.349	76.537	76.671	76.876	77.095	77.202	77.381	77.531	77.632	77.736	78.007	78.107	78.202	78.342	78.444	78.566	78.696	78.803	78.939	79.088	79.243	79.418	79.567	79.656	79.805	79.927
1833	Northern Africa and Western Asia	76.267	76.955	77.749	77.968	78.201	78.417	78.647	78.858	79.077	79.263	79.482	79.684	79.841	80.06	80.287	80.392	80.603	80.767	80.941	81.098	81.323	81.449	81.662	81.794	81.966	82.106	82.274	82.442	82.587	82.735	82.904	83.027	83.194	83.314	83.484	83.629	83.738	83.847	83.919	84.071	84.205	84.316	84.476	84.643	84.725	84.82	85.029	85.15	85.284	85.343	85.523	85.593	85.79	85.854	85.987	86.055	86.224	86.353	86.422	86.58	86.649	86.752	86.95	87.029	87.105	87.214	87.367	87.491	87.583	87.714	87.85	87.98	88.095	88.151	88.235	88.437	88.605	88.722	88.854
1831	Central and Southern Asia	71.953	75.156	75.733	76.059	76.429	76.758	77.146	77.409	77.807	78.224	78.528	78.743	79.098	79.402	79.631	79.783	80.12	80.376	80.571	80.826	81.081	81.302	81.492	81.738	81.972	82.203	82.512	82.684	82.772	83.068	83.206	83.612	83.729	83.925	83.942	84.207	84.363	84.53	84.787	84.966	85.05	85.231	85.312	85.427	85.595	85.731	86.002	86.205	86.239	86.382	86.44	86.685	86.797	86.991	87.018	87.132	87.367	87.595	87.72	87.877	87.878	87.976	88.144	88.279	88.412	88.475	88.681	88.801	89.068	89.12	89.301	89.503	89.572	89.638	89.66	89.814	89.994	90.159	90.246
1832	Eastern and South-Eastern Asia	81.005	81.707	82.009	82.219	82.504	82.674	82.889	83.087	83.344	83.567	83.8	84.006	84.158	84.333	84.563	84.777	84.912	85.142	85.273	85.369	85.534	85.717	85.936	86.153	86.311	86.485	86.663	86.852	86.98	87.125	87.248	87.412	87.533	87.713	87.874	87.986	88.094	88.251	88.405	88.518	88.711	88.926	89.071	89.212	89.366	89.465	89.529	89.572	89.653	89.893	90.075	90.12	90.278	90.45	90.567	90.705	90.796	90.834	91.141	91.097	91.31	91.33	91.432	91.593	91.646	91.796	91.987	92.122	92.175	92.374	92.478	92.668	92.786	92.914	92.937	93.143	93.303	93.454	93.725
1830	Latin America and the Caribbean	77.779	79.766	80.118	80.33	80.616	80.853	81.084	81.275	81.457	81.616	81.854	82.056	82.293	82.467	82.69	82.85	82.967	83.135	83.356	83.508	83.636	83.833	84.028	84.156	84.341	84.434	84.626	84.778	84.965	85.127	85.287	85.487	85.607	85.72	85.877	86.037	86.136	86.263	86.454	86.537	86.695	86.822	86.978	87.089	87.217	87.376	87.493	87.651	87.763	87.837	88.016	88.139	88.292	88.482	88.586	88.703	88.886	88.999	89.152	89.215	89.423	89.476	89.642	89.699	89.832	89.972	90.164	90.234	90.444	90.553	90.64	90.758	90.924	91.059	91.166	91.358	91.437	91.557	91.728
1835	Oceania (excluding Australia and New Zealand)	72.639	72.949	73.472	73.835	74.241	74.542	74.896	75.13	75.486	75.817	75.959	76.19	76.44	76.842	77.097	77.35	77.454	77.543	77.798	77.953	78.206	78.386	78.601	78.663	78.893	79.049	79.28	79.389	79.7	79.899	80	80.169	80.412	80.672	80.78	80.97	81.056	81.224	81.369	81.633	81.704	81.903	82.068	82.201	82.379	82.668	82.866	82.967	83.055	83.254	83.438	83.537	83.649	83.886	84.044	84.098	84.19	84.333	84.616	84.739	84.852	85.164	85.28	85.398	85.45	85.622	85.761	85.972	86.026	86.159	86.326	86.536	86.526	86.743	87.017	87.068	87.184	87.458	87.6
1836	Australia/New Zealand	86.452	86.723	87.035	87.316	87.587	87.825	88.072	88.245	88.476	88.681	89.01	89.198	89.339	89.518	89.764	90.04	90.162	90.319	90.521	90.6	90.76	90.926	91.198	91.324	91.533	91.709	92.023	92.116	92.212	92.563	92.704	92.848	93.101	93.224	93.407	93.651	93.879	94.01	94.25	94.34	94.391	94.69	94.812	95.047	95.04	95.287	95.555	95.683	95.794	95.988	96.206	96.549	96.552	96.81	97.013	97.114	97.37	97.482	97.705	97.939	98.183	98.25	98.596	98.704	98.729	98.886	99.114	99.213	99.351	99.588	99.83	100.076	100.112	100.366	100.387	100.593	100.596	100.869	100.937
1829	Europe and Northern America	81.311	83.026	83.484	83.673	83.841	84.013	84.196	84.359	84.537	84.728	84.898	85.067	85.237	85.41	85.594	85.731	85.837	86.031	86.169	86.348	86.491	86.621	86.828	86.941	87.095	87.279	87.422	87.537	87.724	87.892	87.992	88.13	88.288	88.426	88.539	88.685	88.824	88.94	89.071	89.247	89.319	89.466	89.62	89.796	89.955	90.047	90.263	90.373	90.53	90.689	90.882	91.038	91.186	91.347	91.584	91.721	91.832	92.028	92.189	92.345	92.434	92.607	92.731	92.881	93.021	93.179	93.368	93.492	93.591	93.766	93.894	94.007	94.16	94.299	94.427	94.534	94.704	94.905	95.056
901	More developed regions	82.112	83.678	84.088	84.26	84.431	84.597	84.793	84.943	85.093	85.285	85.445	85.582	85.783	85.917	86.086	86.23	86.327	86.499	86.625	86.79	86.945	87.104	87.236	87.386	87.537	87.692	87.845	87.987	88.125	88.26	88.435	88.568	88.723	88.831	88.975	89.153	89.25	89.396	89.532	89.714	89.805	89.901	90.018	90.21	90.319	90.422	90.609	90.765	90.952	91.063	91.181	91.38	91.464	91.666	91.859	91.947	92.19	92.285	92.452	92.593	92.77	92.87	93.009	93.184	93.284	93.455	93.577	93.753	93.873	94.011	94.132	94.293	94.387	94.505	94.633	94.731	94.917	95.08	95.245
902	Less developed regions	73.49	75.092	75.514	75.744	75.953	76.175	76.408	76.632	76.91	77.118	77.347	77.563	77.774	77.962	78.141	78.35	78.531	78.735	78.913	79.097	79.258	79.447	79.591	79.743	79.944	80.103	80.228	80.375	80.513	80.634	80.78	80.906	81.143	81.25	81.326	81.464	81.61	81.712	81.807	81.873	82.043	82.108	82.216	82.351	82.475	82.595	82.691	82.79	82.854	82.972	83.01	83.108	83.163	83.313	83.391	83.52	83.609	83.716	83.811	83.895	83.97	84.144	84.15	84.268	84.399	84.45	84.526	84.586	84.666	84.774	84.865	84.97	85.064	85.201	85.215	85.344	85.453	85.502	85.592
941	Least developed countries	67.893	68.715	69.316	69.576	69.841	70.151	70.44	70.717	70.952	71.156	71.416	71.64	71.866	72.109	72.375	72.583	72.854	73.038	73.27	73.5	73.744	73.959	74.17	74.384	74.574	74.734	74.943	75.16	75.318	75.495	75.671	75.807	76.017	76.205	76.342	76.515	76.704	76.918	77.06	77.161	77.303	77.508	77.624	77.754	77.896	78.014	78.158	78.281	78.422	78.549	78.737	78.851	78.98	79.159	79.269	79.351	79.501	79.66	79.73	79.848	79.923	80.108	80.196	80.313	80.43	80.562	80.65	80.749	80.828	80.97	81.079	81.2	81.36	81.468	81.598	81.705	81.842	81.943	82.072
934	Less developed regions, excluding least developed countries	74.723	76.482	76.873	77.146	77.392	77.602	77.835	78.079	78.32	78.567	78.847	79.064	79.302	79.476	79.641	79.89	80.049	80.246	80.396	80.566	80.766	80.958	81.106	81.281	81.457	81.642	81.766	81.933	82.136	82.273	82.329	82.566	82.708	82.946	83.004	83.15	83.239	83.337	83.486	83.578	83.69	83.87	84.017	84.098	84.159	84.312	84.42	84.57	84.647	84.768	84.831	84.976	85.042	85.16	85.264	85.404	85.595	85.652	85.814	85.912	85.974	86.131	86.196	86.225	86.372	86.517	86.597	86.639	86.756	86.827	86.949	87.121	87.228	87.307	87.38	87.432	87.59	87.655	87.814
