country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
900	World	44.5946	45.4026	46.6241	47.2399	48.0295	48.512	49.006	49.2833	49.831	47.6606	46.0358	48.6136	51.3166	51.7468	52.3	51.9233	52.5668	52.9827	53.527	53.857	54.1721	53.6397	55.1342	55.6334	56.0099	56.1496	56.613	57.2021	57.5095	57.9292	58.2378	58.6288	59.0185	59.1578	59.4843	59.837	60.3668	60.7284	60.8283	61.3527	61.533	61.6589	61.8542	61.9628	61.9971	62.4413	62.7657	63.141	63.3344	63.7129	64.0839	64.4052	64.7096	65.0184	65.3516	65.72	66.2006	66.5284	66.7977	67.2661	67.5903	67.9992	68.3305	68.6545	69.028	69.2861	69.5758	69.7603	70.0279	70.2365	69.4084	68.4372	2021
1834	Sub-Saharan Africa	36.2321	36.4735	36.7678	37.1522	37.512	37.9158	38.2326	37.8721	38.1706	39.2137	39.2476	39.4855	40.1313	40.3725	40.6938	40.8967	40.925	40.9423	41.4286	41.6709	42.2829	42.7275	42.679	43.5049	43.6994	44.0626	44.7128	45.1134	45.3407	45.8407	46.1472	46.4589	46.6533	45.8779	45.8385	46.1376	46.3373	46.928	46.7899	47.4594	47.2513	47.0865	46.9548	47.2077	45.4002	47.7648	47.7257	47.9218	47.5353	48.2253	49.11	49.4706	49.8615	50.4448	51.0417	51.6528	52.2775	52.863	53.4857	54.1467	54.7644	55.4287	55.9874	56.4712	56.8851	57.2737	57.7807	58.1539	58.5286	58.9044	58.4297	57.758	2021
1833	Northern Africa and Western Asia	39.8344	40.2585	41.152	41.7221	41.9545	42.621	43.083	43.5275	43.8031	44.459	44.9968	45.7049	46.1173	47.1077	47.9832	48.3479	48.5351	48.9256	49.4852	49.8513	50.3817	51.2798	51.8593	52.0353	53.0027	53.5154	53.6303	54.9964	55.6924	56.3551	56.7527	57.0915	57.3057	57.8668	58.4166	59.0966	59.9853	59.6456	58.3726	61.2855	61.6561	62.4661	62.3951	62.7946	64.1707	63.896	64.3555	64.6683	64.4401	65.68	66.1822	66.5371	66.8621	66.7745	66.7905	67.0238	67.4182	67.7864	68.202	68.733	69.0357	69.15	69.1131	69.1559	69.4968	69.8212	69.912	70.4234	70.6954	70.9789	69.747	69.7233	2021
1831	Central and Southern Asia	41.5185	41.7796	42.2047	42.4575	43.1943	43.6801	44.0923	44.5083	44.9323	45.4493	45.8187	46.1484	46.5089	46.8501	47.2254	46.3458	46.8558	47.2287	48.6742	49.0852	48.965	45.2543	50.2864	50.7615	51.2572	51.8069	52.264	52.6231	52.9642	53.3742	53.7463	54.0376	54.4607	54.9563	55.4182	55.8426	56.4508	56.814	57.2135	57.6892	58.0552	58.2665	58.8282	59.1795	59.553	59.9064	60.2518	60.6433	61.1193	61.6454	61.932	62.2738	62.6844	62.9986	63.3087	63.6031	63.9672	64.1783	64.4311	64.6986	65.1403	65.5372	66.0035	66.4766	67.0727	67.6233	68.1215	68.4662	68.7335	68.8866	68.0198	65.9055	2021
1832	Eastern and South-Eastern Asia	40.3054	41.9845	44.0786	45.0464	46.084	46.6171	47.1889	47.6954	48.2186	42.1558	37.8753	43.3968	50.263	50.8012	51.5112	51.1271	52.5617	53.4997	53.9591	54.6567	55.2721	56.168	56.7083	57.589	58.1124	58.1246	59.0599	60.1677	60.7262	61.3501	61.83	62.3761	62.8547	63.1789	63.6233	64.0131	64.3618	64.7343	64.9851	65.3382	65.6196	65.9833	66.4279	66.7808	67.1435	67.3419	67.6691	68.0518	68.371	68.687	69.0509	69.4245	69.7952	70.183	70.2999	70.7863	71.1598	71.3999	71.3805	71.9279	72.1675	72.4101	72.663	72.903	73.1832	73.3911	73.5648	73.5257	73.9642	74.1709	74.0089	73.6392	2021
1830	Latin America and the Caribbean	46.5117	47.0036	47.7248	48.3397	49.042	49.569	50.2459	50.7847	51.4357	51.9356	52.4889	53.0447	53.4964	53.9159	54.4158	54.7761	55.2145	55.58	55.9192	56.2507	56.3257	57.1253	57.4563	57.9829	58.4029	58.8799	59.0564	59.555	59.8505	60.1349	60.5324	60.9427	61.2268	61.8664	62.2771	62.6978	63.2741	63.6888	64.1157	64.3947	64.596	64.9485	65.2768	65.5917	66.0143	66.2788	66.6572	66.9919	67.263	67.6756	67.8634	68.1067	68.4615	68.7213	69.0371	69.4676	69.6938	69.8441	70.1029	70.3396	70.1034	70.7371	70.9487	71.2572	71.5089	71.5204	71.4014	71.639	71.7307	71.9046	69.6626	68.7549	2021
1835	Oceania (excluding Australia and New Zealand)	40.3282	39.1092	41.7229	42.4712	43.1902	44.0163	44.6506	45.5385	46.2893	46.8941	47.4968	48.0035	48.4877	49.3008	49.7368	50.408	50.9657	51.5251	52.1332	52.6157	53.2089	53.5827	54.1017	54.5732	55.1788	55.5633	56.1067	56.4965	56.972	57.4112	57.7961	58.0892	58.3764	58.6752	58.986	59.3099	59.3934	59.6562	59.8691	60.0954	60.2776	60.4862	60.7317	61.0134	61.2047	61.4743	61.5644	61.8236	61.4631	62.1902	62.2722	62.3519	62.2131	62.3761	62.3369	62.4597	62.6895	62.8401	63.0319	63.114	63.4001	63.5777	63.6956	63.8056	64.01	64.0977	64.2932	64.6122	64.7044	64.7996	65.0873	64.6084	2021
1836	Australia/New Zealand	66.6744	66.2375	66.6157	67.2175	67.3318	67.4761	67.4826	67.4858	68.0293	67.5967	68.0668	68.093	67.9294	68.0043	67.6556	67.7763	67.662	67.9315	67.5699	67.8771	67.5582	68.3234	68.575	68.6313	68.544	69.3066	69.3834	69.8492	70.2273	70.6543	70.8884	71.1589	71.2014	71.9109	72.0738	72.0464	72.5568	72.6364	72.8703	72.8933	73.7252	74.2826	74.2564	74.8192	74.7858	75.1651	75.2435	75.6518	76.0625	76.3161	76.799	77.1963	77.385	77.7675	78.1034	78.5479	78.7609	78.7875	79.0162	79.3333	79.7313	79.813	80.1486	80.3979	80.4547	80.5441	80.7325	80.8981	81.2399	81.0552	82.5513	82.7238	2021
1829	Europe and Northern America	61.2151	61.2497	62.2735	62.7929	63.5983	64.0412	64.6964	64.5762	65.5875	65.568	65.9353	66.2443	66.0299	66.1582	66.6657	66.575	66.6691	66.6726	66.4661	66.2462	66.5554	66.6945	66.853	66.942	67.2066	67.1765	67.3081	67.5052	67.5348	67.6547	67.644	67.9901	68.3349	68.34	68.4557	68.6531	69.3303	69.5095	69.5986	69.6873	69.6717	69.6649	69.4688	68.8969	68.9005	69.0314	69.7147	70.3483	70.7015	70.5185	70.6566	70.9012	70.9173	71.0586	71.5641	71.6826	72.3533	72.7551	73.0716	73.5823	73.8969	74.3641	74.5949	74.8861	75.1377	75.1927	75.4911	75.6976	75.8275	76.1308	74.5571	73.9251	2021
901	More developed regions	60.8657	61.0805	62.2122	62.7194	63.524	64.0401	64.6114	64.494	65.5454	65.5597	65.913	66.2494	66.0894	66.2994	66.7931	66.7278	66.8681	66.9287	66.7676	66.594	66.881	67.0941	67.2815	67.3919	67.6718	67.6978	67.8486	68.0753	68.1317	68.2829	68.2728	68.6208	68.9681	68.9826	69.1237	69.3276	69.9749	70.175	70.2583	70.3746	70.3772	70.4051	70.2339	69.7446	69.7825	69.8948	70.5645	71.1607	71.4813	71.3202	71.4999	71.7574	71.8012	71.9379	72.4251	72.5258	73.1698	73.5457	73.8409	74.3309	74.614	75.0168	75.2736	75.5618	75.8104	75.8865	76.1706	76.3647	76.4979	76.7724	75.4246	74.8593	2021
