country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
900	World	46.3188	48.8182	50.0034	52.977	54.9337	57.1191	58.9275	60.6532	61.8438	63.1377	64.7686	66.5575	68.3753	69.8329	2021
1834	Sub-Saharan Africa	36.8217	38.2589	39.9661	41.1526	42.9653	45.0071	46.1652	46.7295	46.7429	47.8372	50.0066	52.9134	55.9505	58.1814	2021
1833	Northern Africa and Western Asia	40.8776	43.4406	46.3603	49.0188	51.7178	54.8556	57.5038	59.6987	62.7559	64.6694	66.6873	67.9079	69.2559	70.4463	2021
1831	Central and Southern Asia	42.1214	44.4785	46.487	47.6379	49.258	52.6159	54.5343	56.823	58.8147	60.7637	62.6928	64.2289	66.1079	68.4346	2021
1832	Eastern and South-Eastern Asia	43.423	46.2711	46.6112	53.1638	56.7961	59.9464	62.8363	64.7476	66.4532	68.0933	69.8172	71.3972	72.7276	73.7797	2021
1830	Latin America and the Caribbean	47.7079	50.7989	53.4908	55.5766	57.4976	59.5298	61.4162	63.6872	65.3402	67.0304	68.4935	69.9455	70.967	71.6897	2021
1835	Oceania (excluding Australia and New Zealand)	41.327	45.4736	48.6252	51.5645	54.1768	56.5732	58.447	59.721	60.8059	61.7642	62.3625	62.8865	63.7561	64.5626	2021
1836	Australia/New Zealand	66.8422	67.6431	67.9679	67.7785	68.356	69.9162	71.488	72.6437	74.4167	75.7456	77.5141	78.9571	80.1768	80.9612	2021
1829	Europe and Northern America	62.2344	64.9207	66.2333	66.5471	66.8724	67.4563	68.1674	69.3732	69.3252	70.0774	71.0371	72.7106	74.6054	75.6986	2021
901	More developed regions	62.0889	64.8792	66.2974	66.8005	67.2885	68.0315	68.8134	70.0447	70.1194	70.9033	71.9068	73.5085	75.2868	76.3703	2021
902	Less developed regions	41.8053	44.4445	45.7324	49.5914	52.0958	54.7337	56.8582	58.7516	60.3105	61.7995	63.5372	65.2475	66.9976	68.5238	2021
941	Least developed countries	36.608	38.523	40.6034	42.2467	41.4147	44.2869	46.3272	47.1474	48.7266	51.5418	54.763	57.3403	59.8998	62.0116	2021
934	Less developed regions, excluding least developed countries	42.589	45.3139	46.5187	50.7133	53.8258	56.5246	58.7403	60.8473	62.4394	63.7949	65.2983	66.842	68.4274	69.8732	2021
948	Less developed regions, excluding China	41.1043	44.6293	46.9656	48.3586	50.2332	52.8667	54.8794	56.6932	58.2265	59.7342	61.4963	63.2286	65.0801	66.8121	2021
1636	Land-locked Developing Countries (LLDC)	38.3458	39.7225	42.1551	43.3117	44.2912	45.6715	46.4878	47.7264	48.2593	50.2436	52.9066	56.2578	59.547	61.7636	2021
1637	Small Island Developing States (SIDS)	48.2213	51.6689	54.1358	56.201	58.2538	58.953	60.645	62.2717	63.7685	64.9082	66.3986	67.5813	68.1327	69.4154	2021
1503	High-income countries	61.0705	64.3683	65.7097	66.6078	67.5406	68.8755	70.1309	71.2609	72.2985	73.5867	75.0371	76.3588	77.6212	78.2807	2021
1517	Middle-income countries	43.4549	45.7517	46.9473	50.7624	53.1723	55.7563	57.9429	60.0372	61.2914	62.6077	64.0844	65.7599	67.5844	69.1896	2021
1502	Upper-middle-income countries	45.302	47.163	47.5874	53.9513	57.1447	59.9784	62.226	64.2412	65.3032	66.7963	68.2074	69.9416	71.7215	73.0076	2021
1501	Lower-middle-income countries	41.6755	44.4462	46.6001	47.6709	49.4909	52.4144	54.759	56.8072	58.2917	59.6986	61.3506	62.9235	64.6868	66.567	2021
1500	Low-income countries	33.1611	37.4896	39.4827	40.7175	42.3663	44.032	44.3538	44.7367	46.2353	48.6145	52.2223	55.5914	58.2916	60.2644	2021
1518	No income group available	50.266	54.0483	57.5624	60.1365	63.1536	65.3638	67.1013	68.5709	69.2206	69.5507	68.5821	68.7981	69.0498	68.1885	2021
903	Africa	37.179	38.8605	40.7792	42.182	44.0984	46.4423	48.018	48.8063	49.3138	50.4622	52.6326	55.2942	58.0867	60.1622	2021
910	Eastern Africa	37.6977	38.9854	41.8044	42.7133	43.4838	44.5734	44.8213	45.0434	44.7208	47.2141	50.5859	54.5106	58.1387	60.8589	2021
108	Burundi	39.5945	40.8555	42.1074	41.5172	35.1793	42.2849	45.7008	44.5516	40.8208	43.7174	47.8171	53.1988	57.1171	59.5041	2021
174	Comoros	36.0635	38.164	40.1269	42.1475	44.5206	47.1386	50.422	53.2851	55.8156	56.9967	57.6521	58.4693	59.9835	61.5069	2021
262	Djibouti	39.2812	40.5692	42.1967	44.0925	46.5537	48.7507	50.9136	52.9332	52.9644	54.5664	55.7472	57.2487	58.8594	60.3083	2021
232	Eritrea	32.0261	34.0061	36.3473	38.1669	39.8288	40.363	42.6673	44.8461	50.2648	46.673	56.7362	60.3652	62.8822	64.653	2021
231	Ethiopia	34.8932	34.1822	39.1484	40.0169	39.5205	39.2313	38.253	40.3017	45.0881	48.1809	51.0251	54.852	59.3377	62.2145	2021
404	Kenya	38.1668	43.8896	48.6544	50.9703	53.1798	55.097	58.732	58.2053	55.3505	53.2231	54.0639	57.4451	59.3448	60.2453	2021
450	Madagascar	39.2716	41.0178	43.1232	45.2237	47.5871	48.7402	48.5169	49.0537	51.7618	54.8192	58.02	60.2958	61.7736	63.118	2021
454	Malawi	31.8489	32.8585	33.5026	34.3506	36.5949	40.4014	43.3516	41.8427	41.1977	41.2193	45.6601	51.9448	56.034	59.3885	2021
480	Mauritius	49.2347	51.7011	54.872	56.3402	58.0133	59.9623	63.4724	64.6807	66.6664	67.3252	68.86	69.6639	71.2308	71.9894	2021
175	Mayotte	44.6568	50.1682	54.7312	58.6688	61.8091	64.466	66.6707	68.4892	70.1481	71.5551	73.0648	74.0982	74.8923	74.2145	2021
508	Mozambique	36.7874	38.8521	40.3807	40.1848	40.1964	41.4127	38.6122	38.4458	43.2438	45.7647	48.8604	51.119	53.7274	57.1635	2021
638	Réunion	46.2819	50.7267	53.8005	57.0942	59.7902	62.3504	64.8625	67.6053	68.9885	70.5367	72.3756	74.5064	77.3973	78.6891	2021
646	Rwanda	42.967	44.6685	46.2307	47.4067	45.8478	44.4882	48.8212	49.4932	26.0259	40.0106	50.1896	58.5038	61.9028	63.7214	2021
690	Seychelles	49.057	49.2027	51.9926	53.7018	56.56	59.7609	62.3551	64.4941	63.7409	64.194	65.8617	67.7774	69.5287	70.0191	2021
706	Somalia	40.3609	41.465	42.5051	43.6022	44.0429	44.6343	46.533	44.6312	36.4957	49.0165	49.2175	49.3866	50.7821	53.7867	2021
728	South Sudan	29.856	28.2342	27.2284	23.7021	30.1034	36.7134	35.4229	22.6771	26.0736	27.3684	47.101	51.7958	53.8185	54.0568	2021
800	Uganda	38.5528	41.1939	44.6312	46.425	44.3258	42.6119	39.1509	42.7785	43.9508	44.6518	47.9327	53.4349	56.9185	60.107	2021
834	United Republic of Tanzania	40.3773	41.1969	41.9985	43.2627	45.4425	47.8225	49.2264	49.5247	49.1117	49.5525	52.8146	56.2921	60.0048	63.8383	2021
894	Zambia	44.5743	46.6095	48.3863	49.561	51.3994	52.9177	51.7526	48.5309	45.2451	43.6127	45.9881	51.6431	56.8483	59.5648	2021
716	Zimbabwe	48.1009	50.0076	52.1594	54.2602	55.433	52.628	57.5547	58.4799	53.2995	45.4812	42.8219	45.0817	53.0174	58.2731	2021
911	Middle Africa	36.2424	37.8332	37.9296	40.6642	42.8261	43.8201	45.2456	46.1373	46.9259	47.25	49.6295	52.5794	55.29	57.5735	2021
24	Angola	34.8061	35.7501	35.3341	36.475	38.2801	38.6709	39.5778	38.6996	39.2822	43.3971	45.6582	51.4774	56.1451	59.2259	2021
120	Cameroon	33.8925	36.7256	35.8884	43.9723	47.3956	48.662	50.8365	53.3372	52.8343	51.1717	52.0163	53.9219	56.4257	59.3008	2021
140	Central African Republic	34.666	36.6799	39.0311	41.9412	44.9966	47.3909	48.5751	48.5867	47.0515	44.9559	44.6877	46.5288	48.7901	51.9877	2021
148	Chad	35.0981	36.1763	37.3586	37.7065	39.2618	40.3937	41.5407	42.4892	44.2818	46.0927	46.9513	47.5744	49.1559	51.0066	2021
178	Congo	39.1328	43.0031	46.8928	49.5744	51.6204	53.0269	54.1176	54.5781	53.625	49.5748	54.5896	58.9096	61.1925	62.2278	2021
180	Democratic Republic of the Congo	37.7158	39.0267	38.8594	40.8427	42.7324	43.6931	45.0997	46.4374	47.7976	47.4064	50.6951	53.4133	55.7645	57.6771	2021
226	Equatorial Guinea	38.0463	39.4033	40.7017	37.9262	35.7891	34.3119	46.9478	48.582	49.5561	50.5412	52.5632	54.9316	57.165	59.2031	2021
266	Gabon	39.6459	43.0613	46.2405	49.2376	51.9076	54.3155	56.4492	58.2666	59.3404	59.7164	60.2753	61.2292	62.5424	64.0173	2021
678	Sao Tome and Principe	39.4243	38.6306	43.8913	51.2236	55.1812	57.3639	57.8487	58.4269	59.1777	59.1205	60.8419	62.3294	63.3876	65.3639	2021
912	Northern Africa	38.5723	40.9893	43.6583	45.9247	48.32	51.9403	55.2936	57.325	60.737	62.7314	65.1355	66.44	67.9077	69.2561	2021
12	Algeria	40.8232	37.6177	39.2432	42.1871	43.952	48.417	55.9145	64.4714	66.2021	67.4143	70.0009	71.7042	73.2814	74.8985	2021
818	Egypt	35.9204	41.2687	45.035	47.5458	48.6329	52.0066	56.1221	60.2453	63.2504	65.14	66.2357	66.7074	67.4621	68.638	2021
434	Libya	32.8675	35.3219	42.6198	50.0207	55.966	60.8658	63.6582	66.0822	68.2126	69.3876	69.1405	69.9227	69.0037	69.295	2021
504	Morocco	38.6865	40.8695	43.2105	46.2422	48.7548	51.7974	55.6771	59.2718	61.9611	64.1018	65.9824	68.0188	70.0584	71.8167	2021
729	Sudan	47.7192	46.9757	46.0192	43.1882	48.2881	52.1405	48.8648	40.5362	45.7586	48.799	55.2081	57.8639	61.073	62.8548	2021
788	Tunisia	37.6062	40.6988	44.3063	49.3716	54.8895	59.8688	63.5037	66.8212	68.6303	70.3156	71.5722	72.3463	72.7021	72.8748	2021
732	Western Sahara	34.0116	35.7649	37.7893	39.7332	41.9672	34.3219	40.9438	46.4608	57.2086	59.654	62.1434	64.6067	66.8096	68.3095	2021
913	Southern Africa	44.7974	48.4681	50.8739	51.9567	53.4181	55.35	57.6554	59.5951	59.0199	56.3949	52.3855	52.2787	57.5537	61.1631	2021
72	Botswana	43.3954	46.2034	48.7912	50.9857	53.4593	56.3275	58.7077	58.9841	55.0552	50.9454	49.2221	54.0062	58.8511	62.9203	2021
748	Eswatini	41.972	43.3761	44.9803	47.4042	50.1692	53.8455	56.8341	60.1657	58.5066	49.2472	42.7042	42.1415	47.6454	54.6105	2021
426	Lesotho	42.198	45.2325	46.2085	46.2082	47.7625	49.9583	53.1776	55.2208	54.7176	50.117	43.6487	41.2084	45.3319	50.1837	2021
516	Namibia	40.4864	43.6017	47.1415	50.0684	52.5978	54.6442	52.6726	56.0598	58.4749	53.1527	49.4782	51.2055	54.6744	58.5375	2021
710	South Africa	45.1851	48.9912	51.4305	52.4221	53.7938	55.6619	58.0186	59.9357	59.3972	57.25	53.3948	53.0787	58.4433	61.8549	2021
914	Western Africa	34.7012	35.8629	37.0303	37.8188	40.4308	43.8679	45.7488	46.2899	46.5308	47.3019	49.5435	52.0561	54.167	55.6236	2021
204	Benin	34.8462	36.3719	38.1007	40.0602	42.0101	44.4085	46.2809	48.8827	51.578	54.1485	55.134	56.2445	57.5228	58.6083	2021
854	Burkina Faso	32.7661	33.9322	35.4154	36.9459	38.7321	42.6722	46.2246	47.9708	48.2329	48.4295	49.9242	52.9556	55.9204	57.8535	2021
132	Cabo Verde	45.7579	46.9916	48.6869	52.1581	54.385	58.8005	60.9081	62.0456	63.2172	63.4001	66.798	68.4488	70.1521	71.3165	2021
384	Côte d'Ivoire	31.0755	34.3993	37.7398	40.9099	44.4071	48.3561	50.8057	51.1594	50.0756	49.4901	49.7515	52.0587	55.0801	57.4842	2021
270	Gambia	31.2045	32.368	34.6958	37.0829	39.4705	41.9277	44.3716	47.8109	51.0511	54.0568	55.575	58.2074	60.7033	61.8525	2021
288	Ghana	42.2092	44.2303	45.4628	45.6982	46.2092	48.2666	49.7058	52.0813	54.9155	56.1518	57.475	58.9631	60.4673	62.1219	2021
324	Guinea	34.3415	34.9172	35.6587	36.8605	38.2842	40.1076	42.5514	45.3056	47.4655	50.6451	52.812	54.6431	56.0717	57.9133	2021
624	Guinea-Bissau	34.0193	34.9606	34.2798	33.407	35.6998	40.7352	42.4071	44.0394	45.8796	45.7064	48.6608	51.8399	55.359	57.9269	2021
430	Liberia	37.1075	36.9415	36.7521	37.8125	39.853	42.0796	43.7027	42.8327	37.398	44.9464	51.4763	56.7513	58.4153	59.2437	2021
466	Mali	27.8509	28.6383	29.2244	30.45	32.8984	36.9646	41.0048	44.1198	46.8504	48.3914	51.5435	54.0779	56.0917	57.9807	2021
478	Mauritania	39.4229	41.9884	45.4923	48.4725	50.189	51.8688	54.4707	56.9778	58.7599	58.8658	59.685	60.4959	61.995	63.3443	2021
562	Niger	35.4772	35.7015	35.9771	35.9627	35.0066	36.7665	39.614	40.1897	42.39	46.656	50.233	54.8919	58.9073	61.1144	2021
566	Nigeria	34.947	35.7399	36.7404	37.0734	40.4846	44.3074	45.4385	44.8665	44.266	44.5822	46.9675	49.302	51.0537	52.0903	2021
654	Saint Helena	64.3373	65.1275	65.5501	65.8264	66.1189	66.6577	67.2172	68.0052	68.9008	71.0193	73.406	73.4467	73.2319	73.3887	2021
686	Senegal	37.237	39.1513	39.6254	39.8507	41.4596	45.2413	49.0956	52.8083	55.0177	55.086	57.212	61.0915	63.5621	65.3887	2021
