country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	69.1438	70.7931	71.0942	71.2093	71.3664	71.523	71.6749	71.8302	71.9861	72.1384	72.2899	72.4423	72.5898	72.7386	72.8871	73.0342	73.1816	73.3261	73.4689	73.613	73.754	73.8886	74.023	74.1587	74.2898	74.4146	74.5393	74.6599	74.7754	74.8902	75.0053	75.1185	75.2315	75.3412	75.4495	75.5624	75.6721	75.7817	75.8916	75.9978	76.1085	76.2182	76.3256	76.4369	76.5447	76.649	76.753	76.86	76.961	77.0666	77.1676	77.2721	77.3714	77.4726	77.5745	77.6739	77.77	77.8665	77.9615	78.0574	78.1551	78.2516	78.3486	78.4446	78.5405	78.6346	78.7272	78.8258	78.9202	79.0135	79.1097	79.2047	79.3018	79.3985	79.4931	79.5868	79.6824	79.7784	79.8752
1834	Sub-Saharan Africa	58.3051	59.1911	59.9192	60.1098	60.3024	60.4893	60.6732	60.8575	61.0408	61.2174	61.3912	61.5667	61.7374	61.9079	62.0753	62.2398	62.4037	62.5657	62.7275	62.8887	63.0477	63.2043	63.3576	63.512	63.6649	63.8184	63.9716	64.1203	64.268	64.4114	64.5564	64.7043	64.8475	64.9916	65.1343	65.2779	65.4233	65.5602	65.7015	65.8408	65.9776	66.1156	66.2519	66.3927	66.5277	66.663	66.7957	66.9312	67.0613	67.1975	67.3251	67.4614	67.5927	67.7246	67.8571	67.9874	68.119	68.25	68.3779	68.5142	68.6454	68.7756	68.9112	69.0458	69.1766	69.3067	69.4373	69.5707	69.7026	69.8337	69.9642	70.0969	70.2313	70.3631	70.4946	70.6287	70.7637	70.8982	71.0368
1833	Northern Africa and Western Asia	70.5971	71.1746	71.83	71.9718	72.1338	72.2988	72.4693	72.6389	72.8086	72.9797	73.1566	73.3324	73.5093	73.6841	73.8584	74.0286	74.1994	74.3689	74.5312	74.6974	74.8543	75.0148	75.173	75.3227	75.4732	75.6198	75.7616	75.9038	76.0413	76.1771	76.3135	76.45	76.5841	76.7089	76.8404	76.9729	77.0977	77.2245	77.3493	77.4713	77.5965	77.7203	77.8431	77.962	78.086	78.206	78.325	78.4431	78.5655	78.6841	78.8011	78.9226	79.048	79.167	79.2882	79.4071	79.5279	79.6532	79.7803	79.9061	80.0316	80.1547	80.287	80.4141	80.5403	80.666	80.7953	80.9279	81.0579	81.1849	81.3213	81.452	81.5818	81.7122	81.8436	81.9743	82.101	82.2262	82.3543
1831	Central and Southern Asia	66.4643	69.7649	70.0097	70.2121	70.4129	70.6155	70.8092	71.0048	71.2021	71.3938	71.5846	71.7777	71.9647	72.1513	72.334	72.5204	72.7104	72.8928	73.0743	73.2627	73.4444	73.621	73.8011	73.9936	74.1719	74.3504	74.5319	74.7138	74.8846	75.0607	75.2385	75.4174	75.5939	75.7679	75.9367	76.1147	76.283	76.4602	76.6309	76.7954	76.9756	77.1424	77.3075	77.4822	77.6571	77.8191	77.9832	78.1481	78.3073	78.4756	78.6355	78.8028	78.9603	79.1247	79.2839	79.4524	79.6074	79.7618	79.9139	80.0634	80.2191	80.3685	80.5154	80.6593	80.8076	80.9504	81.0825	81.229	81.361	81.4908	81.6308	81.7667	81.9037	82.0421	82.1759	82.2987	82.4267	82.5581	82.6821
1832	Eastern and South-Eastern Asia	74.3045	74.8609	75.0412	75.2172	75.3958	75.5739	75.7465	75.9215	76.102	76.2766	76.454	76.6315	76.8001	76.9712	77.1443	77.3159	77.4861	77.6577	77.8255	77.994	78.1619	78.3229	78.4842	78.6446	78.8045	78.9508	79.0971	79.2385	79.3792	79.517	79.6541	79.7819	79.9159	80.0456	80.1709	80.3013	80.4296	80.5543	80.6829	80.8069	80.9331	81.0631	81.1917	81.3155	81.4358	81.5599	81.6805	81.8085	81.9269	82.0468	82.1753	82.2945	82.4114	82.5294	82.6546	82.7667	82.8808	82.998	83.117	83.2284	83.3459	83.4728	83.5898	83.7076	83.824	83.9414	84.0582	84.1776	84.3037	84.4232	84.544	84.6631	84.7826	84.9049	85.019	85.1346	85.257	85.3753	85.4957
1830	Latin America and the Caribbean	70.6039	72.6545	72.9332	73.1279	73.3317	73.5294	73.7335	73.9342	74.1336	74.3336	74.5354	74.7343	74.9363	75.137	75.3371	75.5368	75.7345	75.9309	76.132	76.3298	76.5276	76.7235	76.9168	77.1107	77.3064	77.5017	77.6987	77.8932	78.0862	78.2749	78.4668	78.6552	78.8405	79.0267	79.2056	79.3866	79.5606	79.7389	79.913	80.0853	80.2553	80.4195	80.5805	80.7413	80.9004	81.056	81.2104	81.3644	81.5145	81.6589	81.8064	81.9531	82.096	82.2376	82.3797	82.5174	82.6576	82.7917	82.9252	83.0592	83.1917	83.3235	83.4514	83.5823	83.71	83.8359	83.9639	84.0849	84.2107	84.3371	84.4598	84.5802	84.7063	84.8254	84.9473	85.0719	85.1884	85.3121	85.4309
1835	Oceania (excluding Australia and New Zealand)	65.1897	65.3342	65.4745	65.6113	65.7364	65.8659	66.0046	66.1265	66.2532	66.369	66.4919	66.6169	66.7378	66.8495	66.9562	67.0646	67.1829	67.2931	67.3996	67.506	67.6034	67.7117	67.8257	67.9298	68.0245	68.1297	68.2301	68.3285	68.4331	68.5488	68.6461	68.7402	68.843	68.9563	69.0557	69.1625	69.2659	69.3762	69.4899	69.5811	69.7007	69.8102	69.9221	70.0303	70.1374	70.2611	70.3809	70.5024	70.6055	70.7452	70.8644	70.9887	71.1143	71.2445	71.3715	71.5081	71.6336	71.7725	71.9124	72.043	72.1837	72.3242	72.4703	72.6107	72.755	72.8878	73.0451	73.1833	73.3307	73.4832	73.6308	73.7849	73.9398	74.0859	74.2453	74.401	74.5581	74.712	74.8636
1836	Australia/New Zealand	81.6267	81.8091	81.9738	82.1401	82.2918	82.4401	82.6034	82.7498	82.8798	83.0246	83.1529	83.2934	83.433	83.5589	83.6841	83.8086	83.9301	84.0635	84.1713	84.3081	84.4394	84.5577	84.6755	84.8071	84.9235	85.0535	85.1686	85.2949	85.4087	85.5336	85.6462	85.7697	85.8924	86.003	86.1243	86.2469	86.3532	86.4741	86.5941	86.7198	86.8269	86.9528	87.0562	87.1821	87.2857	87.4077	87.5305	87.6523	87.7609	87.8685	87.9872	88.105	88.2199	88.3342	88.4516	88.5647	88.6809	88.8117	88.9246	89.0385	89.148	89.2582	89.387	89.5109	89.6159	89.7411	89.8478	89.969	90.0907	90.1929	90.3276	90.4275	90.5445	90.6602	90.7746	90.8849	90.9972	91.1086	91.2342
1829	Europe and Northern America	74.5677	76.6988	77.127	77.3031	77.4796	77.664	77.841	78.0277	78.2022	78.384	78.5611	78.7349	78.9098	79.0844	79.2605	79.4345	79.6073	79.7792	79.9516	80.121	80.2891	80.4522	80.6181	80.7802	80.9411	81.0978	81.2576	81.4113	81.5579	81.7107	81.8602	82.0106	82.1582	82.3024	82.4534	82.6004	82.745	82.8923	83.0368	83.1798	83.3233	83.4676	83.6131	83.7557	83.8972	84.0347	84.1753	84.3162	84.4557	84.5926	84.7286	84.8623	84.994	85.1219	85.2581	85.3882	85.516	85.6366	85.7633	85.8869	86.0126	86.1274	86.2477	86.3665	86.4834	86.6023	86.718	86.8364	86.944	87.0649	87.1848	87.2989	87.4146	87.5311	87.6523	87.772	87.8911	88.0071	88.1241
901	More developed regions	75.4167	77.3345	77.7256	77.8931	78.0625	78.2372	78.4057	78.5841	78.7499	78.924	79.0923	79.2596	79.4263	79.5925	79.7614	79.927	80.0916	80.2573	80.4229	80.5853	80.7466	80.903	81.0634	81.2196	81.3759	81.5276	81.6818	81.8321	81.9745	82.124	82.2689	82.416	82.5606	82.7006	82.8469	82.9895	83.1306	83.2732	83.4145	83.5534	83.6932	83.8342	83.9747	84.1152	84.2522	84.386	84.5236	84.6615	84.7977	84.9314	85.0647	85.1959	85.3262	85.4512	85.5856	85.7126	85.8393	85.9582	86.0846	86.2065	86.3301	86.4439	86.5641	86.6828	86.7976	86.9179	87.0333	87.1507	87.259	87.3795	87.4993	87.6127	87.7279	87.8438	87.9631	88.0822	88.2001	88.3158	88.4328
