country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	69.557	71.222	71.586	71.743	71.95	72.115	72.308	72.528	72.723	72.893	73.102	73.282	73.457	73.638	73.797	73.994	74.147	74.329	74.502	74.638	74.827	74.993	75.145	75.275	75.45	75.583	75.713	75.82	75.967	76.09	76.234	76.395	76.535	76.618	76.784	76.9	77.007	77.122	77.262	77.394	77.521	77.634	77.772	77.877	78.023	78.092	78.251	78.365	78.434	78.543	78.596	78.725	78.799	78.965	79.084	79.174	79.257	79.372	79.501	79.587	79.689	79.781	79.874	80	80.088	80.158	80.234	80.359	80.453	80.577	80.675	80.78	80.914	80.975	81.098	81.202	81.277	81.364	81.477
1834	Sub-Saharan Africa	58.874	59.858	60.663	60.908	61.163	61.35	61.584	61.832	62.066	62.348	62.553	62.751	62.958	63.173	63.435	63.583	63.748	63.916	64.091	64.332	64.462	64.67	64.814	65.033	65.183	65.353	65.575	65.71	65.921	66.054	66.25	66.385	66.6	66.744	66.897	67.087	67.244	67.402	67.555	67.716	67.895	68.026	68.276	68.43	68.554	68.717	68.893	69.079	69.236	69.299	69.502	69.586	69.685	69.887	70.065	70.152	70.279	70.418	70.527	70.72	70.865	71.01	71.13	71.269	71.476	71.605	71.72	71.906	72.019	72.179	72.337	72.432	72.655	72.75	72.933	73.103	73.26	73.426	73.561
1833	Northern Africa and Western Asia	71.086	71.754	72.474	72.676	72.879	73.103	73.296	73.513	73.778	73.977	74.177	74.397	74.577	74.783	75.016	75.201	75.385	75.594	75.781	75.923	76.141	76.335	76.533	76.703	76.9	77.031	77.234	77.364	77.509	77.682	77.846	78.056	78.212	78.324	78.487	78.64	78.755	78.901	79.015	79.163	79.342	79.487	79.659	79.832	79.947	80.066	80.225	80.354	80.553	80.705	80.807	80.906	81.086	81.204	81.337	81.478	81.643	81.764	81.879	82.059	82.186	82.285	82.454	82.646	82.77	82.841	83.05	83.23	83.282	83.436	83.568	83.75	83.85	84.002	84.133	84.275	84.36	84.544	84.697
1831	Central and Southern Asia	67.553	70.868	71.253	71.592	71.959	72.248	72.51	72.746	73.091	73.319	73.64	73.796	74.076	74.459	74.652	74.872	75.041	75.337	75.597	75.78	75.992	76.209	76.503	76.726	76.977	77.066	77.375	77.58	77.874	78.052	78.207	78.504	78.772	78.916	79.078	79.401	79.619	79.784	79.946	80.158	80.38	80.513	80.652	80.877	81.039	81.252	81.411	81.598	81.746	81.902	82.05	82.223	82.342	82.465	82.67	82.876	83.007	83.149	83.325	83.491	83.57	83.781	83.909	84.006	84.147	84.249	84.39	84.484	84.639	84.844	84.987	85.128	85.305	85.5	85.581	85.696	85.845	85.948	86.028
1832	Eastern and South-Eastern Asia	74.985	75.72	76.004	76.25	76.521	76.792	77.006	77.217	77.523	77.726	78.008	78.169	78.421	78.644	78.849	79.048	79.309	79.514	79.616	79.865	80.124	80.183	80.457	80.538	80.761	80.948	81.098	81.276	81.431	81.603	81.787	81.898	82.098	82.284	82.383	82.585	82.715	82.828	82.996	83.043	83.274	83.371	83.524	83.66	83.853	83.966	84.134	84.217	84.41	84.624	84.762	84.827	84.946	85.145	85.3	85.376	85.497	85.597	85.809	85.943	86.059	86.275	86.382	86.526	86.653	86.757	86.91	87.088	87.202	87.389	87.544	87.736	87.82	87.906	88.085	88.263	88.269	88.386	88.547
1830	Latin America and the Caribbean	71.184	73.238	73.595	73.852	74.132	74.388	74.611	74.886	75.129	75.386	75.638	75.902	76.139	76.355	76.615	76.803	77.004	77.223	77.45	77.697	77.927	78.134	78.36	78.558	78.787	78.993	79.21	79.408	79.636	79.814	80.004	80.226	80.386	80.591	80.763	80.941	81.127	81.268	81.461	81.673	81.813	82.024	82.124	82.29	82.447	82.603	82.767	82.948	83.145	83.297	83.407	83.582	83.713	83.809	83.966	84.088	84.228	84.408	84.517	84.684	84.834	84.976	85.087	85.228	85.331	85.508	85.632	85.764	85.922	86.025	86.148	86.307	86.446	86.612	86.709	86.879	86.961	87.127	87.279
1835	Oceania (excluding Australia and New Zealand)	66.383	66.684	67.022	67.309	67.578	67.887	68.182	68.296	68.58	68.843	69.014	69.199	69.356	69.484	69.734	69.893	70.067	70.25	70.419	70.497	70.844	70.965	71.144	71.25	71.409	71.626	71.865	72.061	72.276	72.581	72.676	72.869	73.03	73.289	73.458	73.589	73.648	73.898	73.996	74.089	74.177	74.366	74.604	74.883	75.033	75.25	75.377	75.491	75.512	75.718	75.867	76.297	76.431	76.639	76.877	76.996	77.143	77.441	77.614	77.692	78.02	78.093	78.475	78.591	78.871	79.116	79.326	79.496	79.697	79.911	80.07	80.279	80.578	80.594	80.756	80.908	81.059	81.132	81.527
1836	Australia/New Zealand	82.34	82.669	82.908	83.205	83.425	83.627	83.875	84.081	84.274	84.483	84.706	84.946	85.137	85.383	85.603	85.738	85.959	86.164	86.237	86.422	86.561	86.722	86.865	87.182	87.338	87.548	87.658	87.959	88.065	88.292	88.472	88.553	88.766	88.853	89.041	89.162	89.356	89.482	89.696	89.779	89.935	90.086	90.264	90.462	90.624	90.741	90.908	91.139	91.374	91.45	91.589	91.763	91.913	92.037	92.109	92.27	92.495	92.631	92.839	92.873	93.038	93.247	93.429	93.552	93.707	93.854	93.87	94.11	94.168	94.409	94.569	94.617	94.851	94.925	95.087	95.268	95.348	95.439	95.618
1829	Europe and Northern America	74.863	77.116	77.618	77.852	78.081	78.311	78.537	78.784	78.979	79.238	79.448	79.655	79.894	80.092	80.263	80.47	80.645	80.853	81.032	81.251	81.425	81.585	81.789	81.971	82.158	82.312	82.496	82.647	82.801	82.978	83.105	83.246	83.406	83.563	83.722	83.915	84.061	84.212	84.394	84.55	84.71	84.855	85.018	85.191	85.347	85.503	85.665	85.798	85.927	86.091	86.256	86.427	86.596	86.719	86.884	87.076	87.222	87.345	87.489	87.559	87.688	87.843	87.987	88.165	88.279	88.446	88.571	88.698	88.833	88.97	89.161	89.303	89.371	89.498	89.674	89.8	89.944	90.081	90.214
901	More developed regions	75.69	77.72	78.17	78.39	78.618	78.835	79.043	79.255	79.457	79.657	79.885	80.069	80.324	80.5	80.685	80.868	81.042	81.231	81.445	81.585	81.78	81.972	82.131	82.325	82.485	82.656	82.783	82.952	83.127	83.262	83.392	83.519	83.699	83.83	84.025	84.167	84.311	84.485	84.623	84.749	84.96	85.098	85.247	85.41	85.559	85.68	85.873	86.051	86.169	86.326	86.5	86.639	86.81	86.978	87.118	87.274	87.435	87.576	87.689	87.819	87.961	88.086	88.209	88.364	88.479	88.617	88.738	88.86	89.028	89.184	89.349	89.476	89.578	89.72	89.81	89.955	90.063	90.204	90.347
