country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	70.0548	72.1323	73.0945	73.9836	74.8232	75.5698	76.2457	76.8873	77.5176	78.1225	78.62	79.1709	79.6868	80.1682	80.6803	81.1835
1834	Sub-Saharan Africa	59.1508	61.379	62.5457	63.5791	64.4814	65.3776	66.2481	67.0804	67.8991	68.7394	69.4647	70.1634	70.8537	71.5985	72.3273	73.0975
1833	Northern Africa and Western Asia	70.9791	73.0995	74.1866	75.2008	76.147	77.0498	77.8642	78.6237	79.3357	80.0865	80.813	81.4869	82.1741	82.9088	83.5785	84.2638
1831	Central and Southern Asia	68.7441	72.2172	73.5892	74.8758	76.0195	77.1474	78.2844	79.3618	80.3312	81.2366	82.0535	82.834	83.6157	84.2556	84.981	85.7142
1832	Eastern and South-Eastern Asia	74.8742	76.7581	77.9698	79.073	80.0489	80.9236	81.7625	82.5578	83.2403	83.9646	84.7125	85.3819	86.0919	86.7853	87.5367	88.1806
1830	Latin America and the Caribbean	71.3042	74.3776	75.642	76.8023	77.9155	78.9924	80.0141	80.9385	81.8192	82.611	83.4285	84.0994	84.819	85.4919	86.169	86.857
1835	Oceania (excluding Australia and New Zealand)	65.979	67.8596	69.0046	69.8912	70.7791	71.6478	72.6907	73.5798	74.2498	75.2099	75.9699	77.0226	77.9825	79.0836	80.1103	80.8913
1836	Australia/New Zealand	82.6398	83.647	84.713	85.7724	86.5637	87.5395	88.4315	89.1807	89.9536	90.7766	91.6192	92.3099	93.0865	93.8198	94.5241	95.2144
1829	Europe and Northern America	75.6175	78.3138	79.4435	80.465	81.4167	82.3169	83.1071	83.8945	84.7052	85.5007	86.2594	87.0492	87.7132	88.4318	89.1277	89.7995
901	More developed regions	76.3737	78.8288	79.8788	80.8654	81.7827	82.6402	83.3997	84.1633	84.9351	85.7144	86.4887	87.2761	87.9528	88.6115	89.323	89.9505
902	Less developed regions	68.861	70.9737	72.0059	72.9701	73.8722	74.6567	75.3719	76.0362	76.6744	77.2688	77.7939	78.3183	78.8232	79.322	79.8349	80.3622
941	Least developed countries	63.0076	64.9458	66.0271	66.9317	67.8133	68.6473	69.4176	70.2058	70.9031	71.6124	72.2883	72.9671	73.6304	74.2638	74.9279	75.6448
934	Less developed regions, excluding least developed countries	70.1712	72.4673	73.5696	74.5891	75.5599	76.4804	77.3134	78.0473	78.7575	79.4384	80.0342	80.6192	81.3014	81.8512	82.4465	82.9554
