country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
900	World	1.732	1.743	1.929	1.896	1.982	1.997	1.964	2.054	1.981	1.703	1.566	1.662	2.1	2.27	2.153	2.082	2.03	1.983	2.081	2.041	2.045	1.962	1.959	1.928	1.876	1.791	1.768	1.739	1.736	1.772	1.788	1.807	1.844	1.766	1.781	1.784	1.817	1.823	1.767	1.763	1.746	1.615	1.558	1.505	1.46	1.433	1.4	1.374	1.345	1.325	1.332	1.313	1.292	1.274	1.27	1.259	1.263	1.266	1.264	1.265	1.25	1.24	1.248	1.219	1.205	1.168	1.158	1.127	1.071	1.031	0.918	0.818
1834	Sub-Saharan Africa	2.061	2.081	2.09	2.082	2.121	2.154	2.186	2.155	2.131	2.309	2.357	2.413	2.449	2.476	2.523	2.54	2.529	2.566	2.605	2.613	2.658	2.634	2.629	2.729	2.764	2.768	2.762	2.693	2.97	2.879	2.748	2.938	2.942	2.729	2.856	2.886	2.919	2.952	2.816	2.872	2.771	2.707	2.653	2.666	2.528	2.709	2.619	2.573	2.577	2.606	2.628	2.665	2.669	2.687	2.707	2.708	2.728	2.749	2.755	2.749	2.785	2.759	2.746	2.748	2.698	2.732	2.602	2.626	2.617	2.624	2.598	2.509
1833	Northern Africa and Western Asia	2.343	2.401	2.501	2.525	2.481	2.485	2.638	2.59	2.535	2.617	2.591	2.597	2.672	2.652	2.649	2.595	2.711	2.71	2.711	2.662	2.62	2.605	2.621	2.632	2.69	2.867	3.231	2.836	2.525	2.834	2.883	2.813	2.873	2.862	2.761	2.644	2.704	2.557	2.453	2.506	1.807	2.455	2.24	2.368	2.183	2.096	2.068	2.018	1.951	1.957	1.95	1.914	1.91	1.869	1.928	2.123	2.264	2.323	2.313	2.256	2.035	1.888	2.042	2.122	2.062	1.956	1.889	1.748	1.79	1.675	1.288	1.448
1831	Central and Southern Asia	2.11	2.131	2.157	2.148	2.226	2.256	2.278	2.292	2.259	2.355	2.407	2.417	2.432	2.43	2.433	2.343	2.31	2.316	2.366	2.339	2.301	2.088	2.332	2.349	2.344	2.314	2.284	2.339	2.327	2.358	2.399	2.429	2.422	2.431	2.422	2.398	2.365	2.328	2.323	2.285	2.296	2.187	2.169	2.047	2.063	2.006	1.954	1.934	1.913	1.902	1.883	1.891	1.804	1.765	1.69	1.619	1.529	1.446	1.45	1.463	1.466	1.439	1.371	1.331	1.312	1.248	1.249	1.217	1.175	1.123	1.118	0.927
1832	Eastern and South-Eastern Asia	1.751	1.768	2.225	2.076	2.248	2.257	2.117	2.375	2.109	1.269	0.806	1.048	2.393	2.916	2.566	2.49	2.386	2.266	2.552	2.45	2.452	2.308	2.196	2.109	1.931	1.709	1.624	1.537	1.52	1.57	1.605	1.66	1.747	1.559	1.596	1.628	1.703	1.748	1.633	1.626	1.662	1.297	1.206	1.146	1.098	1.038	1.001	0.956	0.916	0.859	0.87	0.821	0.797	0.77	0.763	0.759	0.771	0.781	0.775	0.791	0.771	0.772	0.825	0.757	0.752	0.683	0.694	0.659	0.514	0.455	0.323	0.203
1830	Latin America and the Caribbean	2.612	2.603	2.619	2.615	2.647	2.66	2.686	2.701	2.687	2.745	2.768	2.773	2.762	2.745	2.722	2.688	2.626	2.585	2.53	2.493	2.453	2.432	2.407	2.396	2.363	2.338	2.294	2.335	2.308	2.275	2.2	2.105	2.097	2.09	2.04	1.998	1.949	1.921	1.9	1.86	1.889	1.816	1.784	1.739	1.719	1.662	1.618	1.581	1.539	1.489	1.432	1.381	1.336	1.27	1.258	1.21	1.177	1.141	1.104	1.093	1.112	1.122	1.089	1.054	1.036	1.01	0.991	0.941	0.894	0.828	0.709	0.594
1835	Oceania (excluding Australia and New Zealand)	1.966	1.945	2.273	2.403	2.482	2.584	2.669	2.7	2.734	2.724	2.732	2.489	2.487	2.434	2.389	2.389	2.388	2.281	2.312	2.358	2.411	2.395	2.335	2.259	2.204	2.163	2.153	2.119	2.108	2.108	2.151	2.185	2.173	2.173	2.195	2.204	2.162	2.135	2.083	2.156	2.434	2.673	2.839	2.834	2.804	2.799	2.931	2.947	2.899	2.882	2.726	2.648	2.615	2.585	2.538	2.501	2.485	2.44	2.409	2.376	2.388	2.299	2.235	2.184	2.123	2.044	1.995	1.942	1.893	1.846	1.828	1.756
1836	Australia/New Zealand	2.918	2.622	2.329	2.072	2.144	2.328	2.293	2.191	2.142	2.112	2.15	2.064	1.927	1.961	1.937	2.038	1.914	1.66	1.742	1.89	2.881	2.793	1.689	1.647	1.509	1.174	0.978	0.977	0.913	0.952	1.191	1.447	1.445	1.248	1.177	1.19	1.312	1.413	1.462	1.425	1.679	1.308	1.017	0.976	1.098	1.226	1.19	1.039	0.985	0.992	1.107	1.192	1.27	1.229	1.181	1.286	1.511	1.749	1.856	1.687	1.386	1.421	1.557	1.536	1.499	1.53	1.633	1.617	1.636	1.679	1.045	1.025
1829	Europe and Northern America	1.055	1.041	1.114	1.176	1.2	1.198	1.186	1.189	1.289	1.157	1.156	1.167	1.08	1.047	1.021	0.912	0.857	0.818	0.757	0.752	0.768	0.817	0.756	0.688	0.704	0.657	0.632	0.656	0.638	0.645	0.66	0.571	0.571	0.569	0.556	0.549	0.585	0.591	0.588	0.577	0.616	0.572	0.542	0.468	0.403	0.368	0.371	0.371	0.323	0.306	0.343	0.291	0.333	0.343	0.393	0.362	0.417	0.495	0.472	0.429	0.389	0.416	0.404	0.366	0.364	0.362	0.397	0.352	0.32	0.306	0.056	-0.007
901	More developed regions	1.14	1.107	1.159	1.191	1.205	1.202	1.178	1.164	1.269	1.149	1.147	1.157	1.08	1.061	1.046	0.957	0.867	0.88	0.822	0.821	0.854	0.901	0.833	0.773	0.774	0.714	0.682	0.694	0.667	0.664	0.672	0.59	0.588	0.58	0.567	0.557	0.583	0.591	0.584	0.569	0.602	0.558	0.523	0.455	0.404	0.367	0.373	0.368	0.324	0.305	0.344	0.298	0.335	0.338	0.38	0.35	0.405	0.476	0.456	0.413	0.366	0.383	0.374	0.339	0.335	0.333	0.363	0.316	0.286	0.27	0.027	-0.034
