country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1834	Sub-Saharan Africa	-4.6	-25.436	-71.434	-171.911	-162.311	-176.388	-185.079	-198.661	-320.784	-149.017	-90.658	-44.718	-63.633	-56.496	-10.35	-11.763	-37.5	8.909	13.538	-24.269	6.796	-172.97	-183.008	-22.279	45.885	-32.947	-214.287	-559.073	348.002	-76.497	-605.558	82.865	77.811	-543.644	-8.446	91.315	255.429	273.344	-76.171	67.749	-226.32	-333.313	-441.487	-402.199	-531.717	-160.596	-551.407	-692.207	-389.228	-491.405	-501.302	-305.549	-327.273	-299.182	-296.878	-494.126	-491.883	-422.013	-534.941	-616.633	-307.973	-548.685	-504.475	-287.585	-561.673	-17.301	-1132.985	-731.655	-694.481	-484.702	-147.723	-427.925	-450.072	-444.768	-428.011	-406.731	-384.986	-360.396	-349.186	-338.9	-329.241	-321.078	-315.168	-311.891	-309.057	-306.447	-304.345	-302.991	-302.545	-302.357	-302.273	-302.238	-302.205	-302.121	-302.005	-301.91	-301.812	-301.766	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758	-301.758
1833	Northern Africa and Western Asia	-26.112	-4.171	14.925	-11.613	-54.422	-77.134	61.772	42.952	-38.558	4.114	-53.343	-106.615	-55.023	-104.325	-122.179	-171.268	36.132	92.371	85.125	10.063	-103.964	-207.466	-191.39	-163.824	-93.256	240.926	1038.994	187.599	-517.906	99.566	213.801	80.773	264.14	265.661	76.057	-170.175	33.297	-137.257	-116.596	-35.646	-1906.202	101.363	-370.258	192.772	-355.02	-374.583	-304.88	-312.111	-349.727	-310.558	-258.864	-365.729	-212.398	-265.554	22.599	817.423	1341.431	1541.526	1487.293	1218.45	169.56	-507.305	240.59	687.929	495.228	150.98	246.768	-279.019	210.796	-124.728	-1643.624	-500.97	40.909	14.02	-12.497	-55.957	-91.239	-108.126	-127.298	-145.152	-161.753	-172.762	-173.818	-163.351	-155.123	-150.628	-148.785	-148.389	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378	-148.378
1831	Central and Southern Asia	286.466	247.914	121.868	-111.383	-68.781	-84.712	-93.324	-143.57	-445.607	20.458	195.844	198.696	232.567	195.438	181.604	246.687	5.593	42.643	-64.035	-206.749	-223.262	-626.98	-477.507	-434.264	-545.786	-710.729	-1151.441	-456.094	-510.253	-494.285	-329.75	-162.534	-247.307	-141.559	-284.023	-311.817	-793.922	-653.209	-358.057	-404.619	350.049	-543.216	-382.002	-1300.15	-642.866	-862.965	-955.056	-839.458	-793.257	-609.381	-634.061	-268.193	-1026.193	-906.809	-1442.087	-1669.999	-2495.824	-3463.405	-2857.676	-2221.051	-1696.109	-1655.208	-2498.616	-2813.441	-2146.822	-2986.194	-2622.605	-2289.036	-2581.392	-2473.484	-532.829	-980.532	-1270.348	-1269.817	-1269.898	-1268.129	-1267.056	-1268.213	-1265.452	-1264.637	-1262.114	-1257.623	-1255.669	-1265.634	-1267.037	-1267.899	-1268.364	-1267.165	-1267.302	-1267.467	-1267.659	-1266.422	-1266.561	-1266.637	-1266.725	-1266.849	-1266.675	-1266.75	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755	-1266.755
1832	Eastern and South-Eastern Asia	43.511	139.249	203.542	183.976	232.775	248.394	276.525	279.264	218.956	226.275	-171.559	-376.892	-416.997	-395.275	-352.008	-401.059	-279.216	-296.276	-151.929	-156.385	-315.674	-191.62	-206.597	-315.4	-380.312	-286.325	-300.531	-92.719	-242.036	-448.637	-365.432	-103.882	-148.115	69.276	-1.397	77.85	179.799	89.842	-87.314	-399.564	-70.09	-1026.82	-901.224	-835.171	-653.706	-788.749	-381.083	-326.385	-187.352	-406.169	-636.592	-615.248	-609.137	-714.748	-611.318	-688.786	-545.063	-471.194	-511.95	-335.842	-172.381	258.472	283.8	204.486	75.138	266.464	249.591	125	-90.052	-99.778	29.821	-141.988	-322.943	-321.777	-322.423	-321.716	-321.821	-323.98	-321.779	-322.734	-322.568	-320.368	-319.871	-320.068	-321.468	-322.329	-322.798	-321.58	-321.723	-321.908	-322.139	-320.939	-321.108	-321.225	-321.357	-321.52	-321.411	-321.505	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518	-321.518
1830	Latin America and the Caribbean	-23.226	-101.78	-153.025	-225.622	-238.019	-260.163	-271.392	-284.913	-362.171	-259.662	-241.884	-257.127	-290.963	-316.558	-326.704	-320.577	-382.144	-376.325	-411.179	-431.608	-423.225	-487.974	-500.025	-498.113	-510.21	-542.243	-604.152	-433.663	-456.698	-466.618	-636.26	-924.568	-858.643	-803.802	-878.243	-921.704	-1026.392	-1003.865	-927.776	-951.705	-631.497	-786.15	-733.914	-796.46	-724.275	-809.653	-811.676	-799.403	-798.735	-878.011	-944.826	-962.131	-959.173	-1018.456	-940.766	-1061.812	-1024.555	-1002.916	-1037.998	-964.64	-596.921	-503.184	-494.659	-540.739	-497.52	-431.002	-145.592	-286.013	-341.119	-427.339	-163.805	-274.248	-175.469	-161.8	-151.95	-138.657	-129.125	-129.706	-137.716	-154.662	-172.035	-185.467	-195.389	-198.716	-202.012	-204.465	-206.062	-205.248	-204.972	-204.067	-202.866	-200.25	-199.355	-198.876	-198.232	-197.504	-196.592	-196.171	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094	-196.094
1835	Oceania (excluding Australia and New Zealand)	-7.834	-7.084	-6.366	-5.533	-5.38	-4.825	-3.442	-4.338	-4.294	-4.962	-5.273	-13.619	-15.12	-18.002	-20.363	-21.507	-22.861	-27.536	-27.596	-26.871	-25.454	-26.055	-28.314	-30.562	-32.45	-34.004	-34.815	-36.099	-36.384	-36.151	-33.625	-32.309	-33.315	-34.74	-34.389	-34.67	-36.751	-38.893	-42.267	-37.37	-19.449	-2.128	10.46	11.746	12.172	14.523	26.303	29.976	30.837	29.32	19.288	15.298	16.051	15.826	15.477	15.597	16.609	16.044	14.424	14.985	18.539	11.656	8.168	6.446	3.096	-1.617	-2.868	-4.354	-5.853	-7.089	-5.347	-5.181	-10.521	-10.213	-9.791	-9.284	-8.813	-8.511	-8.452	-8.419	-8.387	-8.361	-8.338	-8.303	-8.271	-8.242	-8.214	-8.18	-8.155	-8.128	-8.098	-8.077	-8.055	-8.034	-8.011	-7.996	-7.978	-7.968	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967	-7.967
1836	Australia/New Zealand	152.471	130.408	96.077	70.615	83.821	104.105	104.92	90.639	84.39	86.994	90.958	75.419	70.612	83.837	100.848	128.037	119.721	79.039	90.408	104.623	263.217	234.035	73.792	91.931	89.948	43.98	23.406	22.984	17.417	24.85	71.309	110.9	115.43	75.73	73.522	74.221	98.792	123.79	133.769	131.079	167.487	99.444	40.684	35.759	73.908	105.86	107.744	79.021	70.319	76.018	103.295	131.047	155.579	146.088	133.706	151.257	206.66	254.207	283.195	248.284	173.091	195.343	234.18	237.111	246.652	256.631	292.196	293.69	300.726	339.252	156.149	156.149	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983	152.983
1829	Europe and Northern America	-420.676	-379.097	-205.581	271.474	212.323	250.726	110.026	218.634	868.074	75.803	275.917	524.858	538.563	611.386	549.158	551.453	560.278	477.178	465.671	731.205	821.572	1479.034	1513.064	1372.519	1426.191	1321.358	1242.836	1367.074	1397.873	1397.781	1685.524	948.759	830.006	1113.084	1056.925	1194.986	1289.753	1346.249	1474.419	1630.084	2336.03	2490.826	2777.743	3093.712	2821.505	2876.169	2870.068	2860.575	2417.157	2590.195	2853.071	2370.512	2962.548	3042.839	3119.271	2930.451	2992.632	3547.755	3157.668	2656.46	2412.199	2748.917	2731.062	2505.809	2385.923	2762.06	3115.512	3171.398	3201.386	3277.878	2307.365	2174.699	2035.611	2041.531	2041.771	2047.667	2050.224	2046.126	2057.042	2081.689	2103.311	2112.828	2115.376	2115.175	2110.114	2107.162	2105.684	2100.721	2100.224	2099.476	2098.583	2093.459	2092.798	2092.416	2091.895	2091.288	2089.991	2089.646	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61	2089.61
901	More developed regions	-330.051	-293.315	-146.975	302.392	244.659	282.047	137.051	229.931	881.098	100.411	320.63	566.874	590.581	699.042	679.212	729.253	745.701	630.354	649.828	952.113	1208.986	1824.066	1680.67	1531.695	1555.064	1388.28	1314.032	1421.627	1416.142	1401.177	1726.239	1019.73	913.355	1170.251	1118.937	1260.979	1375.62	1466.626	1616.587	1779.133	2529.808	2621.396	2852.491	3168.699	2936.744	3020.601	3019.303	2986.073	2544.053	2739.138	3040.843	2594.816	3220.387	3308.184	3388.812	3234.956	3359.828	3965.03	3599.259	3063.954	2733.75	3084.053	3102.586	2877.641	2771.976	3168.906	3564.701	3629.158	3679.582	3801.083	2551.098	2418.432	2288.586	2294.506	2294.746	2300.642	2303.199	2299.101	2310.017	2334.664	2356.286	2365.803	2368.351	2368.15	2363.089	2360.137	2358.659	2353.696	2353.199	2352.451	2351.558	2346.434	2345.773	2345.391	2344.87	2344.263	2342.966	2342.621	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585	2342.585
