country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8002679.998	8069683.701	8135996.792	8201132.006	8263839.06	8326263.467	8388959.683	8448762.26	8507411.525	8564721.359	8620052.233	8678671.186	8731340.806	8782226.188	8833013.061	8882159.38	8933337.476	8979999.149	9027839.633	9072783.601	9112373.871	9154475.138	9193574.84	9232188.448	9269638.782	9305386.613	9337254.789	9370096.352	9397388.445	9423724.703	9446870.259	9469498.861	9491582.412	9512126.224	9526050.94	9539998.403	9551802.736	9564153.443	9571589.929	9577108.605	9585399.64	9588550.507	9587826.755	9588731.242	9588848.037	9589885.199	9585506.452	9579560.106	9572417.041	9565994.126	9555165.546	9542677.17	9528038.55	9515561.529	9501743.986	9483109.9	9462283.846	9443921.801	9430595.218	9411519.782	9392019.592	9367199.204	9340659.887	9317023.56	9289696.117	9261312.54	9229300.765	9196139.069	9165034.644	9139936.971	9112062.504	9078182.983	9048200.814	9009129.352	8967150.501	8928179.262	8890276.846	8854444.632	8815806.193
1834	Sub-Saharan Africa	1179404.071	1207048.047	1235248.528	1263515.837	1292439.064	1321425.946	1350331.455	1379292.88	1408213.16	1437723.586	1467211.864	1496581.575	1525620.904	1555116.932	1584514.403	1614240.024	1644225.037	1673871.381	1703466.35	1732798.921	1761987.452	1790144.6	1818410.281	1845305.414	1872904.737	1900552.344	1927685.108	1955713.567	1982452.778	2008926.728	2034321.92	2059581.715	2081466.001	2107522.994	2131499.121	2155415.374	2177851.534	2200730.7	2223519.847	2241925.064	2264777.126	2284682.374	2302272.881	2319982.959	2337342.799	2356006.443	2373383.286	2390278.91	2404745.674	2419777.119	2434940.864	2450518.094	2463839.781	2476482.941	2484995.335	2497591.973	2508394.103	2517949.576	2525777.338	2534044.781	2541076.796	2547241.987	2550510.436	2557490.874	2563838.006	2568497.599	2573951.537	2577612.961	2582288.133	2582194.33	2586197.293	2585424.803	2583364.198	2582680.768	2578258.178	2577411.601	2573695.616	2571072.315	2567051.964
1833	Northern Africa and Western Asia	557203.458	564918.255	572702.243	580185.099	587597.385	594997.246	602216.671	609246.444	616224.841	623078.43	629832.755	636637.422	643530.474	650363.751	656941.951	663544.714	669886.041	676590.456	683054.341	689216.978	695035.358	700823.61	706754.208	712053.336	717395.39	722770.869	727677.026	732751.067	737732.507	741877.539	746153.324	750266.89	754362.532	758241.602	761570.738	764155.407	767256.359	769976.408	772325.187	774709.156	777371.222	779159.381	781132.53	782982.248	784323.514	785732.999	786994.339	788453.676	789620.728	790302.932	790651.892	790770.201	791513.596	792010.855	791797.833	791868.72	792070.077	791751.995	791010.846	790403.01	789528.649	788614.798	787603.072	786559.931	785566.787	783966.129	782006.401	779576.186	778101.033	776438.887	774129.526	771492.151	769479.294	767308.903	765193.329	762756.262	760211.695	757613.402	755104.075
1831	Central and Southern Asia	2090479.165	2109688.063	2128117.36	2146503.333	2164298.259	2181381.925	2197564.834	2212915.263	2228210.129	2243211.753	2257528.88	2270678.717	2283519.741	2295116.994	2305594.988	2317476.07	2328463.455	2338865.65	2348214.502	2358549.333	2369085.065	2377332.826	2384422.26	2390200.553	2396094.723	2401092.432	2405205.554	2407320.778	2408839.503	2411277.786	2412396.186	2414337.267	2414081.918	2413226.687	2410073.75	2411158.08	2408494.307	2404506.413	2401365.542	2399275.898	2393610.978	2386986.916	2379048.343	2370774.413	2363965.712	2357621.081	2348873.481	2339356.528	2332398.626	2322368.035	2311568.632	2301329.745	2290281.371	2279960.09	2269220.033	2259658.377	2247777.99	2236208.257	2222951.526	2209215.176	2197098.965	2182737.987	2171273.102	2160444.776	2149397.005	2137168.677	2123744.772	2110518.721	2095501.907	2075525.136	2055820.658	2035181.744	2014255.555	1995734.055	1978865.149	1962569.978	1947380.334	1929840.251	1913061.742
1832	Eastern and South-Eastern Asia	2344031.93	2346157.153	2347899.093	2348525.915	2348550.298	2348309.492	2346965.154	2345526.886	2343201.383	2340876.239	2337426.832	2332797.45	2327831.419	2321942.345	2316618.349	2310658.812	2303107.178	2295567.808	2287310.222	2279411.029	2270892.293	2262394.418	2253602.9	2242707.515	2232533.824	2220998.588	2210488.298	2198660.508	2185703.868	2171976.27	2157684.008	2144719.702	2130223.427	2114677.785	2098450.479	2082628.655	2066706.94	2048162.709	2030864.622	2014632.341	1997214.05	1978091.838	1960980.54	1942462.286	1925023.011	1906731.44	1887654.653	1870045.315	1852494.479	1834328.781	1816930.87	1797531.067	1777067.43	1758994.733	1737329.276	1720093.994	1702760.877	1685535.023	1667221.966	1647658.142	1628550.192	1611335.827	1595003.173	1577565.651	1558908.106	1539763.165	1522854.902	1504022.438	1482033.519	1464795.149	1446554.409	1427768.652	1410306.056	1392131.239	1375674.256	1357766.965	1342360.269	1324450.357	1305195.45
1830	Latin America and the Caribbean	661834.222	666215.127	670368.787	674327.432	678237.93	681975.965	685575.508	688990.568	692226.531	695136.536	697862.603	700696.449	702792.855	705204.913	707448.904	709185.267	710889.025	712569.659	714097.261	715635.247	716524.183	717529.393	718115.42	718904.193	719066.32	718936.252	718664.417	718531.319	717854.568	717041.064	716485.89	715706.431	714922.759	713745.786	712241.166	710298.267	708527.651	706536.652	704079.572	702105.131	699942.669	697221.957	694620.638	691935.845	688998.75	686219.372	682675.086	679260.083	675641.917	672218.743	668656.173	664622.642	660653.872	656686.705	652552.212	649115.599	644995.001	639478.234	634691.192	630315.969	625611.753	620252.694	615656.05	611197.628	605962.263	601310.119	596868.972	592329.475	587485.544	581954.246	577352.68	572302.037	566940.011	561882.552	556842.528	551556.356	546526.233	541612.282	536173.566
1835	Oceania (excluding Australia and New Zealand)	13724.95	13889.835	14053.225	14210.435	14362.456	14518.67	14674.868	14824.976	14973.44	15123.671	15262.721	15411.357	15551.969	15683.977	15832.389	15973.05	16090.815	16224.294	16351.905	16471.164	16583.814	16707.477	16811.236	16908.285	17003.187	17093.679	17173.45	17254.237	17321.03	17403.142	17474.012	17550.137	17604.9	17639.226	17662.281	17694.606	17738.23	17735.515	17751.466	17758.924	17748.829	17774.521	17783.596	17765.466	17745.552	17740.065	17714.756	17702.775	17680.242	17636.784	17598.339	17563.373	17521.597	17488.499	17442.723	17410.478	17377.942	17323.567	17293.595	17249.764	17192.884	17140.366	17058.94	16985.332	16935.178	16857.964	16765.775	16697.782	16609.256	16526.815	16401.456	16291.679	16183.694	16096.082	16000.492	15923.73	15859.194	15787.579	15709.367
1836	Australia/New Zealand	31480.181	31745.664	32001.341	32258.064	32492.353	32722.945	32947.684	33161.715	33358.445	33563.528	33739.925	33932.686	34114.664	34273.21	34446.706	34622.584	34774.757	34912.018	35057.919	35182.492	35323.381	35445.451	35569.457	35699.01	35817.82	35933.661	36011.424	36078.768	36153.136	36236.437	36331.717	36383.474	36443.353	36503.716	36593.526	36650.57	36710.17	36762.819	36793.98	36842.204	36878.185	36905.5	36917.852	36896.643	36890.256	36926.016	36962.734	36988.962	37012.705	37016.257	36975.498	36982.409	36971.148	37016.27	37016.033	37002.147	36931.326	36935.732	36917.541	36833.532	36758.215	36715.828	36594.589	36527.751	36498.104	36390.452	36323.923	36218.014	36129.679	36154.269	36154.069	36026.21	35918.623	35921.891	35857.502	35737.453	35651.744	35572.684	35533.021
1829	Europe and Northern America	1119755.501	1120536.557	1121267.891	1121825.663	1122202.356	1122378.529	1122437.568	1122394.054	1122062.063	1121645.501	1121154.93	1120335.764	1119719.53	1118802.985	1117692.928	1116592.374	1115209.545	1113701.111	1111976.972	1110258.745	1108558.485	1106748.969	1104093.676	1102073.056	1099822.798	1097171.036	1094466.957	1091790.068	1088446.874	1085549.987	1082774.325	1079722.969	1076441.518	1073230.899	1069808.365	1066126.089	1061837.735	1057420.894	1053544.868	1049598.741	1045730.893	1042131.227	1038713.308	1034947.53	1031112.615	1027235.713	1023342.51	1019133.847	1015266.341	1011288.379	1007263.04	1003225.938	999223.578	995293.376	991058.168	986653.091	983024.447	979459.697	974436.421	969089.406	964542.881	960518.851	956535.864	952968.916	949773.905	945588.173	942156.227	938147.824	934220.43	930188.317	926235.86	922963.708	920675.876	916332.964	911394.83	907571.696	903683.446	900471.543	896678.481
901	More developed regions	1274835.38	1275198.429	1275613.76	1275707.894	1275660.934	1275402.665	1274793.398	1274085.332	1273361.425	1272432.067	1271641.176	1270172.456	1268679.859	1267266.263	1265571.584	1264044.204	1262474.978	1260552.797	1258491.171	1255926.863	1253415.781	1250633.345	1248169.744	1245479.405	1242518.152	1239673.653	1236321.016	1233161.39	1229716.845	1226244.694	1222361.624	1218561.687	1214869.539	1210623.86	1205590.471	1200989.497	1197032.593	1192949.382	1188224.025	1183309.513	1178174.765	1174212.613	1169689.909	1165308.097	1160651.788	1156425.8	1151557.153	1146337.738	1141674.675	1137794.659	1132872.813	1128441.411	1124344.349	1119566.417	1115038.39	1110837.838	1106389.413	1101888.999	1096807.521	1092211.657	1085968.538	1082382.867	1077964.158	1072949.987	1068369.46	1063381.201	1058685.453	1054421.043	1049458.823	1043885.676	1039569.43	1035153.511	1031113.696	1026458.145	1021704.318	1016904.178	1013136.448	1009214.394	1005060.194
