country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8022862.183	8110676.972	8198527.559	8285655.333	8372030.22	8466467.868	8560169.352	8653174.024	8745449.423	8836947.3	8933753.24	9029768.76	9125015.853	9219450.907	9313000.359	9405788.221	9497804.184	9588892.844	9679173.841	9768733.595	9857616.137	9945840.245	10033457.527	10120510.879	10207089.273	10293240.549	10378988.561	10464344.911	10549467.563	10634304.592	10719257.163	10804098.268	10889023.651	10974004.593	11059129.942	11144420.795	11229875.165	11315294.606	11400973.43	11486900.482	11573132.946	11659458.178	11745925.139	11832206.544	11918410.421	12004654.874	12090669.452	12176511.533	12262045.597	12347387.857	12432590.295	12517596.83	12602336.866	12686846.884	12771097.913	12855150.754	12939163.825	13023285.833	13107454.125	13191758.803	13276447.732	13361474.549	13446838.284	13532481.53	13618411.883	13704769.678	13791695.495	13878930.399	13966516.67	14054288.263	14142435.088	14230692.494	14319306.759	14407954.825	14496638.942	14585200.43	14673768.011	14762346.435	14850717.571
1834	Sub-Saharan Africa	1183447.098	1215520.535	1248341.089	1281603.92	1315342.915	1351038.777	1387213.174	1423880.117	1460953.613	1498468.08	1537531.908	1576989.629	1616872.451	1657099.79	1697634.539	1738546.724	1779810.778	1821411.098	1863373.075	1905723.337	1948387.03	1991495.622	2034974.875	2078843.101	2123087.222	2167774.032	2212861.914	2258351.079	2304221.142	2350413.76	2397041.295	2444025.421	2491338.347	2538995.015	2586981.626	2635291.733	2683818.3	2732531.835	2781497.677	2830738.318	2880243.865	2929827.607	2979653.079	3029488.644	3079454.634	3129596.199	3179762.391	3229974.583	3280190.058	3330433.363	3380786.035	3431156.508	3481509.489	3531836.714	3582116.68	3632337.306	3682667.49	3732999.399	3783349.054	3833708.282	3884057.905	3934372.792	3984681.266	4034926.987	4085037.496	4135069.407	4185060.781	4234833.318	4284525.477	4334058.938	4383520.769	4432804.868	4482007.231	4530958.703	4579748.923	4628282.249	4676700.568	4724951.921	4773009.568
1833	Northern Africa and Western Asia	558983.138	568573.264	578200.452	587722.189	597170.802	607199.262	617180.563	627122.698	637032.018	646918.708	657291.277	667694.062	678134.216	688580.205	699037.587	709493.007	719930.622	730350.059	740744.748	751130.366	761481.314	771806.929	782078.81	792337.874	802590.908	812825.696	823014.54	833190.081	843359.993	853486.581	863637.586	873764.443	883874.034	893978.309	904093.675	914202.588	924300.356	934384.48	944463.862	954523.213	964567.369	974573.765	984556.95	994506.66	1004450.334	1014372.831	1024282.357	1034157.089	1044010.743	1053875.561	1063730.445	1073561.8	1083378.572	1093210.6	1103028.216	1112826.873	1122621.806	1132435.715	1142275.751	1152160.589	1162073.25	1172002.183	1181945.272	1191914.587	1201893.46	1211898.831	1221902.405	1231921.61	1241935.588	1251938.253	1261928.451	1271922.244	1281891.418	1291838.475	1301773.325	1311663.898	1321535.461	1331354.747	1341136.083
1831	Central and Southern Asia	2098395.707	2125531.433	2152407.421	2179029.788	2205262.301	2233794.7	2261963.176	2289777.82	2317281.827	2344372.949	2372894.761	2400982.425	2428680.125	2455951.804	2482760.216	2509136.003	2535105.224	2560541.333	2585515.271	2610033.297	2634198.89	2657973.09	2681410.63	2704600.676	2727554.25	2750279.626	2772924.33	2795387.946	2817813.985	2840192.622	2862623.567	2884982.394	2907443.228	2929952.674	2952485.014	2974996.826	2997481.463	3019811.957	3042042.596	3064057.746	3085926.761	3107560.726	3128899.28	3149888.05	3170503.232	3190769.569	3210664.313	3230217.036	3249352.492	3268083.644	3286473.319	3304655.609	3322521.944	3340162.93	3357598.459	3374849.704	3391902.569	3408940.461	3425894.419	3442757.886	3459786.771	3476910.817	3494076.088	3511272.201	3528487.236	3545801.25	3563284.992	3580846.434	3598407.949	3615914.625	3633402.972	3650831.4	3668303.991	3685770.738	3703102.37	3720361.116	3737495.264	3754626.111	3771665.364
1832	Eastern and South-Eastern Asia	2350676.785	2359568.935	2367958.713	2375790.423	2383088.868	2392061.097	2400486.73	2408380.756	2415744.246	2422596.355	2430360.258	2437611.497	2444311.972	2450563.797	2456346.995	2461709.388	2466680.914	2471218.045	2475358.413	2479119.168	2482520.366	2485483.321	2488062.218	2490155.235	2491820.152	2493011.198	2493695.772	2493892.596	2493621.809	2492899.216	2491784.242	2490281.936	2488396.743	2486139.509	2483576.276	2480769.077	2477837.696	2474758.402	2471655.878	2468646.134	2465722.701	2462970.952	2460362.145	2457892.413	2455575.887	2453463.714	2451449.448	2449614.351	2447922.123	2446385.302	2444994.177	2443658.563	2442437.785	2441238.724	2440051.199	2438914.996	2437803.26	2436750.332	2435738.637	2434824.646	2434027.033	2433336.669	2432804.224	2432412.681	2432239.12	2432281.753	2432568.634	2433096.498	2433888.828	2434892.463	2436187.248	2437643.081	2439363.656	2441239.468	2443282.307	2445480.564	2447832.688	2450327.581	2452858.409
1830	Latin America and the Caribbean	663780.218	670083.685	676311.207	682441.602	688483.778	695160.568	701705.816	708108.445	714369.797	720469.34	726922.609	733215.452	739352.277	745315.725	751118.061	756745.211	762193.758	767479.171	772615.785	777595.813	782437.846	787145.234	791751.608	796263.519	800686.438	805032.027	809291.808	813476.47	817597.156	821661.993	825687.618	829674.596	833615.459	837509.966	841356.926	845174.413	848954.356	852675.84	856366.282	860001.996	863587.377	867106.363	870555.336	873922.728	877195.577	880390.716	883499.802	886530.613	889485.634	892366.831	895159.474	897870.713	900520.324	903106.618	905658.001	908166.307	910648.533	913112.337	915551.508	917984.472	920413.595	922868.986	925332.659	927811.009	930317.387	932845.922	935412.747	938006.9	940627.064	943269.44	945943.665	948650.814	951381.832	954137.802	956933.515	959755.713	962591.227	965456.189	968329.387
1835	Oceania (excluding Australia and New Zealand)	13818.834	14076.689	14334.289	14592.211	14850.103	15123.575	15397.097	15670.263	15943.12	16216.412	16501.852	16786.246	17069.894	17353.114	17635.756	17917.825	18199.272	18479.132	18758.908	19037.628	19315.374	19593.68	19869.469	20147.131	20425.049	20703.014	20981.022	21258.79	21537.061	21815.51	22094.86	22375.127	22655.617	22935.817	23216.492	23499.383	23782.134	24064.305	24346.684	24628.158	24909.712	25190.789	25473.596	25755.666	26036.481	26317.943	26598.687	26879.516	27160.99	27441.72	27721.063	27999.233	28276.698	28553.933	28829.366	29103.24	29377.627	29651.837	29926.557	30202.362	30477.04	30752.441	31027.565	31302.259	31576.294	31850.406	32122.928	32395.983	32669.649	32943.61	33218.551	33492.293	33765.026	34035.922	34306.766	34575.221	34843.604	35111.082	35376.436
1836	Australia/New Zealand	31571.367	31930.978	32288.187	32642.331	32992.494	33372.207	33746.667	34114.428	34475.909	34830.978	35200.771	35564.613	35923.403	36276.043	36623.866	36967.988	37307.369	37643.37	37976.123	38305.872	38634.337	38960.855	39285.479	39607.833	39928.001	40246.224	40562.007	40876.696	41190.781	41504.988	41821.648	42142.129	42465.293	42791.144	43120.759	43456.682	43795.207	44137.934	44484.163	44835.567	45189.401	45546.411	45905.421	46267.179	46629.949	46992.445	47357.662	47723.812	48088.298	48450.715	48811.659	49172.634	49532.634	49892.01	50249.475	50604.916	50960.058	51314.759	51670.611	52026.184	52381.807	52738.82	53099.429	53465.296	53832.364	54204.344	54580.173	54960.965	55349.087	55743.787	56144.879	56554.348	56969.202	57389.543	57817.927	58249.226	58683.783	59125.012	59569.181
1829	Europe and Northern America	1122189.036	1125391.453	1128686.201	1131832.869	1134838.959	1138717.682	1142476.129	1146119.497	1149648.893	1153074.478	1157049.804	1160924.836	1164671.515	1168310.429	1171843.339	1175272.075	1178576.247	1181770.636	1184831.518	1187788.114	1190640.98	1193381.514	1196024.438	1198555.51	1200997.253	1203368.732	1205657.168	1207911.253	1210125.636	1212329.922	1214566.347	1216852.222	1219234.93	1221702.159	1224299.174	1227030.093	1229905.653	1232929.853	1236116.288	1239469.35	1242985.76	1246681.565	1250519.332	1254485.204	1258564.327	1262751.457	1267054.792	1271414.533	1275835.259	1280350.721	1284914.123	1289521.77	1294159.42	1298845.355	1303566.517	1308347.412	1313182.482	1318080.993	1323047.588	1328094.382	1333230.331	1338491.841	1343871.781	1349376.51	1355028.526	1360817.765	1366762.835	1372868.691	1379113.028	1385527.147	1392088.553	1398793.446	1405624.403	1412584.174	1419673.809	1426832.443	1434085.416	1441393.792	1448773.143
901	More developed regions	1277541.352	1280596.706	1283736.866	1286712.883	1289541.628	1293355.996	1297036.763	1300587.813	1304009.818	1307314.255	1311233.678	1315039.368	1318705.008	1322245.638	1325666.172	1328971.394	1332142.053	1335196.488	1338112.781	1340920.981	1343622.528	1346205.949	1348693.395	1351069.64	1353359.571	1355583.523	1357728.872	1359849.134	1361938.837	1364030.049	1366168.244	1368369.698	1370676.72	1373077.797	1375622.575	1378314.26	1381162.441	1384169.185	1387349.899	1390712.317	1394249.383	1397975.552	1401851.689	1405867.82	1410008.35	1414266.408	1418661.391	1423122.569	1427659.848	1432304.11	1437012.823	1441781.76	1446601.65	1451486.148	1456420.86	1461433.209	1466516.891	1471678.068	1476925.815	1482271.757	1487718.83	1493306.937	1499033.109	1504901.549	1510930.434	1517115.059	1523474.782	1530011.13	1536710.405	1543597.633	1550652.962	1557873.133	1565239.942	1572756.445	1580420.601	1588172.317	1596036.642	1603971.436	1611994.229
