country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	7994241.331	8053463.069	8112671.744	8171094.256	8228679.626	8276754.247	8323983.348	8370348.397	8415788.335	8460233.802	8497829.301	8534356.563	8569794.28	8604082.857	8637146.09	8669083.377	8699820.257	8729106.671	8756937.795	8783270.761	8807985.127	8830919.599	8851963.159	8870993.038	8887932.384	8902649.002	8914983.933	8924780.196	8932022.149	8936534.118	8938560.757	8937842.094	8934525.063	8928601.207	8920173.737	8909320.767	8896111.814	8880520.482	8862865.585	8843238.969	8821808.145	8798560.322	8773679.455	8747059.923	8718871.177	8689282.803	8658179.49	8625636.955	8591597.568	8556167.252	8519374.859	8481164.751	8441468.89	8400289.539	8357579.792	8313341.641	8267661.335	8220579.359	8172068.626	8122161.32	8071002.909	8018589.562	7964936.495	7910065.554	7854017.215	7796911.009	7738849.475	7679761.584	7619736.331	7558750.984	7496937.162	7434246.034	7370837.406	7306614.668	7241654.819	7175943.331	7109619.159	7042750.382	6975324.482
1834	Sub-Saharan Africa	1179194.005	1206941.652	1235333.157	1264060.218	1293143.331	1321108.522	1349368.672	1377915.254	1406653.653	1435612.281	1463636.559	1491788.328	1520084.491	1548435.904	1576792.407	1605200.765	1633599.183	1661926.553	1690156.94	1718266.699	1746137.459	1773854.857	1801303.447	1828458.569	1855267.332	1881758.75	1907861.079	1933543.118	1958757.904	1983431.672	2007652.875	2031346.872	2054490.457	2077101.027	2099172.859	2120706.548	2141625.019	2161916.37	2181651.806	2200856.878	2219535.847	2237557.42	2255062.185	2271880.95	2288111.437	2303794.113	2318811.388	2333180.287	2346868.712	2359894.762	2372315.088	2384055.949	2395089.572	2405398.304	2414965.059	2423774.617	2431940.907	2439383.759	2446113.832	2452123.838	2457407.178	2461949.406	2465774.105	2468864.41	2471183.063	2472777.453	2473680.378	2473809.525	2473261.901	2472007.245	2470114.918	2467549.154	2464378.867	2460531.113	2456073.051	2450976.186	2445334.245	2439135.261	2432386.963
1833	Northern Africa and Western Asia	556935.895	564466.348	572015.113	579439.649	586770.389	593366.991	599880.414	606313.149	612667.301	618948.929	624743.475	630500.315	636223.377	641880.74	647478.993	653006.041	658445.867	663794.804	669039.119	674183.568	679188.915	684049.513	688723.089	693234.091	697573.285	701713.965	705617.146	709301.572	712763.608	715959.836	718942.161	721662.595	724125.707	726341.301	728323.598	730062.415	731560.977	732825.764	733872.398	734697.652	735315.439	735720.321	735933.295	735956.963	735815.886	735505.976	735038.353	734401.149	733606.361	732678.801	731603.981	730374.095	728993.576	727481.533	725817.743	723998.392	722030.346	719927.505	717693.313	715335.929	712846.129	710216.901	707449.119	704548.675	701508.571	698339.964	695032.154	691595.717	688023.199	684313.43	680472.366	676509.772	672418.222	668202.138	663871.05	659417.601	654855.719	650178.779	645396.877
1831	Central and Southern Asia	2090111.835	2108937.951	2127459.47	2145680.076	2163466.551	2178375.104	2192880.413	2206982.682	2220724.794	2234006.702	2245186.115	2255897.745	2266187.351	2276026.632	2285385.495	2294298.111	2302787.299	2310721.193	2318157.947	2325068.892	2331478.118	2337256.232	2342389.752	2346906.284	2350752.805	2353855.149	2356273.657	2357859.644	2358699.2	2358748.818	2358055.99	2356497.354	2354213.686	2351175.11	2347386.827	2342852.244	2337607.657	2331614.27	2324960.04	2317612.132	2309662.135	2301103.244	2291931.565	2282156.249	2271791.422	2260873.7	2249408.684	2237419.319	2224869.525	2211775.903	2198163.134	2184094.078	2169500.265	2154421.635	2138850.885	2122792.789	2106227.992	2089241.344	2071787.811	2053867.712	2035610.525	2016982.203	1997971.315	1978591.102	1958861.106	1938833.495	1918555.778	1898019.276	1877215.382	1856151.741	1834877.932	1813413.446	1791816.577	1770102.593	1748257.598	1726311.624	1704285.026	1682246.625	1660176.91
1832	Eastern and South-Eastern Asia	2342878.651	2344081.329	2344876.831	2345201.907	2345074.185	2342275.085	2339045.714	2335386.422	2331285.995	2326753.268	2320365.661	2313532.11	2306191.513	2298433.291	2290241.287	2281660.831	2272705.707	2263304.628	2253458.129	2243166.317	2232442.907	2221202.447	2209486.089	2197174.933	2184308.905	2170826.906	2156672.469	2141828.254	2126273.453	2109989.802	2093008.457	2075320.665	2056933.567	2037858.879	2018151.757	1997871.996	1977120.536	1955904.522	1934321.833	1912464.905	1890365.406	1868122.607	1845757.006	1823309.042	1800806.627	1778318.423	1755807.2	1733336.901	1710892.561	1688490.58	1666123.054	1643744.642	1621379.845	1598978.999	1576536.47	1554064.933	1531545.197	1509001.72	1486439.299	1463879.572	1441353.922	1418885.025	1396488.699	1374175.844	1351998.662	1329968.564	1308101.142	1286400.947	1264880.733	1243517.386	1222317.521	1201233.974	1180302.765	1159477.475	1138752.622	1118136.139	1097625.681	1077230.842	1056930.992
1830	Latin America and the Caribbean	661200.172	664924.343	668571.985	672122.848	675586.576	678135.505	680560.092	682849.039	685005.008	687008.966	688352.863	689554.109	690618.004	691528.337	692296.403	692903.398	693335.768	693595.077	693680.276	693569.367	693268.209	692767.976	692087.592	691219.849	690158.134	688902.894	687437.598	685762.56	683878.786	681787.036	679497.768	677009.705	674317.534	671422.587	668325.448	665042.55	661572.937	657910.324	654079.543	650073.727	645904.52	641571.781	637083.138	632441.446	627646.438	622714.226	617646.625	612452.852	607138.279	601706.519	596153.149	590483.975	584708.834	578829.042	572857.489	566790.285	560636.652	554398.197	548073.836	541672.847	535199.871	528667.353	522069.839	515414.69	508708.926	501955.878	495165.825	488338.283	481481.279	474600.058	467703.395	460795.806	453884.812	446971.663	440067.217	433176.742	426299.286	419448.426	412622.119
1835	Oceania (excluding Australia and New Zealand)	13766.738	13971.963	14176.228	14380.051	14583.074	14767.141	14950.094	15131.385	15311.074	15489.839	15655.192	15817.853	15978.093	16136.168	16291.959	16445.356	16596.204	16743.29	16887.714	17028.036	17163.808	17296.112	17421.541	17544.035	17661.708	17774.005	17880.664	17981.221	18076.1	18164.766	18247.62	18324.514	18394.846	18458.282	18515.545	18568.091	18614.288	18654.049	18688.197	18716.147	18738.793	18756.048	18769.723	18778.215	18781.336	18780.578	18775.088	18765.5	18752.216	18734.424	18711.626	18684.038	18651.878	18615.502	18573.761	18526.846	18476.06	18420.934	18361.881	18299.153	18231.693	18160.524	18085.2	18005.693	17922.042	17834.671	17742.904	17648.123	17550.353	17449.656	17346.562	17240.315	17131.135	17018.931	16904.647	16787.456	16668.541	16547.606	16424.543
1836	Australia/New Zealand	31459.563	31706.968	31951.682	32193.169	32430.629	32630.265	32824.951	33013.328	33195.908	33372.604	33520.297	33662.518	33799.937	33931.19	34057.332	34179.227	34295.646	34407.713	34515.254	34618.224	34717.991	34813.599	34904.874	34991.243	35072.581	35148.777	35218.73	35282.903	35340.859	35392.265	35438.147	35478.878	35512.999	35540.064	35560.751	35577.033	35586.005	35589.324	35586.859	35580.258	35567.921	35551.215	35529.87	35505.195	35476.266	35443.057	35407.711	35369.352	35326.484	35279.117	35227.545	35172.737	35113.826	35051.124	34983.417	34910.675	34833.471	34751.755	34666.131	34575.738	34480.51	34381.103	34278.994	34174.985	34066.677	33956.357	33843.476	33728.872	33613.882	33498.238	33382.405	33267.014	33151.103	33034.856	32919.52	32802.81	32685.081	32568.011	32450.062
1829	Europe and Northern America	1118694.472	1118432.515	1118287.278	1118016.338	1117624.891	1116095.634	1114472.998	1112757.138	1110944.602	1109041.213	1106369.139	1103603.585	1100711.514	1097710.595	1094602.214	1091389.648	1088054.583	1084613.413	1081042.416	1077369.658	1073587.72	1069678.863	1065646.775	1061464.034	1057137.634	1052668.556	1048022.59	1043220.924	1038232.239	1033059.923	1027717.739	1022201.511	1016536.267	1010703.957	1004736.952	998639.89	992424.395	986105.859	979704.909	973237.27	966718.084	960177.686	953612.673	947031.863	940441.765	933852.73	927284.441	920711.595	914143.43	907607.146	901077.282	894555.237	888031.094	881513.4	874994.968	868483.104	861970.71	855454.145	848932.523	842406.531	835873.081	829347.047	822819.224	816290.155	809768.168	803244.627	796727.818	790220.841	783709.602	777213.23	770722.063	764236.553	757753.925	751275.899	744809.114	738334.773	731865.58	725394.832	718936.016
901	More developed regions	1273623.203	1272792.964	1272073.914	1271214.838	1270230.131	1267974.009	1265613.765	1263148.2	1260573.493	1257896.893	1254358.15	1250716.082	1246939.39	1243040.177	1239022.947	1234893.923	1230635.955	1226268.839	1221770.561	1217169.836	1212459.839	1207619.673	1202659.598	1197550.085	1192299.094	1186907.234	1181338.086	1175614.527	1169701.711	1163601.742	1157327.269	1150869.938	1144248.001	1137441.754	1130485.197	1123381.167	1116139.757	1108775.659	1101311.058	1093764.841	1086151.805	1078504.625	1070820.552	1063115.271	1055395.858	1047675.299	1039982.723	1032289.514	1024610.391	1016973.283	1009356.371	1001762.993	994185.742	986631.999	979092.982	971577.33	964077.262	956585.481	949102.829	941627.84	934152.875	926692.936	919239.976	911791.742	904353.143	896918.23	889493.725	882080.533	874668.021	867272.779	859887.019	852510.076	845139.583	837777.714	830431.057	823080.738	815740.988	808404.742	801088.059
