country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	8008551.995	8082070.9	8155601.099	8228375.807	8300353.212	8371602.13	8442055.453	8511723.329	8580559.324	8648506.165	8715677.802	8781919.281	8847231.061	8911563.741	8974849.663	9037203.076	9098574.977	9158747.453	9217753.531	9275593.07	9332200.631	9387472.21	9441344.637	9493742.512	9544639.095	9593956.678	9641592.262	9687440.029	9731543.492	9773770.339	9814433.747	9853288.635	9890512.569	9926097.169	9960149.356	9992730.945	10023889.276	10053522.446	10081944.767	10109201.361	10135413.997	10160484.234	10184543.317	10207386.483	10229159.55	10250008.009	10269737.974	10288411.766	10305921.656	10322362.95	10337756.759	10352026.226	10365079.3	10376909.097	10387451.696	10396712.303	10404787.203	10411746.641	10417527.736	10422175.242	10425870.549	10428582.251	10430312.539	10431045.663	10430806.898	10429728.349	10427932.904	10425269.389	10421812.683	10417481.581	10412438.077	10406544.1	10400000.199	10392611.49	10384422.809	10375354.087	10365536.306	10355002.417	10343643.659
1834	Sub-Saharan Africa	1181320.533	1211231.015	1241836.909	1272831.609	1304242.263	1336071.987	1368288.178	1400893.494	1433797.604	1467031.931	1500572.844	1534373.987	1568459.334	1602743.701	1637182.738	1671833.033	1706648.017	1741585.388	1776640.237	1811809.177	1846991.144	1882289.915	1917605.816	1952930.778	1988227.012	2023537.817	2058802.364	2094000.931	2129095.983	2164018.218	2198865.503	2233559.861	2268074.79	2302425.486	2336601.465	2370598.799	2404325.011	2437758.518	2470966.663	2503971.912	2536769.976	2569200.407	2601412.72	2633203.975	2664679.742	2695878.927	2726663.04	2757046.871	2786988.323	2816503.987	2845657.673	2874362.144	2902581.314	2930297.008	2957485.751	2984129.495	3010364.466	3036093.731	3061326.922	3086053.511	3110258.479	3133919.759	3157060.88	3179645.364	3201617.389	3223027.017	3243907.477	3264130.862	3283811.538	3302894.731	3321456.213	3339425.58	3356881.237	3373703.483	3389966.451	3405608.359	3420740.941	3435330.1	3449364.792
1833	Northern Africa and Western Asia	557959.512	566519.803	575107.768	583580.858	591970.446	600282.784	608529.835	616716.835	624847.956	632931.299	641013.769	649092.272	657172.393	665222.454	673248.564	681237.951	689174.382	697055.178	704868.929	712624.09	720286.075	727854.189	735290.646	742625.488	749854.95	756956.907	763895.629	770694.725	777354.369	783832.334	790186.966	796369.007	802383.621	808241.638	813958.348	819520.496	824928.222	830184.677	835303.305	840276.009	845113.2	849801.878	854360.595	858785.868	863103.612	867304.005	871395.999	875361.913	879213.183	882976.728	886633.088	890169.91	893591.782	896920.995	900130.853	903215.341	906183.589	909052.065	911824.577	914513.083	917103.698	919586.624	921960.888	924234.771	926396.839	928460.855	930408.298	932252.914	933981.511	935590.814	937083.782	938473.198	939742.451	940895.079	941940.667	942860.768	943673.698	944360.675	944932.74
1831	Central and Southern Asia	2094253.855	2117235.031	2139934.208	2162356.172	2184365.963	2206086.226	2227422.008	2248378.024	2268996.929	2289177.154	2309018.597	2328406.256	2347385.142	2365923.463	2383988.292	2401612.6	2418820.947	2435484.048	2451665.204	2467348.345	2482585.861	2497279.966	2511440.737	2525117.213	2538278.392	2550877.169	2563005.099	2574528.449	2585555.073	2596052.358	2606087.755	2615533.093	2624545.055	2633084.273	2641144.355	2648710.51	2655804.537	2662351.483	2668430.982	2673976.536	2679075.909	2683687.544	2687785.324	2691351.078	2694382.57	2696911.522	2698928.839	2700458.535	2701440.806	2701884.747	2701826.588	2701356.21	2700376.232	2698941.477	2697048.07	2694699.673	2691870.541	2688684.692	2685078.787	2681044.988	2676767.636	2672193.378	2667290.107	2662061.005	2656513.209	2650714.05	2644725.035	2638504.196	2632016.881	2625247.823	2618245.55	2611007.075	2603613.754	2596055.306	2588269.492	2580300.824	2572138.092	2563871.091	2555447.85
1832	Eastern and South-Eastern Asia	2346777.82	2351825.43	2356417.945	2360495.134	2364077.301	2367157.316	2369745.692	2371850.245	2373466.469	2374610.082	2375282.114	2375477.154	2375145.861	2374386.535	2373189.016	2371604.585	2369653.287	2367269.42	2364457.567	2361218.801	2357565.84	2353409.866	2348788.185	2343577.603	2337816.315	2331441.883	2324398.687	2316675.361	2308261.33	2299151.647	2289395.73	2279000.358	2267981.747	2256361.298	2244207.973	2231589.808	2218621.788	2205296.326	2191720.965	2177994.532	2164127.826	2150217.06	2136264.175	2122292.704	2108327.731	2094431.566	2080534.433	2066710.643	2052932.843	2039212.376	2025536.612	2011833.977	1998141.778	1984383.411	1970545.339	1956647.427	1942661.588	1928612.557	1914491.829	1900335.508	1886168.438	1872000	1857863.173	1843758.119	1829750.753	1815849.463	1802077.49	1788438.377	1774952.063	1761584.301	1748374.712	1735241.953	1722251.994	1709331.363	1696481.394	1683700.904	1670986.583	1658337.444	1645694.949
1830	Latin America and the Caribbean	662490.196	667504.046	672441.678	677282.414	682035.554	686648.715	691133.982	695480.218	699689.418	703741.788	707641.127	711389.027	714990.391	718428.304	721714.037	724830.209	727766.432	730528.985	733121.96	735528.192	737757.737	739805.832	741696.624	743427.507	744996.046	746406.556	747644.957	748715.28	749622.15	750369.04	750969.098	751421.744	751720.943	751867.438	751861.311	751720.189	751440.412	751009.31	750454.152	749760.589	748937.827	747978.932	746886.993	745658.463	744287.253	742789.8	741162.87	739414.588	737548.321	735565.872	733456.898	731226.604	728888.55	726441.128	723903.267	721267.771	718546.258	715742.082	712850.656	709884.777	706847.555	703759.035	700607.735	697400.417	694146.985	690846.809	687513.005	684140.809	680734.098	677294.741	673831.539	670348.375	666846.122	663326.123	659801.218	656268.938	652722.794	649177.439	645621.968
1835	Oceania (excluding Australia and New Zealand)	13792.785	14024.328	14255.255	14486.129	14716.58	14945.349	15173.586	15400.795	15627.057	15853.075	16078.451	16301.951	16523.876	16744.506	16963.667	17181.347	17397.392	17610.711	17822.503	18031.562	18237.624	18441.874	18641.121	18839.409	19034.899	19227.281	19416.277	19601.491	19783.597	19961.906	20137.094	20309.019	20477.077	20640.796	20800.901	20959.049	21113.213	21263.203	21409.801	21552.165	21691.269	21826.789	21960.706	22090.997	22217.303	22341.313	22461.86	22579.622	22695.121	22807.174	22915.169	23019.246	23119.765	23217.022	23309.706	23397.96	23483.406	23565.332	23644.39	23720.934	23793.308	23862.912	23928.983	23991.585	24050.447	24106.23	24157.779	24206.805	24253.357	24297.357	24339.287	24377.856	24413.211	24444.961	24474.454	24500.092	24523.686	24544.459	24561.952
1836	Australia/New Zealand	31515.464	31818.958	32119.883	32417.614	32711.274	33000.679	33284.855	33562.391	33833.777	34098.94	34356.894	34609.132	34856.464	35097.662	35333.928	35566.24	35793.458	36016.796	36236.188	36451.695	36664.768	36874.522	37080.873	37283.279	37481.708	37676.17	37865.771	38051.273	38232.568	38409.675	38584.068	38756.5	38925.589	39091.025	39253.622	39415.603	39573.639	39729.389	39882.483	40034.616	40183.744	40331.027	40475.848	40619.392	40760.409	40898.397	41035.974	41171.865	41304.103	41432.544	41557.6	41680.484	41800.233	41917.145	42029.892	42138.338	42243.507	42345.208	42444.395	42539.844	42631.571	42720.378	42808.02	42895.586	42979.813	43063.569	43146.033	43228.081	43311.552	43395.92	43481.378	43569.198	43657.573	43746.689	43838.441	43929.401	44019.941	44112.582	44204.901
1829	Europe and Northern America	1120441.83	1121912.289	1123487.453	1124925.877	1126233.831	1127409.074	1128477.317	1129441.327	1130300.114	1131061.896	1131714.006	1132269.502	1132697.6	1133017.116	1133229.421	1133337.111	1133321.062	1133196.927	1132940.943	1132581.208	1132111.582	1131516.046	1130800.635	1129941.235	1128949.773	1127832.895	1126563.478	1125172.519	1123638.422	1121975.161	1120207.533	1118339.053	1116403.747	1114385.215	1112321.381	1110216.491	1108082.454	1105929.54	1103776.416	1101635.002	1099514.246	1097440.597	1095396.956	1093384.006	1091400.93	1089452.479	1087554.959	1085667.729	1083798.956	1081979.522	1080173.131	1078377.651	1076579.646	1074790.911	1072998.818	1071216.298	1069433.848	1067650.974	1065866.18	1064082.597	1062299.864	1060540.165	1058792.753	1057058.816	1055351.463	1053660.356	1051997.787	1050367.345	1048751.683	1047175.894	1045625.616	1044100.865	1042593.857	1041108.486	1039650.692	1038184.801	1036730.571	1035268.627	1033814.507
901	More developed regions	1275582.368	1276695.199	1277906.248	1278965.394	1279888.178	1280667.878	1281328.522	1281871.562	1282295.65	1282610.437	1282801.464	1282884.456	1282830.397	1282652.562	1282355.476	1281944.708	1281402.295	1280747.381	1279957.876	1279062.572	1278055.961	1276918.877	1275664.289	1274266.319	1272738.382	1271087.24	1269284.311	1267363.295	1265300.201	1263108.997	1260814.922	1258418.151	1255946.162	1253381.724	1250765.474	1248100.048	1245395.934	1242662	1239918.742	1237181.612	1234457.88	1231774.752	1229115.211	1226486.02	1223886.822	1221323.009	1218821.788	1216336.177	1213880.114	1211483.661	1209114.447	1206771.141	1204444.41	1202143.096	1199852.982	1197588.788	1195339.976	1193102.495	1190877.46	1188666.256	1186462.672	1184290.158	1182140.095	1180010.66	1177910.658	1175833.281	1173790.059	1171781.453	1169795.844	1167853.892	1165943.424	1164064.167	1162208.353	1160380.452	1158585.212	1156787.629	1155008.464	1153227.073	1151461.673
902	Less developed regions	6732969.627	6805375.701	6877694.851	6949410.413	7020465.034	7090934.252	7160726.931	7229851.767	7298263.674	7365895.728	7432876.338	7499034.825	7564400.664	7628911.179	7692494.187	7755258.368	7817172.682	7878000.072	7937795.655	7996530.498	8054144.67	8110553.333	8165680.348	8219476.193	8271900.713	8322869.438	8372307.951	8420076.734	8466243.291	8510661.342	8553618.825	8594870.484	8634566.407	8672715.445	8709383.882	8744630.897	8778493.342	8810860.446	8842026.025	8872019.749	8900956.117	8928709.482	8955428.106	8980900.463	9005272.728	9028685	9050916.186	9072075.589	9092041.542	9110879.289	9128642.312	9145255.085	9160634.89	9174766.001	9187598.714	9199123.515	9209447.227	9218644.146	9226650.276	9233508.986	9239407.877	9244292.093	9248172.444	9251035.003	9252896.24	9253895.068	9254142.845	9253487.936	9252016.839	9249627.689	9246494.653	9242479.933	9237791.846	9232231.038	9225837.597	9218566.458	9210527.842	9201775.344	9192181.986
