country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.053	1.053	1.053	1.053	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.056	1.056	1.056	1.056	1.057	1.057	1.058	1.058	1.058	1.059	1.06	1.061	1.063	1.064	1.066	1.068	1.068	1.069	1.071	1.072	1.073	1.073	1.074	1.074	1.074	1.075	1.074	1.074	1.074	1.074	1.074	1.073	1.073	1.073	1.073	1.072	1.071	1.071	1.069	1.069	1.067	1.067	1.066	1.063	1.062	1.059	1.058	1.057	1.056	1.055	1.054	1.053	1.052	1.052	1.051	1.05	1.05	1.049	1.049	1.049	1.049	1.048	1.048	1.048	1.048	1.048	1.047	1.047	1.047	1.047	1.047	1.047	1.047	1.047	1.047	1.047	1.047	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.046	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045
1834	Sub-Saharan Africa	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.035	1.036	1.036	1.036	1.036	1.037	1.037	1.037	1.037	1.037	1.037	1.036	1.036	1.036	1.036	1.036	1.036	1.036	1.037	1.037	1.037	1.037	1.037	1.037	1.037	1.038	1.037	1.037	1.038	1.037	1.037	1.037	1.037	1.036	1.036	1.036	1.036	1.035	1.035	1.035	1.035	1.034	1.034	1.034	1.034	1.034	1.034	1.033	1.033	1.033	1.033	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.034	1.033	1.034	1.033	1.034	1.034	1.033	1.033	1.033	1.033	1.033	1.033	1.033	1.034	1.033	1.033	1.033	1.034	1.034	1.033	1.033	1.033	1.033	1.033	1.034	1.033	1.033	1.033	1.033	1.033
1833	Northern Africa and Western Asia	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.053	1.053	1.053	1.053	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.053	1.053	1.053	1.053	1.053	1.053	1.052	1.051	1.052	1.053	1.054	1.054	1.055	1.056	1.056	1.056	1.056	1.056	1.056	1.057	1.057	1.057	1.056	1.055	1.054	1.054	1.054	1.054	1.054	1.055	1.055	1.055	1.054	1.054	1.053	1.053	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051	1.051
1831	Central and Southern Asia	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.053	1.053	1.053	1.053	1.053	1.053	1.054	1.054	1.054	1.054	1.055	1.055	1.056	1.057	1.058	1.059	1.06	1.061	1.061	1.061	1.062	1.062	1.061	1.061	1.062	1.061	1.062	1.064	1.064	1.064	1.065	1.068	1.069	1.073	1.076	1.079	1.08	1.081	1.082	1.083	1.084	1.083	1.081	1.082	1.083	1.083	1.081	1.081	1.081	1.081	1.081	1.08	1.079	1.078	1.078	1.077	1.076	1.075	1.073	1.072	1.07	1.068	1.067	1.066	1.064	1.063	1.062	1.06	1.059	1.058	1.057	1.057	1.056	1.056	1.055	1.055	1.054	1.054	1.054	1.054	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.052	1.053	1.052	1.053	1.053	1.052	1.052	1.053	1.053	1.052	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.052	1.052	1.053	1.052	1.052	1.053	1.052	1.052	1.053	1.053	1.053	1.053	1.053	1.052	1.052	1.052	1.052	1.052	1.053	1.053	1.053	1.053
1832	Eastern and South-Eastern Asia	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.061	1.062	1.062	1.062	1.062	1.062	1.062	1.062	1.063	1.063	1.063	1.063	1.063	1.064	1.064	1.064	1.065	1.066	1.066	1.067	1.068	1.07	1.071	1.073	1.075	1.079	1.083	1.087	1.091	1.096	1.101	1.103	1.106	1.109	1.112	1.115	1.116	1.118	1.12	1.122	1.124	1.124	1.125	1.126	1.127	1.128	1.128	1.128	1.128	1.128	1.126	1.125	1.124	1.121	1.119	1.114	1.113	1.11	1.104	1.101	1.096	1.092	1.089	1.087	1.084	1.081	1.079	1.077	1.074	1.072	1.071	1.069	1.068	1.067	1.067	1.066	1.066	1.065	1.065	1.064	1.064	1.064	1.064	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063	1.063
1830	Latin America and the Caribbean	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.043	1.042	1.043	1.043	1.044	1.044	1.043	1.043	1.043	1.043	1.044	1.044	1.044	1.044	1.044	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044	1.044
1835	Oceania (excluding Australia and New Zealand)	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.073	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.075	1.075	1.075	1.075	1.076	1.076	1.076	1.076	1.076	1.077	1.077	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.075	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.075	1.074	1.075	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.075	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074	1.074
1836	Australia/New Zealand	1.055	1.056	1.054	1.052	1.053	1.055	1.059	1.056	1.053	1.053	1.055	1.055	1.058	1.058	1.059	1.058	1.057	1.054	1.053	1.052	1.051	1.049	1.052	1.054	1.057	1.057	1.056	1.057	1.055	1.055	1.056	1.056	1.056	1.054	1.052	1.052	1.053	1.054	1.053	1.053	1.056	1.055	1.056	1.056	1.057	1.056	1.057	1.054	1.053	1.052	1.053	1.052	1.052	1.055	1.055	1.055	1.056	1.056	1.056	1.056	1.055	1.056	1.056	1.058	1.056	1.057	1.058	1.059	1.058	1.057	1.057	1.056	1.056	1.056	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.053
1829	Europe and Northern America	1.059	1.058	1.058	1.058	1.057	1.057	1.057	1.056	1.056	1.056	1.056	1.056	1.055	1.056	1.055	1.056	1.055	1.055	1.055	1.056	1.056	1.056	1.057	1.057	1.056	1.057	1.057	1.056	1.056	1.056	1.055	1.055	1.055	1.055	1.055	1.055	1.054	1.055	1.055	1.055	1.055	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.056	1.055	1.054	1.055	1.055	1.055	1.055	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.055	1.053	1.054	1.053	1.053	1.053	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055
901	More developed regions	1.059	1.057	1.057	1.057	1.057	1.057	1.057	1.056	1.056	1.056	1.056	1.056	1.056	1.057	1.056	1.056	1.057	1.055	1.057	1.057	1.058	1.057	1.057	1.057	1.057	1.058	1.057	1.057	1.056	1.056	1.056	1.055	1.055	1.055	1.055	1.055	1.054	1.055	1.055	1.055	1.055	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.056	1.056	1.054	1.055	1.055	1.055	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.055	1.053	1.054	1.053	1.053	1.053	1.053	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.055	1.055	1.055	1.055	1.055	1.054	1.054	1.054	1.055	1.054	1.054	1.054	1.054	1.054	1.054
