country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
900	World	4.859551	4.826933	5.014245	4.936585	5.00981	5.011502	4.939336	5.076429	4.934971	4.740727	4.695495	4.573545	5.030083	5.316895	5.133161	5.080546	4.963405	4.855685	4.96274	4.867361	4.827882	4.681745	4.546842	4.420555	4.264785	4.083541	3.97744	3.852282	3.790434	3.776306	3.74975	3.715702	3.71291	3.577799	3.551627	3.515103	3.504961	3.480232	3.390613	3.345624	3.307799	3.127217	3.041084	2.975779	2.92623	2.877871	2.832978	2.793813	2.757784	2.730212	2.734497	2.700158	2.67225	2.647133	2.636294	2.619231	2.611505	2.612322	2.613082	2.605034	2.586875	2.572949	2.590373	2.560442	2.552875	2.524027	2.525623	2.504226	2.443279	2.406161	2.348524	2.320769	2021
1834	Sub-Saharan Africa	6.49898	6.506572	6.506682	6.516846	6.522367	6.533024	6.547925	6.563669	6.574002	6.589372	6.601757	6.619273	6.637504	6.650495	6.662144	6.673735	6.687737	6.701566	6.715925	6.727801	6.738032	6.758645	6.773329	6.782338	6.790396	6.797922	6.796737	6.801869	6.804901	6.790919	6.76983	6.74621	6.717644	6.689307	6.648577	6.598875	6.549721	6.506108	6.447419	6.382707	6.30098	6.238603	6.174504	6.111308	6.045122	5.992825	5.92542	5.854982	5.797565	5.758777	5.71912	5.684019	5.644895	5.604304	5.567159	5.538703	5.506538	5.46766	5.435923	5.372181	5.306487	5.236392	5.158096	5.080024	5.006795	4.946801	4.883092	4.829426	4.777666	4.723379	4.655689	4.591139	2021
1833	Northern Africa and Western Asia	6.549573	6.559225	6.588709	6.598094	6.581758	6.541427	6.548854	6.483957	6.491919	6.527505	6.531002	6.557922	6.608199	6.58856	6.555336	6.50365	6.456557	6.397153	6.359001	6.318559	6.275939	6.225725	6.160326	6.091012	6.027402	5.959311	5.89047	5.803821	5.737366	5.684678	5.594745	5.50936	5.42566	5.335852	5.232048	5.119364	4.991287	4.859511	4.730022	4.589289	4.443204	4.32301	4.212591	4.090963	3.976603	3.840179	3.723026	3.615384	3.530555	3.444711	3.370086	3.326172	3.232297	3.181202	3.143842	3.1169	3.106384	3.100526	3.088842	3.083825	3.096916	3.104983	3.12143	3.13052	3.131568	3.111425	3.029429	2.98295	2.936528	2.886186	2.846308	2.812395	2021
1831	Central and Southern Asia	5.873354	5.908192	5.948782	5.986781	6.024884	6.036595	6.048753	6.063031	6.07112	6.07969	6.111111	6.12641	6.141179	6.145268	6.14497	6.108441	6.054342	6.010187	5.950707	5.888004	5.836864	5.783453	5.709978	5.640213	5.574707	5.470408	5.419193	5.320949	5.227369	5.163786	5.125702	5.05767	4.984521	4.920686	4.867221	4.781824	4.725973	4.626292	4.521949	4.425076	4.329487	4.223362	4.116191	4.015245	3.92592	3.829843	3.739029	3.658882	3.577152	3.504188	3.452271	3.390237	3.305289	3.215834	3.14052	3.05492	2.970882	2.906047	2.843501	2.797468	2.734601	2.677059	2.626289	2.582547	2.50923	2.48551	2.468749	2.407174	2.383877	2.32488	2.278728	2.252633	2021
1832	Eastern and South-Eastern Asia	5.564644	5.400386	5.895398	5.595824	5.750588	5.723011	5.452141	5.821045	5.371965	4.742187	4.570219	4.170038	5.550813	6.41695	5.889614	5.836341	5.57654	5.313399	5.711806	5.493423	5.426426	5.066106	4.799235	4.534805	4.144102	3.727361	3.477499	3.194999	3.09288	3.09555	3.070489	3.066077	3.14088	2.839703	2.832269	2.807174	2.830928	2.838824	2.677961	2.642493	2.624077	2.236433	2.108094	2.030417	1.973311	1.925135	1.881722	1.845889	1.815335	1.79699	1.846092	1.79438	1.785017	1.776289	1.792243	1.800866	1.818981	1.844169	1.869333	1.877848	1.860762	1.857665	1.945991	1.888379	1.91636	1.846366	1.897159	1.907181	1.741504	1.699958	1.568797	1.498027	2021
1830	Latin America and the Caribbean	5.797098	5.802859	5.807474	5.81612	5.827278	5.836731	5.84936	5.861198	5.865155	5.864762	5.864918	5.857703	5.844322	5.819253	5.759604	5.679322	5.589213	5.485618	5.375758	5.281484	5.185564	5.084873	4.983555	4.882748	4.763694	4.657608	4.561759	4.465735	4.371882	4.26585	4.160419	4.062963	3.969149	3.868984	3.773194	3.681432	3.589779	3.499051	3.40825	3.33146	3.252512	3.175492	3.099922	3.041733	2.977901	2.917302	2.84825	2.786726	2.727812	2.670684	2.608586	2.545788	2.485247	2.423786	2.387081	2.349842	2.307309	2.267782	2.234611	2.21373	2.191526	2.173064	2.141745	2.11595	2.098453	2.075535	2.025286	2.007302	1.981071	1.933728	1.894988	1.864112	2021
1835	Oceania (excluding Australia and New Zealand)	5.915798	5.954605	5.996585	6.038046	6.043852	6.085339	6.10659	6.144174	6.164407	6.175012	6.201359	6.219148	6.244082	6.229106	6.227437	6.198829	6.184756	6.142869	6.109082	6.078042	6.030367	5.968436	5.893828	5.821422	5.749759	5.692491	5.634934	5.565333	5.478138	5.392931	5.315794	5.249449	5.177029	5.129487	5.063338	5.003313	4.934249	4.868188	4.808336	4.738174	4.68691	4.630306	4.574057	4.519547	4.449145	4.38077	4.338959	4.284444	4.231063	4.186742	4.135167	4.090181	4.048492	4.006649	3.955367	3.909925	3.873091	3.824363	3.785045	3.731834	3.69069	3.638196	3.590191	3.539076	3.495617	3.439638	3.38591	3.32821	3.284247	3.233987	3.193399	3.143588	2021
1836	Australia/New Zealand	3.15263	3.158812	3.264473	3.274206	3.299424	3.384536	3.446813	3.530313	3.547754	3.57515	3.597148	3.682656	3.571268	3.471183	3.273294	3.080423	2.982445	2.941433	2.963807	2.952255	2.91415	2.98134	2.787676	2.540734	2.370996	2.19535	2.100719	2.051542	1.980805	1.949516	1.922974	1.951163	1.94084	1.92811	1.867645	1.920757	1.888494	1.881649	1.883101	1.891728	1.947991	1.899899	1.920416	1.896749	1.874339	1.856992	1.833704	1.815248	1.794042	1.802289	1.805496	1.784815	1.791729	1.795884	1.81813	1.865219	1.903183	2.019505	2.046169	1.99895	1.985697	1.949443	1.955409	1.903926	1.829786	1.83854	1.813685	1.793877	1.777289	1.699718	1.626187	1.625584	2021
1829	Europe and Northern America	2.745166	2.752546	2.770666	2.77274	2.793809	2.791348	2.801411	2.818589	2.798769	2.804604	2.788145	2.773582	2.728591	2.702803	2.662988	2.559922	2.487416	2.455149	2.400941	2.363102	2.333994	2.275915	2.162942	2.076713	2.051169	1.99317	1.955238	1.934921	1.906028	1.902888	1.894927	1.861328	1.86067	1.842629	1.835635	1.8306	1.831545	1.838504	1.841923	1.822859	1.811807	1.764325	1.715535	1.662754	1.632983	1.598225	1.590217	1.57766	1.573887	1.56805	1.590552	1.581884	1.589073	1.611354	1.629583	1.635557	1.669299	1.701164	1.729261	1.717872	1.704696	1.686058	1.694867	1.676512	1.68992	1.684703	1.676835	1.625557	1.588616	1.553114	1.528613	1.542035	2021
901	More developed regions	2.836975	2.801976	2.789577	2.762233	2.759374	2.746591	2.740446	2.738089	2.729172	2.727444	2.707296	2.689843	2.648045	2.625842	2.593132	2.510875	2.383089	2.425473	2.370459	2.337337	2.317127	2.272912	2.178465	2.107602	2.074262	2.00636	1.962008	1.936546	1.906711	1.897868	1.886787	1.850704	1.849518	1.834129	1.826047	1.819068	1.812222	1.81729	1.816321	1.790603	1.7763	1.732584	1.686911	1.636923	1.613924	1.578061	1.572509	1.559735	1.556557	1.549991	1.573833	1.563475	1.569632	1.587339	1.60413	1.609387	1.644873	1.67823	1.706695	1.696191	1.685823	1.668689	1.67842	1.662633	1.672198	1.669339	1.660422	1.607425	1.572156	1.534535	1.51134	1.52367	2021
