country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.2496	2.131	2.052	1.9931	1.9495	1.9157	1.8616	1.812	1.769	1.7334	1.6974	1.6632	1.6304	1.6006	1.575	1.5559
1834	Sub-Saharan Africa	4.3266	3.8444	3.4465	3.1197	2.8352	2.6017	2.3948	2.2091	2.0905	1.9879	1.8888	1.8158	1.7533	1.6943	1.6396	1.5936
1833	Northern Africa and Western Asia	2.6659	2.381	2.2259	2.094	1.9929	1.9011	1.8325	1.7761	1.7165	1.6546	1.6168	1.5762	1.5512	1.5242	1.4862	1.4748
1831	Central and Southern Asia	2.0629	1.8359	1.7174	1.6337	1.5767	1.5283	1.4886	1.4676	1.4372	1.4296	1.4045	1.3784	1.3598	1.3427	1.3257	1.3254
1832	Eastern and South-Eastern Asia	1.4303	1.3198	1.2952	1.2728	1.279	1.2958	1.3076	1.3022	1.3131	1.295	1.2953	1.2911	1.3173	1.3225	1.3167	1.3084
1830	Latin America and the Caribbean	1.8011	1.6168	1.5541	1.5116	1.4814	1.4598	1.4416	1.4302	1.4198	1.4064	1.3906	1.3806	1.3786	1.379	1.3794	1.3671
1835	Oceania (excluding Australia and New Zealand)	2.7742	2.2346	2.0733	1.9576	1.8662	1.7856	1.7161	1.6669	1.6252	1.6044	1.5662	1.5098	1.4952	1.4636	1.4306	1.3996
1836	Australia/New Zealand	1.5971	1.3916	1.3437	1.2927	1.274	1.2588	1.2328	1.2078	1.1898	1.1744	1.1646	1.1376	1.1544	1.1488	1.1504	1.1438
1829	Europe and Northern America	1.5376	1.4372	1.4294	1.4224	1.4158	1.4074	1.3976	1.386	1.3802	1.3758	1.3664	1.3568	1.362	1.3644	1.3662	1.368
901	More developed regions	1.5222	1.4296	1.4216	1.42	1.4174	1.407	1.4028	1.3902	1.3876	1.3838	1.379	1.3714	1.3742	1.3794	1.3784	1.3766
902	Less developed regions	2.3474	2.2131	2.1196	2.0466	1.9927	1.9555	1.8963	1.8389	1.793	1.756	1.7082	1.675	1.6358	1.6046	1.5782	1.5551
