country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.3874	2.4517	2.4548	2.4448	2.4452	2.4435	2.4164	2.3985	2.3705	2.3478	2.3362	2.3272	2.337	2.3416	2.3556	2.3686
1834	Sub-Saharan Africa	4.6155	4.4824	4.2465	4.0303	3.8278	3.6441	3.4709	3.3351	3.2288	3.1406	3.0714	3.0375	3.0216	2.9929	2.9804	2.9604
1833	Northern Africa and Western Asia	2.9005	2.8803	2.817	2.7393	2.6721	2.6382	2.6091	2.5767	2.5393	2.5044	2.4693	2.4615	2.4466	2.4384	2.4314	2.4096
1831	Central and Southern Asia	2.3513	2.4729	2.4765	2.4499	2.4356	2.4235	2.4132	2.4113	2.3978	2.3727	2.3437	2.3447	2.3548	2.379	2.3806	2.3808
1832	Eastern and South-Eastern Asia	1.6245	1.7551	1.813	1.8526	1.8968	1.9354	1.9476	1.9278	1.9168	1.9276	1.9352	1.965	1.9871	2.0048	2.014	2.0132
1830	Latin America and the Caribbean	1.9673	2.0055	2.0265	2.0356	2.0266	2.0364	2.0306	2.046	2.0556	2.048	2.0484	2.0558	2.0676	2.069	2.0972	2.1188
1835	Oceania (excluding Australia and New Zealand)	3.5851	3.649	3.5413	3.4493	3.3519	3.2882	3.2236	3.152	3.065	3.0054	2.951	2.901	2.8465	2.7846	2.7742	2.7251
1836	Australia/New Zealand	1.7938	1.8719	1.9396	1.9825	2.0141	2.0683	2.0842	2.0964	2.1108	2.1062	2.1158	2.1282	2.1559	2.1554	2.1647	2.173
1829	Europe and Northern America	1.6448	1.7207	1.7882	1.8224	1.8436	1.8734	1.9018	1.9158	1.9376	1.9568	1.9544	1.9608	1.9664	1.9876	2.016	2.0292
901	More developed regions	1.6236	1.6984	1.7654	1.8014	1.8208	1.849	1.8722	1.8912	1.9104	1.9266	1.9276	1.9362	1.9454	1.9648	1.9852	1.9972
902	Less developed regions	2.5016	2.5631	2.558	2.5379	2.5299	2.5205	2.4869	2.4645	2.4323	2.4099	2.3898	2.3808	2.392	2.3922	2.4056	2.4156
941	Least developed countries	3.9726	3.9178	3.7606	3.623	3.4834	3.3751	3.2721	3.1767	3.1124	3.0609	3.0226	3.0152	3.0118	2.9981	3.0244	3.0114
934	Less developed regions, excluding least developed countries	2.2034	2.2745	2.2864	2.2774	2.2827	2.3006	2.294	2.277	2.2624	2.2466	2.224	2.224	2.2242	2.2366	2.2454	2.2354
948	Less developed regions, excluding China	2.7724	2.7932	2.7544	2.7099	2.6651	2.633	2.5795	2.5525	2.519	2.4867	2.4575	2.4424	2.4429	2.4422	2.4568	2.4643
1636	Land-locked Developing Countries (LLDC)	3.9711	3.892	3.7089	3.5407	3.3853	3.2515	3.1442	3.0449	2.958	2.9076	2.8618	2.8372	2.8365	2.8125	2.8322	2.854
1637	Small Island Developing States (SIDS)	2.4329	2.45	2.4435	2.4214	2.4008	2.3909	2.3668	2.3554	2.3352	2.3208	2.3088	2.292	2.2854	2.27	2.2786	2.265
1503	High-income countries	1.6379	1.7121	1.7676	1.806	1.8254	1.8478	1.8698	1.892	1.907	1.918	1.9232	1.9324	1.9356	1.9496	1.965	1.9858
1517	Middle-income countries	2.2559	2.3211	2.3292	2.3224	2.3295	2.3396	2.3346	2.3247	2.2966	2.2804	2.248	2.2452	2.249	2.2526	2.251	2.2342
1502	Upper-middle-income countries	1.6427	1.7315	1.7844	1.8244	1.8714	1.9	1.908	1.8926	1.8988	1.9054	1.9232	1.9354	1.9534	1.9576	1.9672	1.9756
1501	Lower-middle-income countries	2.6643	2.7046	2.6733	2.6316	2.5976	2.5772	2.5459	2.5272	2.4933	2.4563	2.4145	2.3767	2.3765	2.3768	2.3664	2.3443
1500	Low-income countries	4.6144	4.4897	4.2339	4.013	3.8156	3.6433	3.5134	3.4075	3.3346	3.2762	3.2229	3.2145	3.1922	3.2132	3.2415	3.2278
1518	No income group available	2.5094	2.6414	2.6205	2.5785	2.5111	2.4991	2.4644	2.4578	2.4462	2.4257	2.412	2.4221	2.43	2.4517	2.4618	2.454
903	Africa	4.3371	4.2218	4.0137	3.8218	3.6474	3.4857	3.3386	3.2219	3.1236	3.0468	2.989	2.9528	2.935	2.9184	2.9033	2.8817
910	Eastern Africa	4.3082	4.1626	3.9303	3.7157	3.5222	3.3547	3.2055	3.0951	2.9884	2.9009	2.8255	2.744	2.7102	2.6613	2.6259	2.6268
108	Burundi	5.8408	5.553	5.3254	5.1135	4.8475	4.6458	4.492	4.3117	4.1713	4.0118	3.8716	3.771	3.6793	3.5744	3.5036	3.4445
174	Comoros	4.5293	4.3705	4.2524	4.1058	3.9997	3.8785	3.7551	3.6298	3.5232	3.4297	3.3646	3.2952	3.2521	3.2054	3.1578	3.1218
