country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	2.565763	2.563356	2.559089	2.554741	2.549236	2.695582	2.689575	2.683349	2.675936	2.667604	2.761691	2.752948	2.744848	2.736785	2.728233	2.722614	2.717384	2.709865	2.704174	2.699197	2.694286	2.688793	2.682964	2.676551	2.670061	2.663323	2.655083	2.645225	2.636305	2.624955	2.618104	2.606746	2.597204	2.586841	2.577426	2.567607	2.557805	2.545486	2.53756	2.530126	2.523972	2.515543	2.509073	2.499125	2.491822	2.486719	2.478941	2.472485	2.465062	2.459029	2.454405	2.448972	2.442677	2.436612	2.429882	2.423307	2.418264	2.414379	2.408836	2.403801	2.40075	2.396247	2.391609	2.385589	2.379312	2.374631	2.371728	2.365853	2.361085	2.355002	2.351909	2.346574	2.344651	2.340086	2.336437	2.331852	2.329107	2.326763	2.322841
1834	Sub-Saharan Africa	4.768887	4.701374	4.631923	4.563267	4.497117	4.582284	4.517767	4.455779	4.38782	4.325946	4.364683	4.302574	4.2455	4.184143	4.122095	4.067604	4.012485	3.957141	3.904456	3.854328	3.80007	3.75587	3.707819	3.661814	3.615925	3.575251	3.533259	3.492531	3.451657	3.409266	3.374547	3.337398	3.300956	3.267296	3.235109	3.204606	3.170913	3.138271	3.11069	3.086096	3.062986	3.033481	3.013075	2.984083	2.961947	2.943264	2.91951	2.897906	2.875869	2.855689	2.840095	2.821397	2.80238	2.783996	2.765503	2.747406	2.736089	2.721616	2.708393	2.695389	2.682777	2.669609	2.658295	2.645768	2.631668	2.620311	2.610958	2.596344	2.586984	2.575815	2.568194	2.557697	2.550793	2.539227	2.530986	2.520425	2.514173	2.506891	2.499248
1833	Northern Africa and Western Asia	3.032441	3.002587	2.973665	2.945225	2.921591	3.044725	3.019495	2.993842	2.967963	2.941716	3.023086	3.001065	2.981228	2.95687	2.936092	2.915501	2.894	2.874943	2.856723	2.842887	2.825458	2.810434	2.791031	2.779811	2.769944	2.758057	2.741523	2.730706	2.721195	2.704978	2.700029	2.686244	2.673403	2.662894	2.654448	2.643101	2.631343	2.619316	2.60912	2.597059	2.586039	2.572412	2.561409	2.549607	2.542334	2.533486	2.526012	2.515735	2.507493	2.503645	2.496811	2.487792	2.479751	2.475571	2.467057	2.457502	2.449955	2.444657	2.440009	2.437853	2.433351	2.427405	2.42103	2.416583	2.410599	2.407126	2.400479	2.396517	2.390709	2.385146	2.379536	2.377098	2.371812	2.367633	2.365486	2.359828	2.357922	2.352381	2.34935
1831	Central and Southern Asia	2.479	2.461543	2.441186	2.425632	2.404342	2.542015	2.525351	2.510674	2.499463	2.483961	2.57589	2.563172	2.554302	2.54497	2.535001	2.527706	2.522954	2.511839	2.505106	2.497375	2.493616	2.48479	2.476544	2.470565	2.462989	2.453507	2.448951	2.436431	2.430743	2.422524	2.417988	2.405862	2.403076	2.398474	2.393866	2.3881	2.384095	2.375849	2.372592	2.366169	2.364827	2.361352	2.357124	2.351407	2.345647	2.342238	2.338045	2.335572	2.328947	2.321317	2.316628	2.316914	2.310384	2.306084	2.301824	2.295686	2.287959	2.287429	2.28249	2.275875	2.279693	2.279719	2.276794	2.272642	2.267856	2.267147	2.270447	2.26961	2.26678	2.262286	2.25994	2.256168	2.25819	2.258257	2.253254	2.252596	2.249028	2.250747	2.249279
1832	Eastern and South-Eastern Asia	1.754183	1.762671	1.772737	1.77921	1.786843	1.944625	1.951831	1.958432	1.9625	1.9666	2.06977	2.070685	2.066852	2.068968	2.069107	2.072694	2.078259	2.080123	2.083976	2.088919	2.097186	2.101618	2.110976	2.113736	2.120818	2.1267	2.129038	2.131079	2.13206	2.131856	2.133966	2.134661	2.131056	2.125425	2.121524	2.116882	2.116106	2.109481	2.107477	2.109779	2.108281	2.108998	2.107821	2.105578	2.105664	2.107824	2.104045	2.106121	2.1079	2.111353	2.11626	2.116266	2.121882	2.122295	2.122116	2.125648	2.127442	2.130374	2.129858	2.133243	2.134325	2.131316	2.131977	2.128479	2.127689	2.125049	2.123113	2.11999	2.117956	2.112684	2.115692	2.110498	2.113598	2.110747	2.111077	2.110968	2.112458	2.113755	2.108722
1830	Latin America and the Caribbean	2.097737	2.088721	2.080519	2.074026	2.071257	2.211922	2.20671	2.202216	2.199379	2.192972	2.28778	2.282568	2.279233	2.273606	2.271222	2.266046	2.259807	2.255252	2.25171	2.24471	2.240121	2.234952	2.234602	2.234094	2.232364	2.231736	2.22772	2.224474	2.221882	2.219892	2.21979	2.219461	2.217134	2.214506	2.211731	2.212247	2.211487	2.207035	2.208645	2.206525	2.206088	2.204168	2.202712	2.199936	2.195855	2.195618	2.193935	2.193906	2.193953	2.194232	2.190752	2.18764	2.187229	2.184782	2.186344	2.185005	2.184673	2.185044	2.182307	2.181568	2.179633	2.1826	2.181576	2.180267	2.181343	2.180397	2.18201	2.181846	2.180621	2.178661	2.178971	2.179822	2.178144	2.17805	2.180825	2.180592	2.179301	2.180286	2.178439
1835	Oceania (excluding Australia and New Zealand)	3.350621	3.295726	3.257035	3.225348	3.192715	3.300717	3.272106	3.241318	3.211799	3.189836	3.26484	3.231548	3.20175	3.17685	3.151732	3.128379	3.104625	3.075575	3.056668	3.031126	3.005243	2.989718	2.952141	2.946008	2.928567	2.909311	2.890288	2.869452	2.853157	2.833664	2.820017	2.80599	2.788147	2.767295	2.752703	2.748465	2.731632	2.713392	2.700927	2.683806	2.672674	2.659189	2.658764	2.645593	2.630497	2.62657	2.615014	2.609119	2.606922	2.596714	2.583947	2.572291	2.562837	2.55517	2.540438	2.526206	2.522411	2.513917	2.509369	2.508061	2.495424	2.491697	2.483367	2.475372	2.465716	2.461478	2.448771	2.445964	2.444466	2.441501	2.442352	2.434237	2.426731	2.417595	2.415404	2.403982	2.402505	2.398365	2.389154
1836	Australia/New Zealand	1.87647	1.876687	1.877614	1.880073	1.882612	2.036441	2.038909	2.036833	2.040307	2.041953	2.140367	2.143624	2.148325	2.146916	2.148371	2.153005	2.150251	2.151103	2.152695	2.151841	2.15714	2.159506	2.161119	2.16059	2.161146	2.161505	2.159078	2.159176	2.158913	2.157462	2.161653	2.169011	2.167461	2.165966	2.166307	2.174059	2.169346	2.168992	2.167088	2.172141	2.171067	2.171797	2.171421	2.173479	2.174832	2.169771	2.178128	2.181535	2.178209	2.173418	2.172325	2.176028	2.178517	2.180143	2.180077	2.177033	2.181155	2.181859	2.187746	2.185831	2.18421	2.184466	2.187376	2.193844	2.186052	2.186556	2.182906	2.180354	2.18396	2.184986	2.18266	2.189781	2.186464	2.184357	2.191684	2.185317	2.180888	2.188221	2.185631
1829	Europe and Northern America	1.794581	1.804624	1.8112	1.817976	1.825468	1.982108	1.990806	1.996318	2.00187	2.008755	2.114425	2.120698	2.121741	2.125087	2.126933	2.129444	2.12831	2.129244	2.126921	2.129517	2.131409	2.132181	2.133854	2.133901	2.136439	2.140297	2.140276	2.144543	2.145655	2.146732	2.150723	2.1519	2.15704	2.156608	2.159158	2.159047	2.159863	2.158612	2.158918	2.160308	2.161556	2.165451	2.16536	2.16538	2.165233	2.166371	2.169463	2.166621	2.166476	2.171658	2.171881	2.171945	2.170968	2.172676	2.171478	2.173622	2.1738	2.17503	2.174891	2.175001	2.175351	2.178629	2.179553	2.179536	2.181161	2.180729	2.181885	2.182717	2.181588	2.183512	2.183488	2.183758	2.182747	2.183776	2.185891	2.181746	2.18269	2.179705	2.179655
901	More developed regions	1.776494	1.786534	1.793767	1.800387	1.808515	1.965703	1.974329	1.980027	1.985795	1.992716	2.09841	2.104923	2.10681	2.110171	2.112191	2.115207	2.114771	2.116472	2.115033	2.117912	2.120017	2.120617	2.122599	2.12275	2.125344	2.128991	2.12897	2.133089	2.134307	2.135489	2.139701	2.141007	2.145128	2.144586	2.14728	2.147428	2.148273	2.146917	2.147307	2.149258	2.150656	2.154038	2.154023	2.154169	2.154583	2.155536	2.159503	2.156952	2.157233	2.161797	2.162268	2.162266	2.162172	2.163726	2.162676	2.1648	2.165008	2.16611	2.166335	2.166774	2.166763	2.169797	2.170999	2.171178	2.172239	2.171757	2.172935	2.173408	2.172988	2.174539	2.174437	2.175015	2.174246	2.175423	2.177326	2.173814	2.174836	2.172195	2.172271
