country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.4728	2.6354	2.7211	2.7228	2.6938	2.6619	2.6165	2.5669	2.5231	2.4857	2.454	2.4244	2.4002	2.3754	2.3518	2.3328
1834	Sub-Saharan Africa	4.6701	4.5222	4.3237	4.066	3.8023	3.574	3.3733	3.202	3.0604	2.9406	2.8385	2.7505	2.6826	2.6207	2.5677	2.5222
1833	Northern Africa and Western Asia	2.9349	2.9856	2.9833	2.9149	2.8248	2.7557	2.6969	2.642	2.5849	2.5333	2.495	2.4588	2.4318	2.4062	2.3808	2.3606
1831	Central and Southern Asia	2.3838	2.4823	2.5358	2.5283	2.4914	2.4543	2.4159	2.388	2.3644	2.3425	2.3188	2.2957	2.2789	2.2695	2.2607	2.2528
1832	Eastern and South-Eastern Asia	1.6718	1.8846	2.0275	2.0738	2.0966	2.1243	2.1327	2.1179	2.1085	2.1058	2.1147	2.1256	2.1321	2.1249	2.1141	2.1118
1830	Latin America and the Caribbean	2.0062	2.154	2.2488	2.2651	2.2412	2.2301	2.2196	2.2114	2.2056	2.1958	2.1907	2.1852	2.1815	2.1812	2.1792	2.1798
1835	Oceania (excluding Australia and New Zealand)	3.2491	3.2469	3.22	3.1266	3.0062	2.9082	2.8198	2.7424	2.6748	2.6252	2.5843	2.5314	2.4975	2.4593	2.4378	2.4075
1836	Australia/New Zealand	1.7781	1.976	2.1036	2.1499	2.1565	2.1603	2.1629	2.1689	2.1707	2.1756	2.1757	2.1801	2.1859	2.1859	2.1856	2.1861
1829	Europe and Northern America	1.6964	1.9228	2.0737	2.1278	2.1308	2.1391	2.1504	2.1587	2.1623	2.1666	2.1706	2.1733	2.1767	2.1812	2.183	2.1828
901	More developed regions	1.6785	1.906	2.0579	2.1138	2.1192	2.1278	2.1391	2.1469	2.1511	2.1562	2.1612	2.1645	2.1681	2.1723	2.1742	2.1747
902	Less developed regions	2.5857	2.7324	2.8044	2.794	2.7569	2.7196	2.668	2.6113	2.5612	2.5178	2.481	2.4478	2.4216	2.3949	2.369	2.3476
941	Least developed countries	4.0641	4.0088	3.9046	3.7389	3.5563	3.3965	3.2442	3.1041	2.98	2.8782	2.7881	2.7096	2.6487	2.5912	2.5416	2.4996
934	Less developed regions, excluding least developed countries	2.271	2.4297	2.5161	2.5177	2.4964	2.4804	2.4519	2.4157	2.384	2.3556	2.3354	2.3191	2.3071	2.2931	2.2766	2.2634
948	Less developed regions, excluding China	2.8555	2.9529	2.9917	2.9558	2.8843	2.8153	2.7452	2.683	2.6279	2.5765	2.5296	2.4863	2.4534	2.4247	2.3988	2.3758
1636	Land-locked Developing Countries (LLDC)	4.0454	3.9409	3.811	3.6387	3.458	3.2974	3.1481	3.0137	2.8958	2.7996	2.7151	2.6457	2.5908	2.5391	2.4951	2.4576
1637	Small Island Developing States (SIDS)	2.4149	2.5384	2.6123	2.6054	2.5575	2.5188	2.4822	2.453	2.4197	2.3936	2.373	2.348	2.3303	2.3115	2.3017	2.2859
1503	High-income countries	1.7125	1.9228	2.0636	2.115	2.1249	2.1332	2.1353	2.1404	2.1465	2.1519	2.1561	2.1578	2.1594	2.1615	2.1628	2.1644
1517	Middle-income countries	2.3248	2.4794	2.5621	2.5657	2.5462	2.5294	2.4992	2.46	2.425	2.3951	2.3734	2.3548	2.3405	2.3239	2.3054	2.2901
1502	Upper-middle-income countries	1.6912	1.8861	2.0245	2.0814	2.1114	2.1361	2.1405	2.1297	2.123	2.1217	2.1307	2.139	2.1435	2.1398	2.1317	2.1307
1501	Lower-middle-income countries	2.7205	2.8104	2.847	2.8175	2.7544	2.6932	2.635	2.5857	2.5426	2.5002	2.4627	2.4278	2.4022	2.3812	2.3619	2.3436
1500	Low-income countries	4.6915	4.515	4.3051	4.0511	3.7967	3.5795	3.3806	3.2072	3.0604	2.9411	2.8353	2.7446	2.6747	2.611	2.5567	2.5114
1518	No income group available	2.3444	2.4501	2.4925	2.4712	2.4206	2.3885	2.3509	2.3253	2.2993	2.2817	2.2672	2.254	2.2414	2.2384	2.2353	2.2249
903	Africa	4.3942	4.29	4.1291	3.9084	3.6752	3.473	3.2941	3.1397	3.01	2.8994	2.8052	2.723	2.6598	2.6018	2.5517	2.5092
910	Eastern Africa	4.3106	4.1318	3.9392	3.7116	3.4872	3.3037	3.1484	3.0134	2.8926	2.7942	2.7102	2.6386	2.5861	2.5379	2.4952	2.4569
108	Burundi	5.1268	4.8215	4.4869	4.1518	3.8266	3.5712	3.3515	3.1722	3.0253	2.9285	2.8161	2.7301	2.666	2.5978	2.5477	2.5165
174	Comoros	4.0655	3.9561	3.8304	3.661	3.4792	3.3246	3.1909	3.082	2.9682	2.8648	2.7818	2.7083	2.645	2.5884	2.5386	2.4881
262	Djibouti	2.9105	2.904	2.8762	2.7887	2.685	2.6048	2.5422	2.4917	2.4499	2.4035	2.3715	2.3465	2.3224	2.3088	2.3009	2.2903
232	Eritrea	3.9358	3.7685	3.6023	3.4145	3.2337	3.066	2.9353	2.8254	2.7301	2.6546	2.5941	2.5481	2.4987	2.4608	2.4241	2.3958
231	Ethiopia	4.2123	3.9956	3.7826	3.5544	3.3571	3.1803	3.0352	2.8959	2.7792	2.6855	2.61	2.5429	2.4921	2.4501	2.4211	2.3872
404	Kenya	3.4419	3.4002	3.3304	3.1968	3.0469	2.9232	2.7995	2.7053	2.6121	2.5475	2.4959	2.4481	2.4171	2.3884	2.3569	2.3387
450	Madagascar	3.943	3.8459	3.7346	3.5648	3.3924	3.257	3.1394	3.0299	2.932	2.8334	2.7632	2.6856	2.6157	2.5661	2.5203	2.4905
454	Malawi	4.0027	3.8597	3.704	3.5223	3.3193	3.1595	3.0185	2.9095	2.8043	2.724	2.6578	2.5867	2.5444	2.4948	2.4592	2.4286
480	Mauritius	1.5486	1.7421	1.8751	1.9306	1.947	1.9617	1.9793	1.9918	2.004	2.0134	2.0269	2.0384	2.0444	2.053	2.0631	2.0638
175	Mayotte	4.5262	4.3991	4.2675	4.0857	3.8835	3.7144	3.5638	3.4181	3.2934	3.1884	3.0836	2.9914	2.904	2.8211	2.7437	2.662
508	Mozambique	4.7087	4.4922	4.2277	3.9283	3.6342	3.3953	3.208	3.0549	2.9195	2.8138	2.7258	2.6578	2.6048	2.5484	2.5018	2.4679
638	Réunion	2.3795	2.4628	2.5114	2.488	2.442	2.4116	2.3778	2.3592	2.337	2.3218	2.3	2.2864	2.2763	2.2616	2.2425	2.2439
646	Rwanda	3.9034	3.8084	3.6834	3.5201	3.3294	3.1821	3.0445	2.9226	2.8102	2.7156	2.6435	2.5796	2.5201	2.4759	2.4388	2.3961
690	Seychelles	2.4691	2.531	2.5494	2.5258	2.4831	2.4496	2.4176	2.3922	2.3585	2.3418	2.3255	2.3123	2.2953	2.2839	2.2731	2.2626
706	Somalia	6.3493	5.9838	5.5574	5.0743	4.6069	4.2091	3.868	3.5844	3.3477	3.1593	3.0106	2.8884	2.7901	2.7159	2.6483	2.583
728	South Sudan	4.4975	4.2118	3.9586	3.6701	3.4276	3.2315	3.0667	2.9269	2.827	2.7397	2.6496	2.5843	2.5423	2.4988	2.4578	2.4297
800	Uganda	4.6159	4.2694	3.9366	3.6435	3.369	3.1742	3.0053	2.8778	2.7669	2.6688	2.5842	2.5307	2.4929	2.4521	2.4157	2.3819
834	United Republic of Tanzania	4.8051	4.6266	4.4307	4.1657	3.8817	3.6451	3.4636	3.3043	3.1628	3.0427	2.9271	2.8275	2.7641	2.7017	2.6442	2.586
894	Zambia	4.3926	4.2501	4.07	3.8508	3.6275	3.4634	3.3103	3.1846	3.0635	2.9706	2.8777	2.7944	2.7282	2.6684	2.5994	2.5528
716	Zimbabwe	3.59	3.5414	3.472	3.3444	3.1959	3.0637	2.944	2.8394	2.74	2.6594	2.6079	2.5512	2.5019	2.467	2.4315	2.4
911	Middle Africa	5.7004	5.5462	5.2786	4.9078	4.5168	4.174	3.8587	3.5984	3.3866	3.2169	3.0656	2.9339	2.8347	2.7481	2.6711	2.6097
24	Angola	5.3588	5.1241	4.8284	4.4725	4.1201	3.8171	3.5792	3.3776	3.197	3.0533	2.9379	2.8297	2.7578	2.6951	2.639	2.5873
120	Cameroon	4.5343	4.3754	4.2011	3.9873	3.7701	3.5948	3.4243	3.2813	3.1653	3.057	2.9598	2.8759	2.7967	2.7336	2.6661	2.6084
140	Central African Republic	6.0415	5.8052	5.3748	4.8455	4.3308	3.8936	3.5503	3.2776	3.0607	2.9019	2.7759	2.6827	2.6079	2.5641	2.5144	2.4734
148	Chad	6.3438	6.0743	5.72	5.3126	4.875	4.4719	4.1336	3.827	3.5687	3.3718	3.1916	3.048	2.9327	2.8235	2.7258	2.6494
178	Congo	4.2495	4.1448	4.0182	3.8344	3.6548	3.4988	3.3583	3.2438	3.1252	3.0266	2.9423	2.8549	2.7722	2.7142	2.6632	2.6165
180	Democratic Republic of the Congo	6.2535	6.1295	5.838	5.3962	4.922	4.5047	4.1024	3.7797	3.5277	3.3282	3.1473	2.9913	2.8769	2.7757	2.6889	2.6226
226	Equatorial Guinea	4.3177	4.0345	3.7757	3.4972	3.2424	3.0469	2.8902	2.774	2.6935	2.607	2.5371	2.4879	2.4539	2.4217	2.3984	2.3763
266	Gabon	3.5945	3.5303	3.4466	3.3079	3.1708	3.044	2.929	2.8428	2.7561	2.6766	2.612	2.548	2.4997	2.4672	2.4376	2.4119
678	Sao Tome and Principe	3.9037	3.7953	3.6731	3.514	3.3395	3.195	3.0876	2.9663	2.8629	2.7819	2.7086	2.642	2.5873	2.5296	2.4939	2.4654
912	Northern Africa	3.1822	3.1885	3.1486	3.059	2.9461	2.8662	2.7982	2.7317	2.6668	2.609	2.5643	2.5208	2.4888	2.458	2.4282	2.4075
12	Algeria	2.9782	2.9053	2.8346	2.729	2.6199	2.5487	2.4901	2.453	2.4149	2.388	2.3621	2.3458	2.3215	2.3026	2.2925	2.2862
818	Egypt	3.0341	3.0758	3.0597	2.9813	2.8818	2.7968	2.7148	2.6411	2.5825	2.5262	2.4887	2.4453	2.4169	2.3939	2.3654	2.354
434	Libya	2.5571	2.5389	2.5141	2.4623	2.4077	2.3691	2.3377	2.3135	2.2945	2.2752	2.2732	2.2591	2.2467	2.2338	2.2292	2.2214
504	Morocco	2.4504	2.5089	2.5341	2.5076	2.4548	2.406	2.3813	2.354	2.3262	2.3032	2.2833	2.2691	2.2575	2.2484	2.2498	2.2471
729	Sudan	4.5417	4.3905	4.2099	3.9785	3.735	3.5528	3.395	3.2479	3.125	3.0331	2.9412	2.8434	2.7705	2.7048	2.6512	2.603
788	Tunisia	2.2166	2.3268	2.3842	2.3775	2.3489	2.3248	2.3052	2.2942	2.2768	2.2619	2.2497	2.2431	2.233	2.2275	2.2265	2.2193
732	Western Sahara	2.4295	2.4988	2.5307	2.4935	2.4313	2.3838	2.3585	2.3301	2.3012	2.2858	2.2716	2.2549	2.2517	2.2383	2.237	2.2271
913	Southern Africa	2.5732	2.6349	2.6582	2.6215	2.5552	2.5013	2.4544	2.4111	2.3739	2.3466	2.3291	2.3076	2.2883	2.2758	2.258	2.2446
72	Botswana	2.9066	2.9137	2.8803	2.7986	2.7005	2.6216	2.55	2.4981	2.4412	2.4104	2.3868	2.3611	2.3354	2.3176	2.3051	2.2897
748	Eswatini	2.9452	2.9547	2.9184	2.8244	2.7159	2.6385	2.5673	2.5096	2.4537	2.4118	2.3733	2.351	2.3351	2.3158	2.298	2.2759
426	Lesotho	3.1294	3.1291	3.0953	3.0123	2.9019	2.8017	2.7161	2.6534	2.5955	2.5451	2.4939	2.4522	2.419	2.3925	2.3642	2.343
516	Namibia	3.406	3.3844	3.3244	3.2237	3.0912	2.9744	2.8782	2.7908	2.7051	2.6358	2.5877	2.5333	2.4857	2.448	2.4095	2.3761
710	South Africa	2.4961	2.5646	2.5938	2.5627	2.5036	2.4556	2.4138	2.3735	2.3404	2.3165	2.303	2.2844	2.2674	2.257	2.2404	2.2288
914	Western Africa	5.0452	4.8556	4.5983	4.2849	3.9791	3.7094	3.4791	3.2867	3.1388	3.0062	2.8979	2.8066	2.7328	2.6644	2.6102	2.5621
204	Benin	5.0449	4.8809	4.6779	4.4103	4.1672	3.9508	3.7619	3.586	3.4437	3.3112	3.1831	3.0755	2.9788	2.8936	2.8154	2.7407
854	Burkina Faso	4.8178	4.547	4.2646	3.9413	3.648	3.4214	3.2437	3.0796	2.9599	2.8565	2.7605	2.6765	2.6165	2.5598	2.5185	2.4891
132	Cabo Verde	2.0293	2.1625	2.252	2.2663	2.2495	2.2355	2.2222	2.2153	2.2028	2.1905	2.1874	2.1893	2.1791	2.1717	2.1753	2.1729
384	Côte d'Ivoire	4.4995	4.3888	4.2537	4.0529	3.8535	3.6863	3.5473	3.4175	3.2834	3.1638	3.061	2.9635	2.8796	2.7975	2.7362	2.6868
270	Gambia	4.7406	4.4584	4.1291	3.7938	3.4705	3.2312	3.059	2.9163	2.8007	2.7068	2.6247	2.5633	2.5121	2.4673	2.4351	2.4059
288	Ghana	3.6596	3.608	3.5166	3.3973	3.2539	3.1206	3.0166	2.9166	2.8354	2.7488	2.6824	2.6215	2.5657	2.5154	2.4771	2.4479
324	Guinea	4.4563	4.2397	4.015	3.7569	3.5323	3.3388	3.1768	3.0387	2.9185	2.8237	2.7467	2.6733	2.6115	2.5528	2.5175	2.4751
624	Guinea-Bissau	4.0764	3.9189	3.7466	3.544	3.3475	3.1888	3.0508	2.9331	2.8276	2.7524	2.6831	2.6177	2.5675	2.5216	2.4892	2.4529
430	Liberia	4.1708	4.0119	3.8238	3.6312	3.4288	3.2581	3.1257	3.0087	2.8991	2.8184	2.7461	2.6747	2.6232	2.5649	2.5189	2.484
466	Mali	6.0208	5.7686	5.4119	4.9856	4.5504	4.1615	3.8177	3.5467	3.3356	3.1453	2.9928	2.8788	2.7899	2.7023	2.6329	2.5706
478	Mauritania	4.4819	4.3228	4.1299	3.9073	3.6639	3.4647	3.3147	3.1761	3.0502	2.9374	2.8485	2.7748	2.7081	2.6428	2.5821	2.535
562	Niger	6.8949	6.6819	6.3345	5.9024	5.4278	4.9916	4.5753	4.1987	3.8799	3.6289	3.4024	3.2224	3.0815	2.964	2.8569	2.7648
