country_code	country	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	2042	2043	2044	2045	2046	2047	2048	2049	2050	2051	2052	2053	2054	2055	2056	2057	2058	2059	2060	2061	2062	2063	2064	2065	2066	2067	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100
900	World	2.062684	2.060248	2.055881	2.051439	2.045865	1.890373	1.884514	1.878491	1.871312	1.863248	1.756887	1.748388	1.740359	1.732284	1.723879	1.718646	1.714073	1.707539	1.703201	1.700101	1.69748	1.69475	1.692061	1.689179	1.686555	1.683833	1.679601	1.673615	1.668402	1.660454	1.656808	1.648283	1.641356	1.633466	1.626229	1.618227	1.609549	1.598258	1.590797	1.583203	1.576612	1.567203	1.560086	1.549057	1.540757	1.534783	1.526016	1.518329	1.509829	1.502968	1.497903	1.49178	1.484752	1.478245	1.47114	1.464058	1.459303	1.455347	1.450165	1.445357	1.442547	1.438237	1.43397	1.428315	1.422169	1.417813	1.414983	1.408655	1.403967	1.397652	1.394179	1.388534	1.386046	1.380356	1.376027	1.370282	1.366754	1.363301	1.358617
1834	Sub-Saharan Africa	4.269751	4.202381	4.133057	4.064505	3.998434	3.784494	3.720022	3.658039	3.590059	3.52815	3.367414	3.305283	3.248209	3.186879	3.124893	3.070511	3.015565	2.960461	2.908092	2.858352	2.804542	2.760826	2.713284	2.667814	2.622479	2.582391	2.54101	2.500829	2.460531	2.418689	2.384556	2.347954	2.312001	2.278832	2.247085	2.216892	2.183462	2.151069	2.123961	2.099606	2.076725	2.047481	2.027447	1.998633	1.97662	1.958187	1.934322	1.912559	1.890395	1.870169	1.854792	1.83601	1.816968	1.798358	1.779652	1.761226	1.750009	1.735377	1.722104	1.708888	1.696319	1.682859	1.67129	1.65885	1.644543	1.633081	1.623584	1.608697	1.59938	1.587974	1.580293	1.569803	1.562983	1.551051	1.542606	1.531812	1.525469	1.517933	1.510149
1833	Northern Africa and Western Asia	2.530316	2.50054	2.47169	2.443331	2.419807	2.242155	2.217207	2.191824	2.16615	2.140006	2.020995	1.998852	1.978841	1.954352	1.933579	1.913183	1.89207	1.873578	1.856086	1.843121	1.826663	1.812688	1.794378	1.784358	1.775716	1.764982	1.74952	1.739641	1.731008	1.715468	1.711211	1.697777	1.685359	1.67535	1.66731	1.65615	1.644702	1.633075	1.623427	1.611634	1.601019	1.587899	1.577466	1.566319	1.559298	1.550627	1.543257	1.532606	1.523981	1.520214	1.512981	1.503424	1.494693	1.490295	1.481311	1.471299	1.463358	1.45802	1.453583	1.451576	1.447543	1.441832	1.435806	1.431529	1.425778	1.422749	1.416517	1.412783	1.406947	1.401109	1.395301	1.392752	1.387269	1.382692	1.38034	1.374439	1.371908	1.365844	1.362357
1831	Central and Southern Asia	1.97821	1.960835	1.9406	1.925189	1.904045	1.741749	1.725264	1.710669	1.699431	1.683788	1.575575	1.562532	1.553322	1.543666	1.533408	1.525897	1.521031	1.510025	1.503791	1.496967	1.494385	1.486883	1.480128	1.475775	1.470011	1.4621	1.459029	1.447826	1.443496	1.436484	1.432862	1.421392	1.419119	1.414693	1.410037	1.404063	1.399717	1.39099	1.387019	1.379643	1.377001	1.372901	1.367505	1.36094	1.354258	1.35004	1.345344	1.342277	1.335484	1.328053	1.323944	1.324468	1.318672	1.31521	1.312173	1.306724	1.300163	1.300606	1.296412	1.290563	1.294989	1.295117	1.292548	1.288006	1.283259	1.282252	1.285107	1.283216	1.279664	1.274041	1.270806	1.266071	1.266928	1.265829	1.26035	1.258794	1.254511	1.255937	1.253765
1832	Eastern and South-Eastern Asia	1.254078	1.262386	1.272098	1.278085	1.285162	1.14123	1.147804	1.153985	1.157865	1.162073	1.064735	1.066209	1.062862	1.065439	1.066325	1.070763	1.076999	1.079082	1.082448	1.086662	1.094302	1.098478	1.107934	1.111304	1.119606	1.127134	1.131417	1.135606	1.138672	1.140638	1.144689	1.147561	1.146422	1.143537	1.142785	1.141163	1.142798	1.138775	1.13798	1.140355	1.138749	1.138205	1.135627	1.132105	1.130316	1.130948	1.12597	1.12613	1.126099	1.127856	1.131107	1.129625	1.133312	1.13242	1.131044	1.133725	1.134643	1.137354	1.137197	1.14092	1.14261	1.141328	1.14358	1.141521	1.142795	1.142918	1.142976	1.141812	1.141638	1.137934	1.141622	1.137384	1.141309	1.13831	1.138232	1.137739	1.138119	1.138248	1.132198
1830	Latin America and the Caribbean	1.597101	1.587854	1.57946	1.572816	1.569936	1.40966	1.40439	1.3999	1.397126	1.39083	1.285265	1.280263	1.277149	1.271756	1.269644	1.264814	1.259035	1.255063	1.25222	1.245978	1.242118	1.237608	1.237816	1.237745	1.236362	1.235949	1.232104	1.228975	1.226418	1.22449	1.224387	1.224067	1.221741	1.219025	1.216152	1.216411	1.215342	1.210759	1.211923	1.20959	1.208789	1.206641	1.204904	1.201915	1.19758	1.197027	1.195001	1.194642	1.19432	1.194418	1.190908	1.187873	1.187387	1.185105	1.186692	1.185693	1.185527	1.186353	1.184092	1.183735	1.182445	1.185753	1.185261	1.184273	1.185576	1.184953	1.186647	1.1864	1.185073	1.183038	1.183216	1.183729	1.181872	1.181231	1.183486	1.182797	1.18127	1.182	1.179749
1835	Oceania (excluding Australia and New Zealand)	2.85127	2.796303	2.757533	2.725765	2.693049	2.501138	2.472414	2.441522	2.411897	2.389817	2.264668	2.231193	2.201199	2.176101	2.150797	2.127289	2.103431	2.074351	2.055518	2.030156	2.00455	1.989376	1.952193	1.946523	1.929578	1.910821	1.89229	1.871956	1.85613	1.83712	1.823948	1.810348	1.792858	1.772287	1.757994	1.754026	1.737281	1.719129	1.706659	1.6895	1.678287	1.664665	1.664181	1.650923	1.635632	1.631563	1.619919	1.614052	1.6117	1.601332	1.588488	1.576741	1.567394	1.559719	1.5449	1.530782	1.526992	1.518707	1.514244	1.513037	1.50047	1.496879	1.488612	1.480776	1.471084	1.467039	1.454313	1.451595	1.450018	1.446917	1.447842	1.439499	1.431963	1.42272	1.420494	1.408944	1.407344	1.402979	1.393617
1836	Australia/New Zealand	1.376219	1.376447	1.377389	1.379861	1.382406	1.236149	1.238612	1.236517	1.239967	1.241594	1.139957	1.143234	1.147977	1.146632	1.148166	1.152871	1.150164	1.151054	1.152681	1.151831	1.157127	1.15953	1.16119	1.160681	1.16125	1.161637	1.159207	1.159276	1.158934	1.157362	1.16147	1.168786	1.16721	1.165709	1.166101	1.17392	1.169213	1.168906	1.167049	1.172112	1.171004	1.171765	1.1714	1.173474	1.174825	1.169802	1.178203	1.181652	1.178338	1.17356	1.172545	1.176324	1.178928	1.180627	1.180655	1.177695	1.181873	1.182639	1.188619	1.186658	1.185011	1.18519	1.188103	1.194605	1.186691	1.187113	1.183335	1.180824	1.184393	1.185433	1.183009	1.190183	1.186804	1.184692	1.19216	1.185792	1.181211	1.188731	1.18603
1829	Europe and Northern America	1.298188	1.30835	1.314225	1.320204	1.326837	1.182979	1.190414	1.194744	1.199223	1.205157	1.109298	1.114787	1.115232	1.118218	1.120039	1.12291	1.122503	1.124529	1.123632	1.127942	1.131708	1.134198	1.137333	1.138375	1.141415	1.145334	1.144932	1.148532	1.14879	1.149022	1.152216	1.152671	1.157379	1.156709	1.15924	1.159177	1.160183	1.159195	1.159783	1.161482	1.163104	1.16731	1.167524	1.167837	1.167868	1.169213	1.172414	1.169588	1.169457	1.174821	1.174965	1.175075	1.173934	1.175466	1.174074	1.17608	1.176078	1.177036	1.176647	1.176638	1.176765	1.179969	1.180754	1.180668	1.182312	1.181787	1.183089	1.184021	1.182901	1.185002	1.185206	1.185527	1.184805	1.186025	1.188489	1.184183	1.185142	1.181863	1.181879
901	More developed regions	1.280202	1.290274	1.296796	1.302604	1.309859	1.166481	1.173815	1.178308	1.182986	1.188937	1.093019	1.098709	1.09995	1.102886	1.104787	1.108033	1.108173	1.110795	1.110628	1.11509	1.118987	1.121293	1.124775	1.126017	1.129249	1.133141	1.132973	1.136685	1.13732	1.137915	1.141583	1.142429	1.146349	1.145743	1.148542	1.14886	1.149923	1.14886	1.149501	1.151681	1.153371	1.157017	1.157197	1.157518	1.15795	1.158979	1.162894	1.160298	1.160458	1.16513	1.165435	1.165467	1.165134	1.166543	1.16532	1.167307	1.167414	1.168335	1.168406	1.168762	1.168662	1.171722	1.17288	1.173128	1.17429	1.173837	1.175195	1.175863	1.175481	1.177303	1.177448	1.178149	1.17761	1.178918	1.181241	1.177444	1.178372	1.175514	1.175555
