country_code	name	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100
900	World	2.3206	2.2923	2.2581	2.2213	2.1966	2.1716	2.131	2.0851	2.0421	2.0024	1.9692	1.9393	1.9155	1.8912	1.8673	1.8466
1834	Sub-Saharan Africa	4.5201	4.1842	3.8666	3.5703	3.3069	3.0794	2.8796	2.7089	2.5675	2.448	2.3458	2.2575	2.1891	2.1269	2.0735	2.0276
1833	Northern Africa and Western Asia	2.7829	2.6439	2.5219	2.4145	2.3263	2.2597	2.202	2.147	2.0906	2.0399	2.0013	1.9643	1.9375	1.9126	1.8871	1.8659
1831	Central and Southern Asia	2.2324	2.1415	2.0747	2.0267	1.9923	1.9602	1.9236	1.8944	1.8677	1.8432	1.8197	1.8	1.7856	1.7756	1.7634	1.7524
1832	Eastern and South-Eastern Asia	1.5212	1.5425	1.5646	1.5737	1.5971	1.623	1.6303	1.6215	1.6187	1.6138	1.6183	1.6237	1.6283	1.6257	1.6216	1.6214
1830	Latin America and the Caribbean	1.855	1.8123	1.7873	1.7647	1.7424	1.7321	1.7214	1.7124	1.7056	1.695	1.6894	1.6843	1.682	1.6826	1.6802	1.6794
1835	Oceania (excluding Australia and New Zealand)	3.0982	2.9066	2.7599	2.627	2.5067	2.4095	2.322	2.2451	2.1775	2.1274	2.0863	2.0334	1.9997	1.9618	1.9401	1.9096
1836	Australia/New Zealand	1.6264	1.6348	1.6426	1.6498	1.6564	1.6603	1.6628	1.6688	1.6707	1.6756	1.6758	1.6806	1.6867	1.6865	1.6858	1.6862
1829	Europe and Northern America	1.5473	1.5828	1.6114	1.6242	1.6302	1.642	1.6514	1.6589	1.6634	1.6683	1.6722	1.6743	1.6771	1.6818	1.6842	1.6844
901	More developed regions	1.5294	1.566	1.5954	1.61	1.6184	1.6308	1.6406	1.6477	1.6525	1.6579	1.6626	1.6654	1.6687	1.6733	1.6759	1.6767
902	Less developed regions	2.4337	2.3903	2.3433	2.295	2.2616	2.2298	2.1824	2.13	2.0816	2.0367	1.9989	1.9652	1.9385	1.9118	1.8857	1.8632
941	Least developed countries	3.9144	3.6728	3.4519	3.2487	3.0664	2.907	2.7557	2.618	2.4963	2.3956	2.3044	2.224	2.1622	2.1045	2.0545	2.0114
934	Less developed regions, excluding least developed countries	2.119	2.0868	2.0537	2.0176	1.999	1.9862	1.9595	1.9268	1.8971	1.8671	1.8461	1.8289	1.816	1.8025	1.787	1.7739
948	Less developed regions, excluding China	2.7041	2.6122	2.5314	2.4568	2.3901	2.328	2.2622	2.2001	2.1436	2.0916	2.0455	2.0035	1.9709	1.9406	1.9124	1.8875
1636	Land-locked Developing Countries (LLDC)	3.8963	3.6056	3.3577	3.1459	2.9645	2.8046	2.6574	2.525	2.4084	2.3125	2.2274	2.1572	2.1021	2.0503	2.0058	1.9672
1637	Small Island Developing States (SIDS)	2.2642	2.1986	2.1541	2.1109	2.0685	2.0332	1.996	1.9648	1.9295	1.9021	1.8812	1.8566	1.8396	1.8204	1.8091	1.791
1503	High-income countries	1.5616	1.5809	1.6015	1.6138	1.6236	1.6341	1.6395	1.6454	1.6501	1.6541	1.6572	1.6587	1.6614	1.6648	1.6664	1.6673
1517	Middle-income countries	2.1729	2.1372	2.101	2.0664	2.0496	2.0361	2.0079	1.9727	1.9402	1.9089	1.8862	1.8669	1.8522	1.8361	1.8185	1.803
1502	Upper-middle-income countries	1.5403	1.5457	1.5649	1.5825	1.6118	1.635	1.6389	1.6337	1.6328	1.6305	1.6367	1.6411	1.6442	1.6443	1.6409	1.6414
1501	Lower-middle-income countries	2.5691	2.4699	2.3869	2.3178	2.2589	2.2036	2.1478	2.0975	2.0529	2.0098	1.9736	1.9409	1.916	1.8935	1.8718	1.8518
