"country"	"country_code"	"1750-1755"	"1755-1760"	"1760-1765"	"1765-1770"	"1770-1775"	"1775-1780"	"1780-1785"	"1785-1790"	"1790-1795"	"1795-1800"	"1800-1805"	"1805-1810"	"1810-1815"	"1815-1820"	"1820-1825"	"1825-1830"	"1830-1835"	"1835-1840"	"1840-1845"	"1845-1850"	"1850-1855"	"1855-1860"	"1860-1865"	"1865-1870"	"1870-1875"	"1875-1880"	"1880-1885"	"1885-1890"	"1890-1895"	"1895-1900"	"1900-1905"	"1905-1910"	"1910-1915"	"1915-1920"	"1920-1925"	"1925-1930"	"1930-1935"	"1935-1940"	"1940-1945"	"1945-1950"	"Source"
"Australia"	36																														55.93	57.94	59.85	61.34	62.17	64.14	65.23	67.22	67.85	68.79	71.03	HLT (1891-1911) and HMD (1921+)
"Austria"	40																									33.90	35.35	37.25	38.08	39.81	42.61	41.66	43.77	48.78	52.17	54.84	57.08	59.02	60.25	61.56	64.68	HLT (1865-1931) and HMD (1947+)
"Belgium"	56																			40.26	37.57	40.95	40.72	41.88	40.83	41.84	45.00	46.09	46.52	46.38	49.25	50.73	52.00	37.19	15.87	57.66	58.60	60.91	62.11	61.71	66.35	HMD (1841+)
"Bulgaria"	100																																								58.34	HMD (1947+)
"Canada"	124																	40.08	40.82	41.41	41.84	42.16	42.40	42.71	43.23	44.02	45.26	46.04	46.29	46.86	48.63	50.71	52.73	54.88	57.27	58.69	59.71	62.72	64.32	66.52	69.19	HLT (1831-1911) and HMD (1921+)
"Czech Republic"	203																																			54.16	56.42	58.91	60.51	60.50	64.79	HLT (1920-1949) and HMD (1950+)
"Denmark"	208																		42.60	44.26	42.39	44.55	44.87	46.15	45.29	47.35	47.26	48.80	49.14	49.15	53.54	55.82	57.67	59.60	58.24	61.71	62.59	63.91	65.66	67.65	70.00	HMD (1835+)
"Finland"	246		37.51	36.10	36.28	39.01	39.84	36.77	35.56	37.50	37.94	34.80	33.59	35.93	38.20	39.70	39.79	37.48	36.96	40.63	42.01	39.05	36.15	34.17	34.49	40.06	42.49	42.27	45.16	44.84	47.66	46.70	48.75	50.73	47.55	53.88	55.43	58.17	59.35	60.59	65.12	NSO-SYB2006 (1751-1880 ) and HMD (1878+)
"France"	250												37.89	38.54	39.53	39.91	39.32	38.55	41.00	41.92	40.86	41.24	39.79	42.31	41.70	41.08	44.66	44.35	45.38	45.70	48.01	49.38	50.97	52.66	50.32	56.14	57.22	60.14	61.72	58.68	66.35	HLT-INED (1806-1815) and HMD (1816+)
"Greece"	300																																				47.36	50.35	53.85	58.42	64.21	HLT (1926-1960) and Eurostat (1961+)
"Hungary"	348																															38.71	39.87	41.05	42.29	44.86	49.57	53.39	56.24	59.15	62.36	NSO-DYB2005 (1900-1949 ) and HMD (1950+)
"Iceland"	352																		31.98	39.69	36.06	43.13	37.85	32.99	36.04	37.17	44.70	36.17	48.23	50.95	52.02	52.86	53.43	57.96	57.93	59.07	61.50	63.74	66.62	67.54	71.67	HMD (1838+)
"Ireland"	372																																				58.24	59.10	60.28	61.66	64.76	HLT (1925-1946) and HMD (1950+)
"Italy"	380																									31.36	34.03	35.15	36.96	39.34	42.32	43.59	45.09	48.11	42.87	50.81	53.24	56.84	57.96	57.63	63.40	HMD (1872+)
"Japan"	392																														44.74	44.82	44.73	44.60	43.80	43.50	46.35	48.40	50.19	51.36	56.22	"HLT & Japan Ministry of Health, Labour and Welfare (1891-1940) and HMD (1947+)"
"Luxembourg"	442																															48.38	49.77	51.50	49.04	57.57	56.74	60.17	62.60	61.30	65.18	HLT (1901-1959) and HMD (1960+)
"Netherlands"	528																					39.50	35.96	38.32	38.60	38.70	42.22	43.72	45.26	46.66	50.25	51.82	54.69	57.27	55.36	61.74	63.82	66.28	67.84	65.70	70.11	HMD (1850+)
"New Zealand"	554																															59.47	60.90	62.60	61.63	64.26	65.49	67.14	67.50	68.23	70.27	"HMD (1901-1947: Non-Maori, 1948+: Total)"
"Norway"	578																				48.41	51.17	51.92	48.48	50.63	50.84	51.65	51.17	51.78	52.15	55.10	56.78	58.06	59.60	57.72	62.62	64.45	66.49	68.20	68.83	72.15	HMD (1846+)
"Poland"	616																																			51.52	52.83	51.68	53.67	57.18	60.92	HLT (1922-1952) and HMD (1958+)
"Portugal"	620																																							53.01	58.08	HMD (1940+)
"Russian Federation"	643																																			29.56	38.51	32.99	40.19	47.36	55.71	"GapMinder (1920-1926), Andreev (1927-1940, 1946-1958) and HMD (1959+)"
"Slovenia"	705																																					54.56	56.48	59.65	63.55	HLT (1930-1982) and HMD (1983+)
"Spain"	724																															39.01	42.02	43.03	40.70	45.33	50.03	52.78	53.04	56.05	62.42	HLT (1900) and HMD (1908+)
"Sweden"	752	39.05	37.30	36.37	37.87	33.01	38.74	36.97	37.79	40.00	40.29	40.17	35.26	37.90	41.56	44.73	42.85	43.11	44.12	46.24	45.55	44.84	43.57	47.05	45.96	49.14	48.02	50.20	52.55	52.75	54.57	55.53	58.07	59.36	57.62	62.66	63.42	65.14	66.70	69.37	71.30	HMD (1751+)
"Switzerland"	756																										42.03	44.87	46.37	47.28	50.08	50.80	52.95	55.65	55.42	60.09	62.09	63.78	65.44	67.27	68.96	GapMinder (1875) and HMD (1876+)
"Taiwan, Province of China"	158																																				43.24	44.14	46.05	49.89	55.56	HLT (1926-1966) and HMD (1970+)
"United Kingdom"	826																			42.16	40.02	41.35	42.09	42.11	42.37	43.36	44.83	46.11	46.92	46.73	47.96	50.32	53.00	54.68	54.93	59.77	61.12	62.72	64.52	66.21	69.59	HMD (1841-1921: England)
"United States of America"	840																															51.32	53.00	55.58	54.80	59.07	60.16	62.39	64.01	67.01	69.75	HMD (1900+)
