"country"	"country_code"	"1754"	"1755"	"1756"	"1757"	"1758"	"1759"	"1760"	"1761"	"1762"	"1763"	"1764"	"1765"	"1766"	"1767"	"1768"	"1769"	"1770"	"1771"	"1772"	"1773"	"1774"	"1775"	"1776"	"1777"	"1778"	"1779"	"1780"	"1781"	"1782"	"1783"	"1784"	"1785"	"1786"	"1787"	"1788"	"1789"	"1790"	"1791"	"1792"	"1793"	"1794"	"1795"	"1796"	"1797"	"1798"	"1799"	"1800"	"1801"	"1802"	"1803"	"1804"	"1805"	"1806"	"1807"	"1808"	"1809"	"1810"	"1811"	"1812"	"1813"	"1814"	"1815"	"1816"	"1817"	"1818"	"1819"	"1820"	"1821"	"1822"	"1823"	"1824"	"1825"	"1826"	"1827"	"1828"	"1829"	"1830"	"1831"	"1832"	"1833"	"1834"	"1835"	"1836"	"1837"	"1838"	"1839"	"1840"	"1841"	"1842"	"1843"	"1844"	"1845"	"1846"	"1847"	"1848"	"1849"	"1850"	"1851"	"1852"	"1853"	"1854"	"1855"	"1856"	"1857"	"1858"	"1859"	"1860"	"1861"	"1862"	"1863"	"1864"	"1865"	"1866"	"1867"	"1868"	"1869"	"1870"	"1871"	"1872"	"1873"	"1874"	"1875"	"1876"	"1877"	"1878"	"1879"	"1880"	"1881"	"1882"	"1883"	"1884"	"1885"	"1886"	"1887"	"1888"	"1889"	"1890"	"1891"	"1892"	"1893"	"1894"	"1895"	"1896"	"1897"	"1898"	"1899"	"1900"	"1901"	"1902"	"1903"	"1904"	"1905"	"1906"	"1907"	"1908"	"1909"	"1910"	"1911"	"1912"	"1913"	"1914"	"1915"	"1916"	"1917"	"1918"	"1919"	"1920"	"1921"	"1922"	"1923"	"1924"	"1925"	"1926"	"1927"	"1928"	"1929"	"1930"	"1931"	"1932"	"1933"	"1934"	"1935"	"1936"	"1937"	"1938"	"1939"	"1940"	"1941"	"1942"	"1943"	"1944"	"1945"	"1946"	"1947"	"1948"	"1949"
"Algeria"	12																																																																																																																																																																																																			32.43	44.59
"Antigua and Barbuda"	28																																																																																																																																																																																																				59.25
"Argentina"	32																																																																																																																				34.34	34.4	34.45	34.51	34.56	34.61	34.67	34.72	34.78	34.83	34.89	34.94	34.99	35.05	35.13	35.2	35.28	35.36	35.44	35.51	35.59	35.67	35.75	35.83	35.91	35.99	36.07	36.43	36.79	37.16	37.54	37.93	38.32	38.71	39.12	39.53	40.29	41.06	41.86	42.67	43.51	44.37	45.25	46.15	47.08	48.03	48.36	48.68	49.01	49.34	49.68	50.02	50.36	50.7	51.05	51.39	51.75	52.1	52.46	52.82	53.18	53.55	53.9	54.25	54.6	54.96	55.31	55.68	56.04	56.41	56.78	57.15	57.53	57.91	58.29	58.68	59.06	59.46	59.85	60.84	61.78
"Australia"	36																																																																																																																																																														61.43	61.5	61.55	61.61	61.67	61.76	61.9	62.09	62.36	62.72	63.18	65.11	63.89	64.51	65.38	65.07	64.97	64.72	65.39	66.9	67.33	67.39	67.46	66.69	67.17	67.2	67.81	67.93	68.06	68.64	68.23	68.23	68.25	69.79	70.28	70.15	70.9	71	71.78
"Austria"	40																																																																																																																					34.64	34.41	34.13	33.88	33.73	33.77	34.05	34.52	35.1	35.72	36.28	36.71	37.01	37.23	37.41	37.54	37.66	37.78	37.92	38.09	38.31	38.6	39.04	39.64	40.34	41.1	41.84	42.52	43.07	43.44	43.56	43.38	42.22	41.03	40.83	40.98	41.41	42.06	42.85	44.03	45.52	46.78	47.72	48.62	49.48	50.32	51.11	51.87	52.6	53.29	53.94	54.56	55.14	55.69	56.19	56.66	57.09	57.49	57.85	58.16	58.44	58.68	58.53	58.64	58.75	58.87	59.01	59.18	59.38	59.63	59.92	60.27	60.69	61.18	61.75	62.4	63.16	64.01	65.46	65.77
"Barbados"	52																																																																																																																																																																																																	50.96	52.9	54.36	54.18
"Belarus"	112																																																																																																																																																																													55	55.16	55.29	55.39	55.48	55.57	55.66	55.77	55.91	56.08	56.3	56.58	56.92	57.33	57.81	58.35	58.93	59.55	60.21	60.91	61.64	62.39	63.17	63.96
"Belgium"	56																																																																																								40.36	38.54	40.24	41.75	40.79	38.21	36.61	37.91	34.53	42.13	41.76	41.56	41.35	40.09	37.84	41.14	40.29	40.67	39.49	45.72	41.79	43.09	41.88	40.21	38.39	33.3	42.16	43.53	43.3	41.75	35.22	41.28	44.68	45.82	43.4	44.88	45.37	45.62	45.18	44.01	45.92	46.46	46.45	45.72	46.95	44.92	47.2	46.81	46.79	46.12	45.88	45.56	46.05	48.69	47.23	49.77	49.88	50.04	48.23	48.51	51.21	50.65	51.01	50.84	51.68	51.34	52.35	51.38	52.4	52.99	51.12	53.6	54.37	53.91	52.66	51.19	50.07	49.84	51.08	55.94	56.37	57.14	58.6	59.22	58.95	58.73	58.73	59.33	56.95	59.23	60.48	60.51	60.64	62.32	62.01	62.18	62.15	62.47	62.37	60.73	61.73	61.79	62.91	60.76	61.27	64.82	65.91	67.6	68.06
"Belize"	84																																																																																																																																																																																																	46.2	45.03	45.22	50.17
"Bolivia (Plurinational State of)"	68																																																																																																																																																			35.5	35.59	35.68	35.77	35.86	35.96	36.05	36.14	36.23	36.33	36.42	36.51	36.61	36.7	36.79	36.89	36.98	37.09	37.18	37.28	37.38	37.47	37.57	37.67	37.78	37.88	38.06	38.24	38.42	38.61	38.79	38.99	39.18	39.37	39.56	39.76	39.95	40.14	40.33	40.54	40.73	40.93	41.14	41.33	41.53	41.74	41.94	42.15	42.36	42.56
"Brazil"	76																																																																																																																							33.23	33.58	33.93	34.29	34.65	35.02	35.4	35.79	36.19	36.59	36.54	36.5	36.45	36.41	36.36	36.32	36.28	36.23	36.19	36.15	36.1	36.06	36.02	35.98	36.28	36.58	36.89	37.19	37.5	37.81	38.13	38.45	38.77	39.09	39.42	39.75	40.08	40.42	40.76	40.79	40.81	40.84	40.87	40.89	40.92	40.95	40.98	41	41.03	41.06	41.08	41.11	41.14	41.17	41.19	41.22	41.25	41.28	41.3	41.65	42.01	42.36	42.73	43.1	43.48	43.86	44.25	44.65	45.05	45.46	45.88	46.31	46.74	47.19	47.52	47.87	48.21	48.56
"Bulgaria"	100																																																																																																																																																						41.68	41.35	40.96	40.54	40.14	39.79	39.52	39.37	39.38	39.73	40.49	41.56	42.81	44.12	45.38	46.47	47.27	47.66	47.54	46.77	45.24	40.86	43.3	46.78	46.53	47.15	48.12	49	49.66	50.25	50.79	51.29	51.75	52.11	52.41	52.68	52.86	52.98	53.09	53.23	53.44	53.75	54.21	54.86	55.74	57.42	59.69
"Canada"	124																																																																														39.77	39.92	40.08	40.24	40.4	40.56	40.71	40.86	41	41.14	41.26	41.37	41.47	41.57	41.65	41.73	41.81	41.88	41.95	42.01	42.08	42.14	42.19	42.24	42.28	42.32	42.36	42.4	42.45	42.52	42.59	42.67	42.76	42.84	42.94	43.04	43.15	43.27	43.4	43.54	43.7	43.89	44.12	44.37	44.64	44.91	45.17	45.42	45.64	45.81	45.94	46.02	46.08	46.12	46.15	46.17	46.2	46.24	46.31	46.4	46.52	46.7	46.96	47.27	47.63	48.02	48.44	48.87	49.3	49.72	50.12	50.51	50.9	51.3	51.7	52.11	52.52	52.93	53.34	53.75	54.16	54.6	55.1	55.63	56.17	56.7	57.18	57.6	57.93	58.14	58.22	58.22	58.33	59.84	60.45	59.14	59.81	59.87	59.24	60.35	61.63	62.44	63.38	63.98	63.71	63.79	63.45	64.89	65.34	65.65	65.7	66.4	66.44	67.02	68.12	68.33	68.97	69.42	69.85
"Chile"	152																																																																																																					32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.14	32.39	32.64	32.9	33.16	33.42	33.69	33.88	34.06	34.25	34.45	34.64	34.83	34.87	33.71	34.92	34.95	34.97	35	35.21	35.42	35.63	35.84	36.05	36.26	30.98	36.45	36.42	36.39	36.37	36.34	36.61	36.89	37.17	37.45	39.83	38.12	38.5	38.9	39.3	39.7	40.07	40.42	40.8	41.16	43.03	42.32	43.11	43.93	44.77	45.63	46.52	49.33	49.45	49.95
"China, Hong Kong SAR"	344																																																																																																																																																																																																			48.31	57.5
"China, Taiwan Province of China"	158																																																																																																																																																									23.48	25.87	28.41	30.66	32.21	32.91	33.01	32.74	32.3	31.9	31.27	30.27	29.31	28.79	29.12	30.64	33.09	35.94	38.66	40.73	41.86	42.49	43.13	44.01	44.83	45.6	46.39	47.08	47.53	47.59	46.69	45.88	45.71	47.25	49.04	50.03	50.82	51.45	51.96	52.38	52.75	53.1	53.47	53.9
"Colombia"	170																																																																																																																																																								31.53	31.42	31.31	31.2	31.2	31.2	31.2	31.2	31.67	32.15	32.64	33.4	34.2	35.04	35.5	35.97	36.45	36.93	37.42	37.53	37.64	37.75	37.86	37.97	38	38.04	38.07	38.11	38.14	38.07	38	37.92	37.85	37.78	38.52	39.28	40.06	40.86	41.68	42.52	43.1	44.23	45.85	46.45	47.69
