"country"	"country_code"	"1750-1755"	"1755-1760"	"1760-1765"	"1765-1770"	"1770-1775"	"1775-1780"	"1780-1785"	"1785-1790"	"1790-1795"	"1795-1800"	"1800-1805"	"1805-1810"	"1810-1815"	"1815-1820"	"1820-1825"	"1825-1830"	"1830-1835"	"1835-1840"	"1840-1845"	"1845-1850"	"1850-1855"	"1855-1860"	"1860-1865"	"1865-1870"	"1870-1875"	"1875-1880"	"1880-1885"	"1885-1890"	"1890-1895"	"1895-1900"	"1900-1905"	"1905-1910"	"1910-1915"	"1915-1920"	"1920-1925"	"1925-1930"	"1930-1935"	"1935-1940"	"1940-1945"	"1945-1950"	"Source"
"Australia"	36																														52.40	54.43	56.25	57.57	58.24	60.15	61.34	63.46	63.68	64.86	66.33	HLT (1891-1911) and HMD (1921+)
"Austria"	40																									30.99	32.23	34.13	35.33	37.27	39.94	39.55	41.31	45.27	48.38	51.00	53.18	54.89	55.87	56.87	59.66	HLT (1865-1931) and HMD (1947+)
"Belgium"	56																			40.47	37.26	40.87	39.95	40.82	39.15	39.81	42.44	43.16	43.18	42.88	45.79	47.40	48.69	34.67	14.79	54.09	54.88	56.94	57.24	55.51	60.97	HMD (1841+)
"Bulgaria"	100																																								55.16	HMD (1947+)
"Canada"	124																	38.44	38.99	39.44	39.78	40.02	40.18	40.42	40.95	41.73	42.86	43.51	43.69	44.16	45.77	47.67	49.49	51.75	54.76	56.47	57.21	60.26	61.48	63.03	65.21	HLT (1831-1911) and HMD (1921+)
"Czech Republic"	203																																			51.28	53.07	55.31	56.60	56.09	59.68	HLT (1920-1949) and HMD (1950+)
"Denmark"	208																		39.91	41.84	39.44	41.69	42.81	43.98	43.66	45.55	45.37	46.85	47.05	46.69	50.38	52.51	54.72	56.58	55.88	60.06	60.93	62.05	63.48	65.60	67.68	HMD (1835+)
"Finland"	246		35.32	34.13	34.36	36.97	37.67	34.18	32.75	34.63	35.05	31.97	30.76	32.91	34.92	36.18	36.22	34.09	33.59	36.84	38.06	35.39	32.86	31.24	31.71	37.40	40.12	39.33	42.54	41.91	44.99	43.96	45.62	47.47	40.90	49.12	50.40	53.04	51.91	44.20	56.98	NSO-SYB2006 (1751-1880 ) and HMD (1878+)
"France"	250												32.16	28.09	37.67	38.60	37.99	37.08	39.64	40.39	39.44	39.65	38.29	41.11	39.84	38.29	42.59	41.92	42.67	42.70	44.68	45.88	47.12	42.54	35.57	51.96	52.76	54.94	54.66	49.00	60.61	HLT-INED (1806-1815) and HMD (1816+)
"Greece"	300																																				44.86	47.71	51.07	55.47	61.09	HLT (1926-1960) and Eurostat (1961+)
