"country"	"country_code"	"1740-1745"	"1745-1750"	"1750-1755"	"1755-1760"	"1760-1765"	"1765-1770"	"1770-1775"	"1775-1780"	"1780-1785"	"1785-1790"	"1790-1795"	"1795-1800"	"1800-1805"	"1805-1810"	"1810-1815"	"1815-1820"	"1820-1825"	"1825-1830"	"1830-1835"	"1835-1840"	"1840-1845"	"1845-1850"	"1850-1855"	"1855-1860"	"1860-1865"	"1865-1870"	"1870-1875"	"1875-1880"	"1880-1885"	"1885-1890"	"1890-1895"	"1895-1900"	"1900-1905"	"1905-1910"	"1910-1915"	"1915-1920"	"1920-1925"	"1925-1930"	"1930-1935"	"1935-1940"	"1940-1945"	"1945-1950"	"Source"
"Albania"	8																																						3.802144035	3.582441091	4.232421019	4.513661268	5.141854445	GapMinder (1925-1950)
"Azerbaijan"	31																																8.05422433	7.951743722	7.81756921	7.657299189	7.476532054	7.280818643	7.056196747	6.76293556	6.424371526	6.076686971	5.756307493	GapMinder (1895-1950)
"Argentina"	32																										6.785989928	6.589822683	6.563881136	6.473793663	6.079449119	6.325601117	6.075538437	5.885328348	5.545308574	5.281539757	5.14437642	4.727340118	4.262791013	3.776702771	3.446308004	3.371107325	3.189441075	GapMinder (1865-1950)
"Australia"	36													6.468510938	6.393713325	6.296465082	6.181485639	6.053426475	5.890182194	5.642717499	5.360673742	5.112711151	4.970739377	4.97475	5.6010325	5.677725887	5.319130675	4.966730938	4.75432	4.71211	4.721850769	4.337604988	3.720403409	3.525165119	3.365465714	3.48	3.09445	3.026318419	2.722640293	2.196855758	2.215839471	2.539280692	3.010615367	GapMinder (1800-1905) and Chesnais (1906-1950)
"Austria"	40																									4.83951089	4.662872033	4.773338746	4.689251911	4.54234415	4.4318626	4.365564211	4.351850164	4.193844475	3.835162533	3.303428512	2.763508577	3.061898884	2.440968073	1.994518909	2.177647548	2.193505373	1.8907583	GapMinder  (1860-1950) and Festy (1869-1950)
"Bangladesh"	50																																						6.55166848	6.37445248	6.27557248	6.23198848	6.2220245	GapMinder (1925-1950)
"Armenia"	51																																8.096504684	8.079163984	8.045419857	7.994614203	7.926088924	7.839057866	7.666371715	7.149843558	6.073836832	2.839147535	3.935727359	GapMinder (1895-1950)
"Barbados"	52													4.764736019	4.557634561	4.469368495	4.462356659	4.704973259	5.144026741	5.387004359	5.395501216	5.383254339	5.36414209	5.339254211	5.309680444	5.27651053	5.240834211	5.203741228	5.166321323	5.129664236	5.09485971	5.062997486	5.035167305	5.01245891	4.99596204	4.986766438	5.004216414	4.840558827	4.490509957	4.278959467	4.29838232	4.33413456	4.44174296	GapMinder (1800-1950)
"Belgium"	56													4.815391178	4.771401022	4.743418312	4.72780499	4.720923002	4.719782728	4.86346446	4.988328506	4.844780199	4.512913628	4.241805931	4.48589488	4.632516817	4.76138112	4.856611506	4.778002792	4.597929668	4.316029896	4.166083277	3.965016771	3.651053207	3.344608912	3.052533391	2.78113537	2.536723573	2.325782835	2.09498424	1.991359091	1.987243348	2.409410061	"GapMinder (1800-1850, 1901-1930), Chesnais (1851-1900, 1946-1950) and Festy (1931-1945)"
"Bolivia"	68																																	6.48	6.48	6.48	6.48	6.48	6.480031309	6.492696636	6.545142388	6.620897128	6.694823597	GapMinder (1900-1950)
"Bosnia and Herzegovina"	70																							5.750994792	5.510040005	5.392780104	5.352542986	5.321618619	5.297292139	5.278084961	5.2625185	5.249114172	5.23639339	5.222877571	5.207094218	5.190212021	5.177957922	5.169075676	5.160749112	5.150162058	5.134498343	5.110941794	5.075029119	GapMinder (1850-1950)
"Brazil"	76																												6.285246429	6.293269664	6.260757477	6.195955336	5.984500352	5.781790666	5.868159668	5.896	5.896	5.896	5.896	5.896	5.8962059	5.965012	6.138848767	GapMinder (1875-1950)
"Bulgaria"	100																												4.65671875	4.927092365	4.895144915	5.034434739	5.528932801	5.789357747	5.676109313	5.440673847	5.362743873	5.139010906	4.516476833	3.798415858	3.155165981	3.12059087	2.88694625	GapMinder  (1875-1946) and  HFD (1947-1950)
"Belarus"	112																													6.816616205	6.525506166	6.264383415	6.046314867	5.880660145	5.750498154	5.628884953	5.4887726	5.30311315	4.982575291	4.33691261	3.734055351	3.543631821	3.433655596	GapMinder (1880-1950)
"Canada"	124																									4.903503368	4.986117083	4.737246995	4.62460924	4.487467757	4.300701115	4.15543492	4.051528663	4.026955434	4.043439	4.009080758	3.757251762	3.314014271	3.277928875	2.939545722	2.68922443	2.972733865	3.430844072	"GapMinder (1861-1900), Chesnay (1901-1920) and HFD (1921-1950)"
"Sri Lanka"	144																												5.683198438	5.738286083	5.597283455	5.416891418	5.545270257	5.31185675	5.638787241	5.639038124	5.931905698	5.934852936	6.124232	5.621533677	5.465819211	5.708838519	5.957426878	GapMinder (1875-1950)
"Chile"	152																					6.123560938	6.230476157	6.05771908	5.868225455	5.413753143	5.437566857	5.835510086	5.281129914	5.261975278	4.677558472	4.997036046	4.67665496	6.174078534	6.13876512	6.07882156	5.752457738	5.669458561	5.583602249	5.302626374	4.910199468	4.862561278	4.723410936	GapMinder (1840-1950)
"China"	156																																						5.49981875	5.43925	5.286724803	5.505462963	5.992305984	GapMinder (1925-1950)
"Taiwan"	158																												5.770168172	5.693374215	5.643563241	5.614869382	5.601426773	5.59736955	5.726979004	5.935088167	5.71847595	5.970981977	6.347213889	6.468611111	6.325170068	5.805859581	5.848357353	GapMinder (1875-1950)
"Colombia"	170																																	6.271561309	6.339134013	6.35020472	6.363837	6.43274064	6.420102652	6.2145376	6.127401628	6.124483992	6.457670187	GapMinder (1900-1950)
"Costa Rica"	188																													6.913710938	6.901579861	6.921337627	7.008293467	7.07387335	7.2552522	7.19011365	6.7261388	6.78088	6.882230028	6.642326069	6.611638581	6.95269851	6.740623692	GapMinder (1880-1950)
"Croatia"	191																													5.449574533	5.65881464	5.641595307	5.642050706	5.285794363	5.042907839	4.929257246	5.261686951	5.153207264	4.688208146	4.045676578	3.385464752	2.896573051	2.878270961	GapMinder (1881-1950)
"Cuba"	192																															4.632777778	4.130596094	5.588201305	5.817042316	5.809090909	5.780433201	5.471134314	4.813139258	4.381366115	4.121968308	4.048053686	4.558827448	GapMinder (1890-1950)
"Cyprus"	196																												5.717970011	5.24959268	4.84956684	4.514198619	4.239794145	4.024575254	4.143452546	4.500726504	4.3129106	3.600346605	3.946645648	4.31844504	4.394795682	4.248303188	3.939811616	GapMinder (1875-1950)
"Czech Rep."	203													5.29374016	5.24085616	5.19536416	5.16158416	5.143825758	5.141487712	5.142673312	5.144377312	5.146023712	5.146977647	5.1272254	5.07687147	5.084197	5.132607996	5.12982248	5.079831903	5.016650082	4.943775545	4.898332686	4.865296668	4.691418539	4.230345712	3.657165323	3.082948791	2.746324633	2.218983564	1.858747258	1.866107529	2.615537016	2.915344318	GapMinder (1800-1950)
"Denmark"	208													4.050130928	4.077933299	4.118323279	4.175638852	4.217229333	4.032114669	3.93989837	4.058845728	4.158309739	4.221559444	4.317108459	4.438975334	4.183692462	4.123217944	4.162228449	4.320030978	4.373092646	4.248570427	4.1022128	4.059517663	3.996553704	3.789883904	3.45267658	3.14362601	2.859160504	2.406206344	2.156360268	2.169353744	2.640931755	2.749311376	GapMinder (1800-1890) and  Festy (1891-1950)
"Dominican Rep."	214																																								6.556218463	7.072036604	7.411864631	GapMinder (1935-1950)
